# https://zh.flightaware.com//live/flight/AAL1/history/20221031/0859Z/UWLL/L 53.73216 47.94661/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
163306	54.2169	48.1128	214	['103']	['192']	['465']	0
163306	54.2169	48.1128	214	['103']	['192']	['324']	-17.0
163400	54.1902	48.1041	186	['109']	['201']	['450']	-17.0
163400	54.1902	48.1041	186	['109']	['201']	['309']	37.0
163425	54.1783	48.1009	188	['103']	['192']	['465']	18.0
163425	54.1783	48.1009	188	['103']	['192']	['317']	0
163456	54.1645	48.0960	192	['104']	['193']	['465']	0
163456	54.1645	48.0960	192	['104']	['193']	['317']	-96.0
163515	54.1549	48.0932	190	['108']	['200']	['434']	-48.0
163515	54.1549	48.0932	190	['108']	['200']	['301']	0
163541	54.1425	48.0901	189	['107']	['198']	['434']	-53.0
163541	54.1425	48.0901	189	['107']	['198']	['279']	0
163557	54.1349	48.0882	187	['103']	['192']	['434']	57.0
163557	54.1349	48.0882	187	['103']	['192']	['294']	96.0
163616	54.1264	48.0866	185	['96']	['177']	['465']	97.0
163616	54.1264	48.0866	185	['96']	['177']	['325']	21.0
163720	54.0966	48.0771	194	['104']	['193']	['488']	7.0
163720	54.0966	48.0771	194	['104']	['193']	['332']	-57.0
163736	54.0894	48.0743	194	['107']	['198']	['472']	0
163736	54.0894	48.0743	194	['107']	['198']	['332']	-23.0
163756	54.0797	48.0708	192	['105']	['195']	['465']	165.0
163816	54.0699	48.0671	194	['108']	['200']	['442']	-80.0
163836	54.0604	48.0625	193	['110']	['204']	['411']	-37.0
163905	54.0456	48.0579	191	['104']	['193']	['411']	-30.0
163921	54.0388	48.0553	194	['104']	['193']	['389']	-30.0
163951	54.0245	48.0500	189	['106']	['196']	['389']	25.0
164016	54.0123	48.0463	192	['102']	['188']	['411']	33.0
164046	53.9984	48.0418	192	['105']	['195']	['419']	-8.0
164116	53.9839	48.0353	198	['106']	['196']	['404']	-20.0
164155	53.9643	48.0281	192	['108']	['200']	['396']	-8.0
164215	53.9543	48.0246	192	['108']	['200']	['396']	41.0
164240	53.9432	48.0206	193	['98']	['182']	['427']	51.0
164300	53.9345	48.0172	193	['101']	['187']	['434']	-23.0
164320	53.9248	48.0134	194	['104']	['193']	['411']	0
164341	53.9156	48.0099	193	['100']	['185']	['434']	33.0
164416	53.8997	48.0037	192	['104']	['193']	['442']	-8.0
164436	53.8902	48.0007	191	['108']	['200']	['427']	-34.0
164456	53.8807	47.9962	198	['109']	['201']	['419']	46.0
164526	53.8663	47.9897	191	['105']	['195']	['465']	84.0
164601	53.8497	47.9850	191	['108']	['200']	['511']	42.0
164631	53.8347	47.9800	191	['110']	['204']	['511']	23.0
164701	53.8202	47.9755	191	['104']	['193']	['533']	27.0
164721	53.8104	47.9720	193	['107']	['198']	['533']	23.0
164741	53.8008	47.9688	191	['105']	['195']	['549']	12.0
164801	53.7915	47.9657	190	['106']	['196']	['541']	0
164821	53.7821	47.9626	192	['103']	['192']	['549']	0
164840	53.7728	47.9592	192	['103']	['192']	['541']	0
164901	53.7633	47.9557	193	['106']	['196']	['549']	33.0
164922	53.7536	47.9529	190	['102']	['188']	['564']	23.0
164941	53.7445	47.9501	190	['104']	['193']	['564']	20.0
165007	53.7322	47.9466	190	['106']	['196']	['579']	35.0
