# https://zh.flightaware.com//live/flight/AAL1/history/20221124/0949Z/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
174942	45.0770	42.1610	121	['107']	['198']	['587']	0
174942	45.0770	42.1610	121	['107']	['198']	['599']	0
175001	45.0725	42.1720	120	['101']	['187']	['587']	5.0
175017	45.0688	42.1813	118	['96']	['177']	['602']	65.0
175036	45.0650	42.1917	116	['94']	['174']	['625']	47.0
175056	45.0612	42.2022	116	['88']	['163']	['632']	37.0
175113	45.0585	42.2103	114	['86']	['159']	['648']	26.0
175131	45.0553	42.2200	118	['91']	['169']	['648']	0
175147	45.0523	42.2286	116	['93']	['172']	['648']	10.0
175217	45.0463	42.2449	119	['92']	['171']	['655']	0
175236	45.0425	42.2551	116	['94']	['174']	['648']	-23.0
175257	45.0386	42.2664	117	['97']	['180']	['640']	-11.0
175317	45.0345	42.2777	117	['96']	['177']	['640']	-38.0
175333	45.0314	42.2864	117	['97']	['180']	['617']	-10.0
175403	45.0273	42.3047	105	['94']	['174']	['632']	24.0
175431	45.0241	42.3214	106	['93']	['172']	['640']	16.0
175501	45.0194	42.3377	113	['91']	['169']	['648']	18.0
175521	45.0160	42.3492	113	['91']	['169']	['655']	18.0
175551	45.0105	42.3644	118	['88']	['163']	['663']	-10.0
175607	45.0074	42.3729	116	['88']	['163']	['648']	-26.0
175626	45.0044	42.3824	112	['88']	['163']	['648']	-9.0
175656	44.9989	42.3989	117	['94']	['174']	['640']	-23.0
175726	44.9926	42.4153	120	['97']	['180']	['625']	-9.0
175746	44.9882	42.4263	120	['97']	['180']	['632']	25.0
175803	44.9848	42.4348	120	['95']	['175']	['640']	0
175827	44.9798	42.4481	117	['97']	['180']	['632']	0
175843	44.9763	42.4571	119	['99']	['183']	['640']	20.0
175913	44.9697	42.4737	120	['95']	['175']	['648']	8.0
175941	44.9636	42.4904	118	['98']	['182']	['648']	9.0
180001	44.9592	42.5014	120	['95']	['175']	['655']	25.0
180017	44.9562	42.5091	120	['94']	['174']	['663']	25.0
180037	44.9514	42.5204	120	['93']	['172']	['671']	-13.0
180053	44.9483	42.5281	118	['96']	['177']	['655']	0
180127	44.9409	42.5472	121	['96']	['177']	['671']	46.0
180202	44.9331	42.5650	121	['88']	['163']	['709']	50.0
180222	44.9291	42.5742	122	['87']	['161']	['716']	15.0
180302	44.9206	42.5941	118	['86']	['159']	['724']	30.0
180322	44.9168	42.6037	120	['87']	['161']	['747']	57.0
180342	44.9126	42.6137	121	['88']	['163']	['762']	0
180401	44.9086	42.6231	122	['89']	['164']	['747']	-42.0
180436	44.9008	42.6406	122	['92']	['171']	['724']	-26.0
180512	44.8926	42.6575	123	['90']	['167']	['716']	-23.0
180537	44.8876	42.6704	117	['89']	['164']	['701']	-45.0
180553	44.8847	42.6785	117	['89']	['164']	['686']	-64.0
180627	44.8781	42.6968	117	['91']	['169']	['648']	-43.0
180707	44.8695	42.7191	121	['99']	['183']	['632']	12.0
180741	44.8615	42.7380	117	['96']	['177']	['663']	16.0
180901	44.8434	42.7806	125	['96']	['177']	['663']	17.0
180931	44.8369	42.7965	116	['92']	['171']	['693']	55.0
181007	44.8308	42.8151	114	['90']	['167']	['724']	32.0
181042	44.8247	42.8339	113	['93']	['172']	['732']	25.0
181102	44.8209	42.8447	121	['94']	['174']	['747']	8.0
181142	44.8120	42.8651	122	['89']	['164']	['739']	-15.0
181202	44.8078	42.8745	122	['88']	['163']	['732']	-23.0
181241	44.7987	42.8949	121	['96']	['177']	['716']	-16.0
181301	44.7946	42.9059	116	['94']	['174']	['716']	-12.0
181321	44.7906	42.9168	117	['92']	['171']	['709']	0
181341	44.7867	42.9273	119	['93']	['172']	['716']	-9.0
181411	44.7799	42.9426	121	['92']	['171']	['701']	-27.0
181431	44.7751	42.9524	128	['92']	['171']	['693']	-25.0
181447	44.7710	42.9599	127	['93']	['172']	['686']	-14.0
181817	44.7202	43.0701	127	['88']	['163']	['640']	-13.0
