# https://zh.flightaware.com//live/flight/AAL1063/history/20221102/2319Z/KPHL/KDEN/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
073635	39.8754	75.2222	76	['180']	['333']	['23']	0
073651	39.8785	75.2062	78	['175']	['323']	['312']	886.0
073707	39.8807	75.1888	82	['181']	['335']	['495']	515.0
073723	39.8824	75.1714	84	['194']	['359']	['587']	343.0
073739	39.8840	75.1517	84	['213']	['394']	['678']	309.0
073757	39.8862	75.1263	84	['240']	['444']	['762']	495.0
073827	39.8899	75.0831	84	['257']	['476']	['1074']	800.0
073857	39.8941	75.0352	83	['253']	['468']	['1562']	877.0
073916	39.9036	75.0073	53	['263']	['488']	['1791']	638.0
073935	39.9219	74.9904	23	['274']	['507']	['1966']	640.0
073951	39.9413	74.9888	353	['279']	['517']	['2164']	786.0
074007	39.9607	75.0009	321	['284']	['526']	['2385']	668.0
074030	39.9775	75.0318	301	['288']	['533']	['2598']	296.0
074058	39.9971	75.0747	301	['285']	['528']	['2637']	63.0
074128	40.0173	75.1176	301	['286']	['529']	['2659']	267.0
074158	40.0380	75.1617	301	['288']	['533']	['2903']	282.0
074228	40.0592	75.2070	301	['290']	['538']	['2941']	38.0
074258	40.0805	75.2528	301	['311']	['576']	['2941']	69.0
074328	40.1055	75.3068	301	['350']	['649']	['3010']	427.0
074358	40.1310	75.3618	301	['354']	['655']	['3368']	655.0
074428	40.1555	75.4145	301	['360']	['666']	['3665']	495.0
074458	40.1823	75.4727	301	['360']	['666']	['3863']	450.0
074528	40.2079	75.5284	301	['365']	['676']	['4115']	519.0
074550	40.2283	75.5683	307	['370']	['686']	['4313']	568.0
074626	40.2675	75.6276	311	['376']	['697']	['4663']	568.0
074656	40.3026	75.6807	311	['382']	['708']	['4938']	440.0
074721	40.3313	75.7239	312	['380']	['703']	['5067']	150.0
074751	40.3669	75.7778	311	['382']	['708']	['5075']	8.0
074821	40.4006	75.8289	311	['384']	['711']	['5075']	0
074844	40.4271	75.8697	307	['383']	['710']	['5075']	0
074902	40.4416	75.9080	286	['383']	['710']	['5075']	112.0
074937	40.4555	75.9892	282	['385']	['713']	['5174']	338.0
