# https://zh.flightaware.com//live/flight/AAL1063/history/20221110/0042Z/KLAX/KAUS/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
084519	33.9367	118.4097	262	['162']	['299']	['61']	0
084535	33.9350	118.4225	261	['165']	['306']	['251']	714.0
084551	33.9331	118.4370	262	['170']	['315']	['442']	529.0
084607	33.9305	118.4536	252	['195']	['360']	['533']	329.0
084623	33.9235	118.4698	237	['213']	['394']	['617']	400.0
084639	33.9128	118.4858	230	['232']	['430']	['747']	528.0
084708	33.8918	118.5165	231	['262']	['486']	['1013']	610.0
084730	33.8739	118.5425	229	['276']	['512']	['1265']	710.0
084746	33.8577	118.5559	201	['284']	['526']	['1463']	820.0
084804	33.8326	118.5572	170	['282']	['523']	['1730']	871.0
084828	33.8025	118.5485	168	['284']	['526']	['2073']	771.0
084858	33.7633	118.5385	168	['299']	['554']	['2423']	770.0
084928	33.7224	118.5276	165	['302']	['560']	['2842']	788.0
084945	33.7021	118.5143	141	['303']	['562']	['3040']	582.0
085001	33.6883	118.4917	114	['310']	['575']	['3162']	439.0
085034	33.6725	118.4367	110	['332']	['615']	['3399']	428.0
085104	33.6562	118.3828	110	['361']	['668']	['3612']	411.0
085123	33.6477	118.3473	101	['376']	['697']	['3734']	420.0
085141	33.6446	118.3082	90	['386']	['715']	['3871']	592.0
085214	33.6446	118.2367	90	['397']	['735']	['4237']	689.0
085244	33.6446	118.1674	90	['406']	['752']	['4595']	671.0
085314	33.6446	118.1015	90	['417']	['772']	['4907']	632.0
085344	33.6446	118.0286	90	['429']	['795']	['5227']	640.0
085414	33.6445	117.9580	90	['438']	['811']	['5547']	648.0
085444	33.6445	117.8860	90	['446']	['826']	['5875']	671.0
085501	33.6442	117.8422	92	['451']	['835']	['6073']	653.0
085519	33.6409	117.7983	98	['454']	['840']	['6256']	602.0
085604	33.6170	117.6847	106	['467']	['864']	['6706']	591.0
085634	33.5988	117.6102	106	['474']	['877']	['6995']	556.0
085704	33.5805	117.5358	107	['481']	['892']	['7262']	541.0
085734	33.5615	117.4594	107	['486']	['900']	['7536']	518.0
085804	33.5429	117.3850	107	['490']	['908']	['7780']	503.0
085834	33.5224	117.3029	107	['497']	['921']	['8039']	495.0
085904	33.5080	117.2220	98	['505']	['935']	['8275']	476.0
085922	33.5044	117.1697	92	['509']	['943']	['8420']	440.0
085958	33.5029	117.0694	91	['516']	['956']	['8672']	429.0
090028	33.5017	116.9821	91	['519']	['961']	['8893']	427.0
090058	33.5003	116.8936	91	['524']	['970']	['9098']	389.0
090128	33.4990	116.8085	91	['527']	['975']	['9281']	390.0
090159	33.4977	116.7246	91	['528']	['978']	['9495']	457.0
