# https://zh.flightaware.com//live/flight/AAL117/history/20221101/1030Z/KCMH/KPHL/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
183029	39.9934	82.9037	275	['154']	['285']	['381']	0
183045	39.9941	82.9171	274	['154']	['285']	['602']	757.0
183101	39.9949	82.9343	273	['175']	['323']	['785']	572.0
183117	39.9956	82.9517	274	['204']	['378']	['907']	543.0
183133	39.9968	82.9742	274	['235']	['435']	['1074']	771.0
183149	39.9982	82.9980	277	['246']	['455']	['1318']	1.0
183205	40.0041	83.0208	297	['255']	['472']	['1623']	1.0
183223	40.0172	83.0395	325	['261']	['483']	['1951']	1.0
183241	40.0394	83.0466	3	['278']	['515']	['2278']	1.0
183259	40.0600	83.0362	36	['289']	['536']	['2614']	1.0
183317	40.0731	83.0107	72	['294']	['544']	['2995']	1.0
183343	40.0733	82.9611	96	['323']	['599']	['3360']	702.0
183413	40.0682	82.9005	96	['355']	['658']	['3650']	785.0
183443	40.0634	82.8352	95	['363']	['673']	['4145']	953.0
183513	40.0587	82.7673	95	['372']	['689']	['4602']	762.0
183543	40.0543	82.7028	95	['378']	['700']	['4907']	690.0
183606	40.0506	82.6478	93	['387']	['716']	['5212']	740.0
183625	40.0529	82.6017	82	['391']	['724']	['5425']	700.0
183655	40.0605	82.5335	82	['405']	['750']	['5784']	777.0
183725	40.0687	82.4584	82	['410']	['760']	['6203']	876.0
183755	40.0761	82.3901	82	['407']	['753']	['6660']	732.0
183825	40.0845	82.3139	82	['422']	['782']	['6934']	594.0
183855	40.0927	82.2370	82	['430']	['797']	['7254']	617.0
183925	40.1011	82.1598	82	['438']	['811']	['7551']	610.0
183955	40.1094	82.0814	82	['443']	['821']	['7864']	777.0
184025	40.1178	82.0016	82	['436']	['808']	['8329']	739.0
184055	40.1261	81.9231	82	['443']	['821']	['8603']	671.0
184125	40.1346	81.8419	82	['439']	['813']	['8999']	610.0
184155	40.1426	81.7649	83	['449']	['832']	['9213']	495.0
184225	40.1508	81.6846	82	['452']	['837']	['9495']	556.0
184255	40.1592	81.6012	82	['456']	['845']	['9769']	526.0
184325	40.1674	81.5206	82	['452']	['837']	['10020']	300.0
184356	40.1762	81.4331	82	['453']	['838']	['10074']	30.0
184426	40.1842	81.3542	83	['471']	['872']	['10051']	-15.0
184456	40.1929	81.2669	83	['475']	['880']	['10058']	8.0
184526	40.2010	81.1844	83	['473']	['875']	['10058']	0
184556	40.2097	81.0966	83	['473']	['875']	['10058']	0
184626	40.2180	81.0114	83	['472']	['874']	['10058']	-8.0
184657	40.2262	80.9275	83	['472']	['874']	['10051']	-8.0
184727	40.2342	80.8438	83	['471']	['872']	['10051']	0
184757	40.2424	80.7581	83	['471']	['872']	['10051']	0
184827	40.2503	80.6737	83	['472']	['874']	['10051']	8.0
184857	40.2583	80.5867	84	['471']	['872']	['10058']	8.0
184926	40.2626	80.5042	87	['473']	['875']	['10058']	0
184956	40.2659	80.4189	87	['472']	['874']	['10058']	0
185026	40.2693	80.3328	87	['474']	['877']	['10058']	-8.0
185056	40.2726	80.2465	87	['475']	['880']	['10051']	-8.0
185126	40.2757	80.1615	87	['478']	['885']	['10051']	15.0
185157	40.2791	80.0697	87	['480']	['888']	['10066']	15.0
185227	40.2821	79.9860	87	['481']	['892']	['10066']	8.0
185257	40.2851	79.8986	88	['481']	['892']	['10074']	8.0
185327	40.2881	79.8109	88	['482']	['893']	['10074']	0
185357	40.2910	79.7253	88	['481']	['892']	['10074']	-8.0
185428	40.2940	79.6337	88	['481']	['892']	['10066']	-15.0
185458	40.2967	79.5505	88	['480']	['888']	['10058']	-8.0
185528	40.2995	79.4604	88	['480']	['888']	['10058']	-8.0
185558	40.3021	79.3740	88	['480']	['888']	['10051']	-8.0
185628	40.3047	79.2881	88	['481']	['892']	['10051']	8.0
185658	40.3073	79.2006	88	['481']	['892']	['10058']	8.0
185728	40.3098	79.1094	88	['481']	['892']	['10058']	-23.0
185758	40.3121	79.0221	88	['482']	['893']	['10036']	-168.0
185828	40.3142	78.9387	88	['483']	['895']	['9891']	-297.0
185858	40.3166	78.8518	88	['481']	['892']	['9738']	-293.0
