# https://zh.flightaware.com//live/flight/AAL117/history/20221117/2210Z/KJFK/KLAX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
063236	40.6431	73.8047	302	['159']	['295']	['168']	0
063252	40.6484	73.8167	297	['152']	['282']	['419']	686.0
063308	40.6506	73.8320	273	['159']	['295']	['533']	343.0
063324	40.6477	73.8476	245	['180']	['333']	['602']	243.0
063340	40.6383	73.8620	224	['202']	['373']	['663']	287.0
063407	40.6184	73.8863	223	['236']	['438']	['808']	457.0
063425	40.6014	73.9036	213	['249']	['462']	['1006']	729.0
063444	40.5831	73.9178	211	['253']	['468']	['1257']	709.0
063514	40.5523	73.9420	211	['267']	['494']	['1585']	678.0
063544	40.5191	73.9684	212	['278']	['515']	['1935']	841.0
063610	40.4916	73.9907	214	['265']	['491']	['2370']	924.0
063630	40.4715	74.0089	215	['263']	['488']	['2644']	800.0
063646	40.4562	74.0273	230	['258']	['478']	['2850']	721.0
063703	40.4457	74.0470	237	['256']	['475']	['3040']	539.0
063736	40.4225	74.0900	235	['277']	['513']	['3299']	348.0
063806	40.3977	74.1360	235	['306']	['566']	['3406']	295.0
063824	40.3847	74.1620	241	['315']	['583']	['3536']	640.0
063841	40.3787	74.1917	261	['304']	['563']	['3780']	807.0
063858	40.3743	74.2256	260	['305']	['565']	['3993']	686.0
063929	40.3669	74.2820	261	['308']	['570']	['4328']	689.0
064003	40.3592	74.3427	261	['304']	['563']	['4740']	664.0
064022	40.3547	74.3787	261	['307']	['568']	['4915']	526.0
064043	40.3500	74.4155	261	['310']	['575']	['5090']	354.0
064102	40.3458	74.4495	262	['311']	['576']	['5151']	134.0
064131	40.3389	74.5040	262	['310']	['575']	['5197']	356.0
064201	40.3319	74.5596	261	['303']	['562']	['5502']	522.0
064302	40.3176	74.6711	260	['311']	['576']	['5989']	469.0
064321	40.3130	74.7074	262	['313']	['579']	['6126']	532.0
064351	40.3058	74.7636	260	['310']	['575']	['6424']	511.0
064421	40.2989	74.8165	260	['313']	['579']	['6637']	429.0
064439	40.2943	74.8520	260	['317']	['587']	['6767']	429.0
064509	40.2868	74.9105	260	['319']	['591']	['6980']	411.0
064539	40.2793	74.9680	260	['323']	['599']	['7178']	362.0
064602	40.2737	75.0107	260	['325']	['602']	['7300']	155.0
064632	40.2658	75.0706	260	['322']	['597']	['7315']	107.0
064702	40.2584	75.1273	260	['324']	['600']	['7407']	251.0
064732	40.2508	75.1846	260	['327']	['605']	['7567']	316.0
064754	40.2452	75.2269	260	['329']	['610']	['7681']	316.0
064824	40.2374	75.2859	260	['333']	['616']	['7841']	244.0
064854	40.2293	75.3458	260	['332']	['615']	['7925']	84.0
064924	40.2215	75.4042	260	['341']	['631']	['7925']	0
064954	40.2131	75.4667	260	['351']	['650']	['7925']	0
065024	40.2042	75.5322	260	['351']	['650']	['7925']	0
065054	40.1961	75.5922	260	['349']	['647']	['7925']	0
065124	40.1878	75.6534	260	['351']	['650']	['7925']	0
065154	40.1792	75.7157	260	['352']	['652']	['7925']	0
065224	40.1706	75.7789	260	['350']	['649']	['7925']	0
065249	40.1637	75.8298	260	['350']	['649']	['7925']	-8.0
065319	40.1548	75.8933	260	['350']	['649']	['7917']	-8.0
065349	40.1457	75.9584	260	['351']	['650']	['7917']	8.0
