name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KLAX	33.9424964	-118.4080486	271°	NA	3979.0	0.0	Origin Airport
DLREY	33.9436944	-118.4651389	268°	5.0	3983.0	5.0	Waypoint
ENNEY	33.9424722	-118.5057778	265°	4.0	3987.0	9.0	Waypoint
NAANC	33.9316667	-118.6438889	177°	13.0	3999.0	22.0	Waypoint
HAYNK	33.8405833	-118.6373056	146°	10.0	4003.0	24.0	Waypoint
PEVEE	33.6972222	-118.5208333	110°	19.0	3999.0	29.0	Waypoint
HOLTZ	33.6445556	-118.343	90°	17.0	3987.0	34.0	Waypoint
OSHNN	33.6446111	-118.1796667	37°	15.0	3973.0	39.0	Waypoint
CAHIL	33.9062778	-117.9448056	37°	36.0	3941.0	43.0	Waypoint
ZOOMM	33.9526111	-117.9024722	37°	6.0	3936.0	47.0	Waypoint
SEBBY	34.0896944	-117.7769722	51°	19.0	3919.0	60.0	Reporting Point
PLAYY	34.2998056	-117.4646667	51°	37.0	3883.0	96.0	Waypoint
ARCUS	34.5416667	-117.1017778	50°	43.0	3842.0	137.0	Waypoint
YELAH	34.8541667	-116.6446944	48°	54.0	3790.0	191.0	Waypoint
WYZEE	35.6960833	-115.5035278	48°	140.0	3658.0	329.0	Waypoint
BEALE	36.1824444	-114.8261389	54°	82.0	3582.0	411.0	Reporting Point
BAWER	37.6351889	-112.2794139	48°	278.0	3314.0	689.0	WAYPOINT
KIMMR	39.2292333	-109.9583611	59°	269.0	3070.0	957.0	WAYPOINT
BFF	41.8941667	-103.4819444	79°	623.0	2477.0	1578.0	VOR-TAC (NAVAID)
ONL	42.4705556	-98.6869444	86°	401.0	2077.0	1962.0	VOR-TAC (NAVAID)
FOD	42.6111111	-94.2947222	93°	361.0	1717.0	2307.0	VOR-TAC (NAVAID)
DBQ	42.4013889	-90.7091667	86°	295.0	1422.0	2586.0	VOR-TAC (NAVAID)
KG75M	42.5	-88.0	90°	223.0	1201.0	2807.0	NRS-WAYPOINT
DAFLU	42.3790833	-82.6887778	NA	436.0	767.0	3238.0	Reporting Point
J70	NA	NA	NA	NA	NA	NA	UNKNOWN
LVZ	41.2728056	-75.6894722	114°	NA	175.0	3815.0	VOR-TAC (NAVAID)
JENNO	41.1529167	-75.3314167	114°	33.0	143.0	3845.0	Reporting Point
HARTY	41.0711944	-75.0898889	114°	22.0	120.0	3866.0	Reporting Point
STW	40.9958333	-74.8690278	98°	20.0	100.0	3885.0	VOR-DME (NAVAID)
LENDY	40.9148333	-74.13525	123°	62.0	43.0	3947.0	Reporting Point
LGA	40.7837222	-73.8686111	155°	27.0	18.0	3970.0	VOR-DME (NAVAID)
KJFK	40.6399278	-73.7786925	NA	18.0	0.0	3979.0	Destination Airport
