# https://zh.flightaware.com//live/flight/AAL1638/history/20221029/1906Z/KCLT/KMCO/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
030525	35.2311	80.9542	349	['161']	['298']	['461']	0
030541	35.2415	80.9612	323	['174']	['322']	['643']	515.0
030557	35.2522	80.9719	320	['191']	['354']	['735']	314.0
030613	35.2637	80.9837	321	['207']	['383']	['811']	253.0
030635	35.2809	81.0013	319	['235']	['435']	['895']	313.0
030651	35.2911	81.0201	290	['262']	['486']	['1009']	485.0
030707	35.2929	81.0433	266	['277']	['513']	['1154']	444.0
030727	35.2901	81.0749	264	['276']	['512']	['1276']	741.0
030757	35.2859	81.1216	263	['273']	['505']	['1771']	759.0
030814	35.2784	81.1459	239	['273']	['505']	['1870']	429.0
030830	35.2667	81.1669	235	['276']	['512']	['2007']	386.0
030846	35.2534	81.1864	222	['280']	['518']	['2076']	511.0
030904	35.2332	81.2000	205	['282']	['523']	['2297']	819.0
030934	35.1972	81.2191	203	['282']	['523']	['2731']	597.0
030953	35.1748	81.2304	199	['287']	['531']	['2784']	661.0
031010	35.1522	81.2328	172	['293']	['542']	['3127']	810.0
031028	35.1285	81.2231	158	['305']	['565']	['3257']	419.0
031058	35.0872	81.2021	158	['331']	['613']	['3463']	541.0
031128	35.0451	81.1813	158	['337']	['624']	['3798']	671.0
031158	35.0004	81.1593	158	['344']	['637']	['4133']	701.0
031228	34.9573	81.1381	158	['347']	['642']	['4499']	625.0
031258	34.9114	81.1154	158	['355']	['658']	['4758']	450.0
031328	34.8639	81.0922	158	['364']	['674']	['4948']	678.0
031358	34.8177	81.0695	158	['367']	['679']	['5436']	785.0
031428	34.7701	81.0460	158	['372']	['689']	['5733']	625.0
031458	34.7219	81.0223	158	['374']	['692']	['6061']	640.0
031528	34.6732	80.9984	158	['375']	['695']	['6373']	196.0
031546	34.6433	80.9838	159	['379']	['702']	['6218']	20.0
031605	34.6123	80.9753	174	['378']	['700']	['6386']	478.0
031630	34.5690	80.9780	184	['382']	['708']	['6568']	524.0
031700	34.5151	80.9829	184	['383']	['710']	['6866']	442.0
031730	34.4606	80.9880	185	['393']	['727']	['7010']	251.0
031800	34.4073	80.9930	184	['409']	['758']	['7117']	213.0
031830	34.3499	80.9983	184	['424']	['785']	['7224']	206.0
031900	34.2903	81.0037	185	['437']	['810']	['7323']	191.0
031930	34.2285	81.0096	185	['449']	['832']	['7414']	250.0
032015	34.1327	81.0186	184	['457']	['847']	['7635']	349.0
032046	34.0677	81.0246	184	['455']	['843']	['7856']	592.0
032116	34.0038	81.0303	184	['444']	['822']	['8237']	597.0
032135	33.9667	81.0322	181	['446']	['826']	['8344']	317.0
032205	33.9025	81.0317	180	['450']	['834']	['8496']	381.0
032235	33.8408	81.0312	180	['446']	['826']	['8725']	404.0
032305	33.7791	81.0306	180	['447']	['827']	['8900']	343.0
032335	33.7164	81.0301	180	['448']	['830']	['9068']	229.0
032409	33.6448	81.0294	180	['454']	['840']	['9144']	71.0
032439	33.5825	81.0288	180	['454']	['840']	['9144']	0
032511	33.5154	81.0282	180	['457']	['847']	['9144']	0
032541	33.4527	81.0276	180	['457']	['847']	['9144']	0
032611	33.3870	81.0270	180	['455']	['843']	['9144']	-8.0
032642	33.3253	81.0264	180	['453']	['838']	['9136']	-7.0
032715	33.2535	81.0257	180	['452']	['837']	['9136']	0
032746	33.1882	81.0252	180	['451']	['835']	['9136']	0
032820	33.1174	81.0245	180	['451']	['835']	['9136']	0
032851	33.0539	81.0239	180	['452']	['837']	['9136']	7.0
032922	32.9880	81.0233	180	['452']	['837']	['9144']	7.0
032955	32.9195	81.0227	180	['452']	['837']	['9144']	0
033025	32.8564	81.0220	180	['452']	['837']	['9144']	0
033055	32.7942	81.0214	180	['452']	['837']	['9144']	0
033125	32.7301	81.0208	180	['452']	['837']	['9144']	0
033155	32.6684	81.0203	180	['455']	['843']	['9144']	0
033226	32.6039	81.0197	180	['457']	['847']	['9144']	0
033256	32.5384	81.0191	180	['458']	['848']	['9144']	0
033326	32.4743	81.0196	181	['458']	['848']	['9144']	0
033356	32.4107	81.0210	181	['458']	['848']	['9144']	0
033426	32.3480	81.0236	184	['455']	['843']	['9144']	0
033501	32.2740	81.0340	187	['451']	['835']	['9144']	0
033531	32.2138	81.0430	187	['449']	['832']	['9144']	0
033601	32.1501	81.0526	187	['448']	['830']	['9144']	0
033632	32.0849	81.0624	187	['449']	['832']	['9144']	0
033702	32.0258	81.0713	187	['448']	['830']	['9144']	0
033732	31.9624	81.0807	187	['447']	['827']	['9144']	0
033802	31.9028	81.0896	187	['447']	['827']	['9144']	0
033832	31.8410	81.0988	187	['447']	['827']	['9144']	0
033902	31.7802	81.1078	187	['447']	['827']	['9144']	0
033933	31.7162	81.1174	187	['447']	['827']	['9144']	0
034003	31.6551	81.1265	187	['446']	['826']	['9144']	0
034033	31.5935	81.1353	186	['435']	['806']	['9144']	0
034050	31.5593	81.1380	182	['433']	['801']	['9144']	0
034121	31.4974	81.1407	182	['433']	['801']	['9144']	0
034151	31.4375	81.1432	182	['435']	['806']	['9144']	0
034222	31.3757	81.1458	182	['433']	['801']	['9144']	-30.0
034253	31.3116	81.1485	182	['433']	['801']	['9114']	-251.0
034324	31.2501	81.1511	182	['433']	['801']	['8885']	-457.0
034356	31.1838	81.1540	182	['433']	['801']	['8633']	-329.0
034428	31.1215	81.1565	182	['426']	['789']	['8534']	-96.0
034458	31.0637	81.1587	182	['425']	['787']	['8534']	0
034529	31.0029	81.1613	182	['424']	['785']	['8534']	0
034559	30.9438	81.1637	182	['425']	['787']	['8534']	0
034629	30.8848	81.1662	182	['428']	['793']	['8534']	0
034702	30.8179	81.1689	182	['427']	['790']	['8534']	0
034732	30.7585	81.1714	182	['425']	['787']	['8534']	0
034802	30.7011	81.1737	182	['425']	['787']	['8534']	0
