# https://zh.flightaware.com//live/flight/AAL1638/history/20221102/2140Z/KMCO/KCLT/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
053418	28.4332	81.2959	359	['180']	['333']	['38']	0
053434	28.4446	81.2963	359	['172']	['319']	['244']	786.0
053450	28.4568	81.2930	26	['167']	['309']	['457']	643.0
053506	28.4684	81.2858	31	['180']	['333']	['587']	429.0
053522	28.4802	81.2772	33	['201']	['372']	['686']	368.0
053552	28.5061	81.2590	30	['241']	['446']	['869']	483.0
053615	28.5330	81.2518	5	['264']	['489']	['1113']	798.0
053730	28.6241	81.2556	357	['281']	['520']	['2172']	827.0
053800	28.6671	81.2582	357	['286']	['529']	['2560']	792.0
053830	28.7072	81.2602	358	['293']	['542']	['2964']	785.0
053853	28.7401	81.2618	356	['298']	['552']	['3254']	809.0
053909	28.7606	81.2667	341	['294']	['544']	['3490']	757.0
053951	28.8131	81.2917	337	['304']	['563']	['3985']	553.0
054021	28.8540	81.3111	337	['330']	['612']	['4153']	320.0
054051	28.8980	81.3324	337	['356']	['660']	['4305']	297.0
054121	28.9454	81.3552	337	['381']	['705']	['4450']	328.0
054151	28.9966	81.3799	337	['397']	['735']	['4633']	473.0
054220	29.0456	81.4030	339	['402']	['745']	['4915']	549.0
054236	29.0752	81.4126	348	['410']	['760']	['5044']	539.0
054310	29.1390	81.4271	349	['414']	['766']	['5364']	564.0
054340	29.1938	81.4395	349	['414']	['766']	['5646']	512.0
054400	29.2319	81.4481	350	['416']	['771']	['5791']	412.0
054441	29.3112	81.4660	349	['425']	['787']	['6066']	398.0
054502	29.3513	81.4750	349	['430']	['797']	['6203']	404.0
054532	29.4102	81.4884	349	['434']	['803']	['6408']	403.0
054601	29.4689	81.5017	349	['438']	['811']	['6599']	396.0
054632	29.5314	81.5159	349	['443']	['821']	['6805']	393.0
054712	29.6115	81.5341	350	['446']	['826']	['7064']	384.0
054753	29.6959	81.5533	349	['451']	['835']	['7323']	343.0
054824	29.7591	81.5676	349	['457']	['847']	['7475']	296.0
054844	29.8010	81.5772	349	['458']	['848']	['7574']	329.0
054914	29.8613	81.5910	349	['460']	['851']	['7750']	361.0
054936	29.9105	81.6022	349	['461']	['855']	['7887']	484.0
055006	29.9708	81.6160	349	['452']	['837']	['8169']	495.0
055036	30.0321	81.6300	350	['449']	['832']	['8382']	431.0
055116	30.1124	81.6485	349	['446']	['826']	['8672']	406.0
055147	30.1699	81.6616	349	['446']	['826']	['8862']	322.0
055217	30.2370	81.6771	349	['449']	['832']	['8999']	282.0
055247	30.2975	81.6912	349	['450']	['834']	['9144']	381.0
055317	30.3600	81.7054	349	['444']	['822']	['9380']	352.0
055339	30.4051	81.7157	349	['443']	['821']	['9449']	79.0
055409	30.4627	81.7291	349	['443']	['821']	['9449']	0
055439	30.5238	81.7433	349	['445']	['824']	['9449']	0
055509	30.5875	81.7580	349	['446']	['826']	['9449']	0
