# https://zh.flightaware.com//live/flight/AAL1638/history/20221124/0040Z/KORD/KLGA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
083801	41.9691	87.9250	272	['164']	['304']	['206']	0
083817	41.9717	87.9406	298	['165']	['306']	['427']	729.0
083833	41.9821	87.9521	335	['185']	['343']	['594']	486.0
083849	41.9962	87.9528	10	['216']	['401']	['686']	329.0
083905	42.0112	87.9426	33	['241']	['446']	['770']	357.0
083921	42.0275	87.9274	36	['267']	['494']	['876']	657.0
083937	42.0448	87.9103	37	['272']	['504']	['1120']	1.0
083940	42.0463	87.9089	37	['273']	['505']	['1200']	372.0
084041	42.1102	87.8444	37	['284']	['526']	['1516']	372.0
084057	42.1276	87.8271	36	['285']	['528']	['1676']	836.0
084116	42.1482	87.8062	39	['284']	['526']	['2004']	954.0
084132	42.1608	87.7860	60	['287']	['531']	['2233']	900.0
084148	42.1653	87.7562	90	['285']	['528']	['2484']	820.0
084206	42.1602	87.7288	112	['287']	['531']	['2697']	849.0
084251	42.1354	87.6524	113	['304']	['563']	['3376']	981.0
084321	42.1178	87.5975	113	['309']	['573']	['3924']	892.0
084351	42.1011	87.5458	114	['334']	['618']	['4267']	526.0
084421	42.0812	87.4838	113	['377']	['698']	['4450']	671.0
084451	42.0602	87.4176	113	['386']	['715']	['4938']	945.0
084521	42.0389	87.3509	114	['396']	['734']	['5395']	899.0
084551	42.0164	87.2816	114	['407']	['753']	['5837']	846.0
084621	41.9929	87.2090	113	['417']	['772']	['6241']	792.0
084651	41.9692	87.1361	114	['428']	['793']	['6629']	720.0
084708	41.9578	87.0987	109	['435']	['806']	['6805']	655.0
084728	41.9484	87.0445	98	['443']	['821']	['7033']	658.0
084749	41.9470	86.9869	89	['450']	['834']	['7254']	628.0
084819	41.9482	86.9004	89	['461']	['855']	['7567']	614.0
084850	41.9495	86.8096	89	['470']	['871']	['7879']	607.0
084920	41.9507	86.7210	89	['476']	['882']	['8184']	579.0
084950	41.9519	86.6359	89	['482']	['893']	['8458']	541.0
085020	41.9530	86.5458	89	['491']	['909']	['8725']	480.0
085050	41.9542	86.4488	89	['500']	['925']	['8938']	495.0
085120	41.9552	86.3574	89	['502']	['930']	['9220']	572.0
085150	41.9561	86.2666	89	['502']	['930']	['9510']	567.0
085210	41.9550	86.2034	94	['504']	['933']	['9693']	503.0
085240	41.9470	86.1118	97	['508']	['941']	['9929']	457.0
085310	41.9382	86.0155	97	['512']	['948']	['10150']	450.0
085340	41.9291	85.9174	97	['515']	['954']	['10378']	450.0
085410	41.9205	85.8261	97	['516']	['956']	['10599']	472.0
085440	41.9115	85.7312	97	['514']	['953']	['10851']	503.0
085510	41.9022	85.6354	97	['512']	['948']	['11102']	541.0
085540	41.8933	85.5435	97	['505']	['935']	['11392']	541.0
