# https://zh.flightaware.com//live/flight/AAL1642/history/20221115/1132Z/KMIA/KORD/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
192943	25.8023	80.2630	86	['178']	['330']	['145']	0
192959	25.8030	80.2491	87	['180']	['333']	['335']	629.0
193015	25.8036	80.2330	88	['193']	['357']	['480']	557.0
193031	25.8041	80.2168	88	['203']	['377']	['632']	531.0
193052	25.8051	80.1940	84	['223']	['414']	['808']	551.0
193110	25.8111	80.1721	63	['242']	['447']	['991']	661.0
193128	25.8249	80.1566	29	['252']	['467']	['1204']	659.0
193144	25.8451	80.1517	1	['270']	['501']	['1364']	692.0
193205	25.8707	80.1545	353	['276']	['512']	['1631']	732.0
193224	25.8935	80.1578	349	['280']	['518']	['1852']	749.0
193252	25.9295	80.1695	342	['288']	['533']	['2217']	812.0
193322	25.9688	80.1836	341	['289']	['536']	['2637']	749.0
193339	25.9880	80.1966	319	['292']	['541']	['2804']	614.0
193357	26.0005	80.2201	292	['298']	['552']	['2995']	457.0
193433	26.0182	80.2717	291	['323']	['599']	['3216']	340.0
193503	26.0347	80.3185	292	['345']	['639']	['3368']	389.0
193533	26.0543	80.3729	292	['358']	['663']	['3604']	533.0
193603	26.0721	80.4214	292	['363']	['673']	['3901']	678.0
193633	26.0914	80.4746	292	['360']	['666']	['4282']	739.0
193703	26.1105	80.5274	292	['360']	['666']	['4641']	667.0
193721	26.1212	80.5565	294	['364']	['674']	['4816']	509.0
193738	26.1372	80.5838	314	['375']	['695']	['4938']	430.0
193755	26.1601	80.6035	331	['387']	['716']	['5060']	532.0
193833	26.2224	80.6338	337	['393']	['727']	['5425']	592.0
193903	26.2744	80.6579	337	['396']	['734']	['5730']	604.0
193929	26.3206	80.6800	335	['397']	['735']	['5989']	541.0
194014	26.3899	80.7238	330	['402']	['745']	['6370']	524.0
194044	26.4384	80.7554	329	['404']	['748']	['6645']	549.0
194114	26.4878	80.7878	329	['407']	['753']	['6919']	503.0
194144	26.5359	80.8194	330	['413']	['764']	['7148']	472.0
194214	26.5862	80.8523	330	['416']	['771']	['7391']	533.0
194244	26.6376	80.8859	330	['416']	['771']	['7681']	540.0
194309	26.6789	80.9129	330	['416']	['771']	['7887']	440.0
194339	26.7277	80.9449	330	['421']	['779']	['8085']	419.0
194409	26.7786	80.9782	330	['422']	['782']	['8306']	409.0
194436	26.8243	81.0081	330	['425']	['787']	['8473']	353.0
194506	26.8761	81.0421	330	['429']	['795']	['8641']	329.0
194526	26.9101	81.0644	330	['433']	['801']	['8748']	340.0
194545	26.9428	81.0858	331	['433']	['801']	['8862']	392.0
194615	26.9944	81.1197	330	['434']	['803']	['9068']	427.0
194645	27.0463	81.1538	329	['432']	['800']	['9289']	450.0
194715	27.0987	81.1885	330	['429']	['795']	['9517']	442.0
