# https://zh.flightaware.com//live/flight/AAL2134/history/20221120/2038Z/KMKE/KCLT/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
082339	42.9378	87.8964	186	['146']	['270']	['312']	0
082355	42.9271	87.8940	161	['154']	['285']	['594']	914.0
082411	42.9154	87.8876	156	['172']	['319']	['800']	729.0
082427	42.9037	87.8802	155	['193']	['357']	['983']	643.0
082443	42.8898	87.8699	146	['227']	['420']	['1143']	553.0
082510	42.8646	87.8414	139	['285']	['528']	['1379']	898.0
082540	42.8341	87.8055	139	['292']	['541']	['1996']	1.0
082610	42.8009	87.7665	140	['306']	['566']	['2545']	1.0
082655	42.7529	87.7107	140	['321']	['594']	['3345']	1.0
082725	42.7188	87.6713	140	['327']	['605']	['3909']	1.0
082742	42.6958	87.6496	154	['333']	['616']	['4145']	817.0
082758	42.6740	87.6421	173	['328']	['607']	['4359']	567.0
082836	42.6127	87.6372	177	['371']	['687']	['4656']	437.0
082906	42.5595	87.6332	177	['403']	['747']	['4854']	366.0
082936	42.4997	87.6286	177	['432']	['800']	['5022']	450.0
083006	42.4395	87.6241	179	['443']	['821']	['5304']	636.0
083027	42.3979	87.6288	189	['440']	['814']	['5563']	692.0
083043	42.3661	87.6355	189	['444']	['822']	['5730']	623.0
083100	42.3327	87.6428	192	['447']	['827']	['5906']	569.0
083124	42.2842	87.6638	203	['447']	['827']	['6119']	542.0
083154	42.2263	87.6965	203	['455']	['843']	['6393']	572.0
083224	42.1656	87.7306	203	['460']	['851']	['6690']	511.0
083254	42.1087	87.7624	201	['470']	['871']	['6904']	421.0
083315	42.0618	87.7789	188	['486']	['900']	['7049']	424.0
083335	42.0168	87.7819	181	['494']	['914']	['7193']	426.0
083359	41.9666	87.7833	182	['499']	['924']	['7361']	423.0
083429	41.8958	87.7799	175	['506']	['937']	['7574']	503.0
083459	41.8235	87.7711	175	['505']	['935']	['7864']	617.0
083529	41.7518	87.7623	175	['500']	['925']	['8192']	572.0
083559	41.6815	87.7538	175	['501']	['929']	['8435']	472.0
083629	41.6133	87.7455	175	['504']	['933']	['8664']	579.0
083659	41.5451	87.7371	175	['495']	['917']	['9014']	625.0
083729	41.4765	87.7288	175	['494']	['914']	['9289']	549.0
083759	41.4087	87.7205	175	['491']	['909']	['9563']	625.0
083829	41.3445	87.7128	175	['482']	['893']	['9914']	495.0
083859	41.2781	87.7048	175	['476']	['882']	['10058']	152.0
083929	41.2084	87.6965	175	['469']	['869']	['10066']	-8.0
083959	41.1457	87.6891	175	['474']	['877']	['10051']	-8.0
084029	41.0797	87.6811	175	['474']	['877']	['10058']	46.0
084059	41.0138	87.6732	175	['470']	['871']	['10097']	373.0
084129	40.9522	87.6656	175	['459']	['850']	['10432']	564.0
084159	40.8863	87.6576	175	['461']	['855']	['10660']	236.0
084229	40.8226	87.6501	175	['462']	['856']	['10668']	9.0
084249	40.7790	87.6444	173	['466']	['863']	['10668']	8.0
084325	40.7032	87.6245	165	['474']	['877']	['10676']	7.0
084355	40.6427	87.5982	159	['480']	['888']	['10676']	-6.0
084435	40.5592	87.5445	150	['489']	['906']	['10668']	-6.0
084509	40.4938	87.4951	150	['491']	['909']	['10668']	-7.0
084539	40.4362	87.4518	150	['493']	['912']	['10660']	-8.0
084609	40.3767	87.4071	150	['495']	['917']	['10660']	8.0
084639	40.3150	87.3609	150	['497']	['921']	['10668']	23.0
084710	40.2527	87.3143	150	['498']	['922']	['10683']	7.0
084741	40.1890	87.2667	150	['498']	['922']	['10676']	-8.0
084811	40.1293	87.2222	150	['497']	['921']	['10676']	8.0
084841	40.0718	87.1796	151	['496']	['919']	['10683']	0
084911	40.0130	87.1361	150	['496']	['919']	['10676']	-8.0
084938	39.9611	87.0949	147	['497']	['921']	['10676']	0
