# https://zh.flightaware.com//live/flight/AAL2142/history/20221113/1910Z/KDCA/KBOS/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
043205	38.8577	77.0382	358	['142']	['262']	['46']	0
043221	38.8668	77.0389	351	['136']	['253']	['305']	829.0
043237	38.8760	77.0447	326	['139']	['257']	['488']	543.0
043253	38.8855	77.0546	319	['167']	['309']	['594']	343.0
043309	38.8958	77.0662	318	['200']	['370']	['671']	515.0
043325	38.9049	77.0806	305	['221']	['409']	['869']	967.0
043344	38.9167	77.1044	306	['231']	['428']	['1234']	1.0
043401	38.9294	77.1192	324	['235']	['435']	['1532']	1.0
043422	38.9487	77.1351	331	['238']	['441']	['1951']	1.0
043439	38.9654	77.1448	342	['248']	['459']	['2195']	1.0
043458	38.9878	77.1459	9	['256']	['475']	['2576']	1.0
043515	39.0070	77.1348	36	['288']	['533']	['2797']	803.0
043531	39.0249	77.1166	40	['301']	['557']	['3018']	814.0
043547	39.0392	77.0946	58	['322']	['597']	['3231']	767.0
043605	39.0477	77.0584	80	['346']	['641']	['3452']	525.0
043641	39.0568	76.9838	81	['390']	['723']	['3703']	402.0
043711	39.0659	76.9108	81	['424']	['785']	['3894']	594.0
043741	39.0755	76.8359	81	['432']	['800']	['4298']	724.0
043811	39.0853	76.7590	81	['447']	['827']	['4618']	701.0
043841	39.0961	76.6787	80	['453']	['838']	['4999']	632.0
043911	39.1077	76.5989	80	['470']	['871']	['5250']	533.0
043941	39.1198	76.5125	80	['481']	['892']	['5532']	582.0
044024	39.1338	76.3891	82	['495']	['917']	['5959']	570.0
044054	39.1430	76.3054	82	['503']	['932']	['6226']	541.0
044124	39.1532	76.2141	82	['509']	['943']	['6500']	594.0
044154	39.1638	76.1220	82	['512']	['948']	['6820']	495.0
044224	39.1745	76.0296	82	['519']	['961']	['6995']	220.0
044246	39.1820	75.9652	79	['520']	['962']	['7010']	35.0
044303	39.1935	75.9136	70	['525']	['972']	['7018']	0
044325	39.2196	75.8558	52	['527']	['975']	['7010']	0
044408	39.2976	75.7655	41	['525']	['972']	['7018']	169.0
044438	39.3540	75.7034	41	['533']	['987']	['7216']	411.0
044508	39.4091	75.6425	41	['541']	['1003']	['7430']	404.0
044538	39.4652	75.5808	41	['550']	['1019']	['7620']	427.0
044608	39.5255	75.5143	41	['553']	['1024']	['7856']	572.0
044638	39.5827	75.4512	41	['548']	['1015']	['8192']	648.0
044708	39.6407	75.3868	41	['547']	['1012']	['8504']	594.0
044738	39.6976	75.3237	41	['545']	['1009']	['8786']	335.0
044808	39.7561	75.2583	42	['544']	['1007']	['8839']	68.0
044825	39.7858	75.2225	44	['545']	['1009']	['8839']	0
044902	39.8491	75.1333	49	['545']	['1009']	['8839']	0
044933	39.9003	75.0571	49	['546']	['1011']	['8839']	0
045003	39.9507	74.9813	51	['546']	['1011']	['8839']	0
045033	39.9947	74.9046	56	['544']	['1007']	['8839']	0
045103	40.0372	74.8212	57	['544']	['1007']	['8839']	-8.0
045133	40.0801	74.7369	57	['543']	['1006']	['8832']	0
045203	40.1206	74.6571	57	['544']	['1007']	['8839']	0
045223	40.1481	74.6034	55	['545']	['1009']	['8832']	0
045253	40.1956	74.5231	51	['547']	['1012']	['8839']	7.0
045331	40.2545	74.4283	51	['547']	['1012']	['8839']	0
045401	40.3028	74.3502	51	['548']	['1015']	['8839']	0
045431	40.3495	74.2748	51	['548']	['1015']	['8839']	-69.0
045501	40.3986	74.1952	51	['553']	['1024']	['8771']	-213.0
045531	40.4477	74.1155	51	['552']	['1022']	['8626']	-290.0
045601	40.4948	74.0387	51	['548']	['1015']	['8481']	-297.0
045631	40.5425	73.9610	51	['545']	['1009']	['8329']	-251.0
045701	40.5907	73.8823	51	['542']	['1004']	['8230']	-91.0
045731	40.6309	73.8166	52	['534']	['990']	['8237']	0
045801	40.6821	73.7321	51	['536']	['993']	['8230']	-15.0
045831	40.7284	73.6560	51	['531']	['983']	['8222']	0
045901	40.7746	73.5795	52	['525']	['972']	['8230']	8.0
045931	40.8212	73.5024	52	['526']	['974']	['8230']	0
050001	40.8650	73.4314	49	['526']	['974']	['8230']	-10.0
050018	40.8941	73.3901	44	['526']	['974']	['8222']	-111.0
050034	40.9259	73.3568	34	['525']	['972']	['8169']	-194.0
050051	40.9627	73.3309	24	['523']	['969']	['8115']	-204.0
050121	41.0269	73.2940	23	['524']	['970']	['8009']	-213.0
050151	41.0952	73.2548	24	['523']	['969']	['7902']	-213.0
050221	41.1608	73.2171	24	['520']	['962']	['7795']	-282.0
050251	41.2260	73.1800	23	['516']	['956']	['7620']	-356.0
050315	41.2794	73.1498	25	['513']	['950']	['7475']	-345.0
050336	41.3234	73.1132	39	['514']	['953']	['7361']	-320.0
050355	41.3523	73.0720	54	['507']	['938']	['7262']	-309.0
050413	41.3722	73.0239	68	['492']	['911']	['7170']	-285.0
050456	41.3919	72.9029	80	['472']	['874']	['6972']	-294.0
050526	41.4035	72.8141	80	['467']	['864']	['6812']	-312.0
050556	41.4141	72.7324	80	['463']	['858']	['6660']	-297.0
050626	41.4248	72.6488	80	['457']	['847']	['6515']	-259.0
050656	41.4357	72.5627	81	['453']	['838']	['6401']	-114.0
050726	41.4462	72.4796	81	['462']	['856']	['6401']	0
050756	41.4563	72.3982	81	['464']	['859']	['6401']	0
050826	41.4668	72.3138	81	['466']	['863']	['6401']	0
050855	41.4781	72.2294	77	['472']	['874']	['6401']	0
050913	41.4903	72.1819	66	['484']	['896']	['6401']	0
050943	41.5198	72.1003	64	['487']	['901']	['6401']	0
051013	41.5499	72.0179	65	['485']	['898']	['6401']	-107.0
051030	41.5648	71.9728	68	['479']	['887']	['6317']	-506.0
051100	41.5887	71.8925	68	['471']	['872']	['6005']	-556.0
051130	41.6136	71.8090	69	['466']	['863']	['5761']	-358.0
051200	41.6368	71.7300	69	['464']	['859']	['5646']	-259.0
051230	41.6596	71.6525	69	['445']	['824']	['5502']	-267.0
051300	41.6820	71.5767	69	['413']	['764']	['5380']	-442.0
051330	41.7016	71.5098	69	['400']	['740']	['5060']	-762.0
051357	41.7205	71.4449	67	['398']	['737']	['4656']	-631.0
051441	41.7598	71.3488	60	['392']	['726']	['4313']	-402.0
051511	41.7856	71.2884	60	['384']	['711']	['4161']	-343.0
051541	41.8117	71.2267	60	['381']	['705']	['3970']	-351.0
051611	41.8377	71.1655	60	['362']	['671']	['3810']	-305.0
051641	41.8616	71.1091	60	['361']	['668']	['3665']	-290.0
051711	41.8877	71.0489	60	['357']	['661']	['3520']	-251.0
