# https://zh.flightaware.com//live/flight/AAL2159/history/20221117/1110Z/KBOS/KDCA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
192817	42.3605	71.0132	200	['147']	['272']	['122']	0
192833	42.3507	71.0174	194	['145']	['269']	['358']	814.0
192849	42.3398	71.0166	162	['161']	['298']	['556']	614.0
192905	42.3302	71.0057	128	['187']	['346']	['686']	529.0
192921	42.3209	70.9885	125	['210']	['389']	['838']	586.0
192937	42.3122	70.9708	118	['229']	['425']	['998']	686.0
192953	42.3080	70.9483	94	['247']	['457']	['1204']	872.0
193020	42.3149	70.9039	76	['274']	['507']	['1623']	1.0
193050	42.3239	70.8543	76	['288']	['533']	['2172']	1.0
193108	42.3295	70.8226	80	['295']	['546']	['2515']	993.0
193125	42.3284	70.7887	106	['311']	['576']	['2751']	876.0
193144	42.3178	70.7581	124	['309']	['573']	['3040']	1.0
193202	42.2989	70.7325	146	['295']	['546']	['3368']	1.0
193218	42.2792	70.7226	170	['273']	['505']	['3665']	1.0
193238	42.2550	70.7238	190	['255']	['472']	['4016']	1.0
193259	42.2358	70.7431	235	['233']	['431']	['4473']	1.0
193315	42.2293	70.7631	256	['235']	['435']	['4747']	923.0
193353	42.2208	70.8178	259	['244']	['452']	['5304']	840.0
193423	42.2141	70.8642	259	['252']	['467']	['5700']	899.0
193453	42.2079	70.9080	259	['246']	['455']	['6203']	937.0
193523	42.2016	70.9532	259	['246']	['455']	['6637']	762.0
193553	42.1951	70.9981	259	['253']	['468']	['6965']	655.0
193623	42.1886	71.0444	259	['247']	['457']	['7292']	351.0
193653	42.1820	71.0903	259	['248']	['459']	['7315']	23.0
193723	42.1754	71.1351	259	['252']	['467']	['7315']	0
193753	42.1686	71.1821	259	['253']	['468']	['7315']	0
193823	42.1619	71.2289	259	['253']	['468']	['7315']	0
193853	42.1554	71.2739	259	['252']	['467']	['7315']	0
193923	42.1487	71.3206	259	['251']	['465']	['7315']	0
193953	42.1420	71.3664	259	['251']	['465']	['7315']	0
194023	42.1354	71.4121	259	['252']	['467']	['7315']	0
194107	42.1254	71.4798	259	['251']	['465']	['7315']	0
194137	42.1187	71.5251	259	['251']	['465']	['7315']	0
194203	42.1128	71.5651	259	['252']	['467']	['7315']	8.0
194233	42.1061	71.6102	258	['264']	['489']	['7323']	0
194303	42.0980	71.6638	259	['299']	['554']	['7315']	-16.0
194330	42.0904	71.7149	260	['316']	['586']	['7308']	0
194400	42.0822	71.7712	259	['321']	['594']	['7315']	8.0
194430	42.0730	71.8316	259	['321']	['594']	['7315']	0
194500	42.0640	71.8920	259	['321']	['594']	['7315']	0
194530	42.0552	71.9502	258	['322']	['597']	['7315']	0
194600	42.0461	72.0100	259	['321']	['594']	['7315']	0
194630	42.0376	72.0663	259	['321']	['594']	['7315']	0
194700	42.0288	72.1241	258	['319']	['591']	['7315']	0
194730	42.0198	72.1821	258	['319']	['591']	['7315']	0
194800	42.0110	72.2400	259	['321']	['594']	['7315']	0
194830	42.0020	72.2978	258	['317']	['587']	['7315']	0
194900	41.9930	72.3565	258	['317']	['587']	['7315']	0
194930	41.9843	72.4120	258	['318']	['589']	['7315']	0
195000	41.9751	72.4709	258	['318']	['589']	['7315']	0
195030	41.9656	72.5315	258	['317']	['587']	['7315']	0
195100	41.9568	72.5872	258	['317']	['587']	['7315']	0
195130	41.9477	72.6448	258	['317']	['587']	['7315']	0
195148	41.9403	72.6788	247	['309']	['573']	['7315']	0
195206	41.9250	72.7082	227	['306']	['566']	['7315']	0
195246	41.8883	72.7603	226	['307']	['568']	['7315']	0
195316	41.8566	72.8043	226	['307']	['568']	['7315']	0
195346	41.8289	72.8427	226	['306']	['566']	['7315']	0
195416	41.7983	72.8845	226	['305']	['565']	['7315']	0
195446	41.7697	72.9235	226	['304']	['563']	['7315']	0
195516	41.7398	72.9644	226	['305']	['565']	['7315']	0
195535	41.7210	72.9901	227	['305']	['565']	['7315']	0
195608	41.6876	73.0356	226	['305']	['565']	['7315']	0
195638	41.6584	73.0754	226	['305']	['565']	['7315']	0
195708	41.6292	73.1151	226	['306']	['566']	['7315']	0
195737	41.6001	73.1545	226	['304']	['563']	['7315']	0
195807	41.5698	73.1955	225	['303']	['562']	['7315']	0
195837	41.5402	73.2355	226	['303']	['562']	['7315']	0
195907	41.5119	73.2738	226	['303']	['562']	['7315']	0
195937	41.4828	73.3131	226	['301']	['557']	['7315']	0
200007	41.4527	73.3537	225	['300']	['555']	['7315']	0
200037	41.4240	73.3923	225	['301']	['557']	['7315']	0
200107	41.3950	73.4313	225	['299']	['554']	['7315']	0
200137	41.3649	73.4716	225	['298']	['552']	['7315']	0
200207	41.3362	73.5102	225	['297']	['550']	['7315']	0
200237	41.3070	73.5492	225	['298']	['552']	['7315']	0
200304	41.2820	73.5836	229	['296']	['549']	['7315']	0
200338	41.2525	73.6319	231	['295']	['546']	['7315']	0
200408	41.2269	73.6740	231	['296']	['549']	['7315']	0
200438	41.2000	73.7182	231	['296']	['549']	['7315']	0
200508	41.1754	73.7586	231	['295']	['546']	['7315']	0
200538	41.1493	73.8012	231	['296']	['549']	['7315']	0
200555	41.1345	73.8258	232	['294']	['544']	['7315']	0
200625	41.1099	73.8677	232	['297']	['550']	['7315']	0
200655	41.0848	73.9100	232	['298']	['552']	['7315']	0
200716	41.0682	73.9379	233	['298']	['552']	['7315']	0
200746	41.0394	73.9860	232	['298']	['552']	['7315']	0
200816	41.0139	74.0288	232	['298']	['552']	['7315']	0
200856	40.9808	74.0839	232	['298']	['552']	['7315']	0
200926	40.9552	74.1266	232	['298']	['552']	['7315']	0
200956	40.9288	74.1706	232	['298']	['552']	['7315']	0
201026	40.9026	74.2143	231	['301']	['557']	['7315']	0
201042	40.8890	74.2368	232	['301']	['557']	['7315']	0
201112	40.8640	74.2784	232	['301']	['557']	['7315']	0
201142	40.8379	74.3217	232	['298']	['552']	['7315']	0
201212	40.8129	74.3631	232	['298']	['552']	['7315']	0
201242	40.7862	74.4073	231	['300']	['555']	['7315']	8.0
201312	40.7609	74.4490	232	['302']	['560']	['7323']	0
201342	40.7342	74.4929	231	['300']	['555']	['7315']	-8.0
201412	40.7084	74.5356	232	['298']	['552']	['7315']	0
201442	40.6828	74.5778	231	['298']	['552']	['7315']	0
201512	40.6571	74.6201	231	['299']	['554']	['7315']	0
201542	40.6304	74.6638	231	['300']	['555']	['7315']	0
201612	40.6051	74.7051	231	['298']	['552']	['7315']	0
201634	40.5865	74.7356	232	['298']	['552']	['7315']	0
201713	40.5493	74.7891	227	['302']	['560']	['7315']	0
201743	40.5216	74.8285	227	['301']	['557']	['7315']	0
201813	40.4924	74.8697	227	['303']	['562']	['7315']	0
201843	40.4643	74.9092	227	['303']	['562']	['7315']	-137.0
201913	40.4349	74.9507	227	['301']	['557']	['7178']	-351.0
201943	40.4064	74.9909	227	['306']	['566']	['6965']	-450.0
202013	40.3782	75.0304	227	['310']	['575']	['6728']	-472.0
202043	40.3472	75.0740	227	['311']	['576']	['6492']	-465.0
202113	40.3186	75.1142	227	['313']	['579']	['6264']	-381.0
202143	40.2886	75.1562	227	['311']	['576']	['6111']	-168.0
202213	40.2595	75.1970	227	['313']	['579']	['6096']	-15.0
202243	40.2308	75.2369	227	['311']	['576']	['6096']	0
202313	40.2018	75.2775	227	['311']	['576']	['6096']	0
202343	40.1709	75.3204	227	['310']	['575']	['6096']	0
202413	40.1420	75.3606	227	['301']	['557']	['6096']	0
202443	40.1138	75.3998	227	['298']	['552']	['6096']	0
202513	40.0852	75.4394	227	['299']	['554']	['6096']	0
202543	40.0566	75.4791	227	['299']	['554']	['6096']	0
202613	40.0274	75.5195	227	['301']	['557']	['6096']	0
202643	39.9989	75.5589	227	['301']	['557']	['6096']	0
202713	39.9703	75.5983	227	['302']	['560']	['6096']	0
202743	39.9415	75.6380	227	['304']	['563']	['6096']	0
202804	39.9215	75.6660	229	['303']	['562']	['6096']	0
202849	39.8867	75.7307	236	['302']	['560']	['6096']	0
202919	39.8623	75.7773	236	['303']	['562']	['6096']	0
202949	39.8389	75.8223	236	['303']	['562']	['6096']	0
203019	39.8156	75.8667	236	['302']	['560']	['6096']	0
203047	39.7946	75.9069	236	['302']	['560']	['6096']	0
203117	39.7706	75.9526	236	['303']	['562']	['6096']	0
203147	39.7460	75.9997	236	['307']	['568']	['6096']	-30.0
203217	39.7215	76.0461	236	['307']	['568']	['6066']	-143.0
203235	39.7085	76.0708	236	['305']	['565']	['5982']	-305.0
203305	39.6835	76.1183	236	['304']	['563']	['5822']	-305.0
203335	39.6602	76.1627	236	['304']	['563']	['5677']	-411.0
203405	39.6353	76.2097	235	['304']	['563']	['5410']	-625.0
203435	39.6119	76.2541	236	['299']	['554']	['5052']	-765.0
203457	39.5948	76.2863	235	['299']	['554']	['4747']	-825.0
203516	39.5765	76.3089	216	['307']	['568']	['4488']	-803.0
203534	39.5559	76.3273	215	['308']	['570']	['4252']	-829.0
203604	39.5209	76.3582	214	['311']	['576']	['3825']	-632.0
203634	39.4829	76.3913	214	['316']	['586']	['3620']	-206.0
203704	39.4487	76.4211	214	['315']	['583']	['3620']	0
203734	39.4105	76.4542	214	['311']	['576']	['3620']	-23.0
203804	39.3775	76.4828	214	['308']	['570']	['3597']	-152.0
203831	39.3433	76.5124	214	['307']	['568']	['3475']	-289.0
203901	39.3089	76.5423	214	['310']	['575']	['3322']	-305.0
203931	39.2732	76.5732	214	['314']	['581']	['3170']	-311.0
203954	39.2435	76.5986	214	['314']	['581']	['3048']	-190.0
204024	39.2085	76.6292	214	['316']	['586']	['3002']	-42.0
204048	39.1820	76.6516	213	['284']	['526']	['3010']	22.0
204105	39.1638	76.6697	223	['270']	['501']	['3018']	-12.0
204128	39.1436	76.6940	223	['271']	['502']	['3002']	-9.0
204158	39.1157	76.7269	223	['268']	['496']	['3010']	8.0
204228	39.0884	76.7594	223	['265']	['491']	['3010']	-65.0
204247	39.0706	76.7803	223	['263']	['488']	['2957']	-457.0
204317	39.0428	76.8134	223	['271']	['502']	['2637']	-712.0
204339	39.0226	76.8375	222	['283']	['525']	['2339']	-545.0
204409	38.9937	76.8710	223	['268']	['496']	['2164']	-380.0
204438	38.9698	76.8989	221	['261']	['483']	['1966']	-418.0
204456	38.9529	76.9166	219	['257']	['476']	['1836']	-309.0
204512	38.9360	76.9334	213	['265']	['491']	['1791']	-81.0
204530	38.9135	76.9413	185	['286']	['529']	['1791']	0
204546	38.8954	76.9420	180	['290']	['538']	['1791']	-199.0
204616	38.8539	76.9424	181	['284']	['526']	['1638']	-345.0
204621	38.8467	76.9425	181	['281']	['520']	['1589']	-252.0
204653	38.8063	76.9437	182	['258']	['478']	['1483']	-56.0
204811	38.7198	76.9390	176	['238']	['441']	['1486']	-45.0
204841	38.6852	76.9356	175	['237']	['439']	['1402']	-259.0
204911	38.6551	76.9327	176	['234']	['433']	['1227']	-221.0
204941	38.6218	76.9297	176	['233']	['431']	['1181']	-69.0
204957	38.6040	76.9305	190	['223']	['414']	['1173']	0
205015	38.5916	76.9421	236	['194']	['359']	['1181']	13.0
205033	38.5869	76.9610	265	['187']	['346']	['1181']	-38.0
205051	38.5920	76.9795	302	['175']	['323']	['1158']	-121.0
205107	38.5994	76.9937	304	['167']	['309']	['1113']	-157.0
205123	38.6054	77.0045	312	['157']	['291']	['1074']	-143.0
205139	38.6156	77.0125	341	['159']	['295']	['1036']	-129.0
205155	38.6277	77.0149	354	['167']	['309']	['1006']	-129.0
205211	38.6403	77.0166	354	['163']	['303']	['968']	-129.0
205227	38.6523	77.0178	356	['166']	['307']	['937']	-114.0
205247	38.6680	77.0192	356	['167']	['309']	['899']	-119.0
205317	38.6907	77.0216	355	['164']	['304']	['838']	-145.0
205347	38.7136	77.0239	356	['165']	['306']	['754']	-229.0
205417	38.7362	77.0262	356	['166']	['307']	['610']	-267.0
205435	38.7493	77.0277	350	['155']	['286']	['541']	-277.0
205455	38.7627	77.0326	346	['140']	['259']	['434']	-241.0
205511	38.7719	77.0343	359	['132']	['245']	['396']	-75.0
205522	38.7795	77.0337	6	['135']	['249']	['401']	-66.0
205528	38.7827	77.0332	7	['135']	['249']	['378']	-262.0
205631	38.8206	77.0347	356	['129']	['238']	['99']	-264.0
205647	38.8307	77.0357	356	['130']	['241']	['30']	-243.0
205703	38.8406	77.0366	356	['131']	['243']	[]	-229.0
