name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KLAX	33.9424964	-118.4080486	271°	NA	3979	0	Origin Airport
DLREY	33.9436944	-118.4651389	268°	5.0	3983	5	Waypoint
ENNEY	33.9424722	-118.5057778	265°	4.0	3987	9	Waypoint
NAANC	33.9316667	-118.6438889	177°	13.0	3999	22	Waypoint
HAYNK	33.8405833	-118.6373056	146°	10.0	4003	24	Waypoint
PEVEE	33.6972222	-118.5208333	110°	19.0	3999	29	Waypoint
HOLTZ	33.6445556	-118.343	90°	17.0	3987	34	Waypoint
OSHNN	33.6446111	-118.1796667	37°	15.0	3973	39	Waypoint
CAHIL	33.9062778	-117.9448056	37°	36.0	3941	43	Waypoint
ZOOMM	33.9526111	-117.9024722	37°	6.0	3936	47	Waypoint
SEBBY	34.0896944	-117.7769722	51°	19.0	3919	60	Reporting Point
PLAYY	34.2998056	-117.4646667	51°	37.0	3883	96	Waypoint
ARCUS	34.5416667	-117.1017778	50°	43.0	3842	137	Waypoint
YELAH	34.8541667	-116.6446944	48°	54.0	3790	191	Waypoint
WYZEE	35.6960833	-115.5035278	48°	140.0	3658	329	Waypoint
BEALE	36.1824444	-114.8261389	15°	82.0	3582	411	Reporting Point
BEALE	36.1824528	-114.8261361	69°	0.0	3582	411	Reporting Point
NOOTN	36.6257306	-113.3445139	70°	142.0	3440	548	Reporting Point
BETHL	36.8844167	-112.4404306	71°	86.0	3355	633	Reporting Point
FREDD	36.9093917	-112.3512278	71°	8.0	3346	641	Reporting Point
DICEE	37.2193278	-111.2239389	71°	106.0	3240	745	Reporting Point
DVC	37.8087397	-108.9312739	66°	213.0	3027	956	VOR-TAC (NAVAID)
HBU	38.4521164	-107.0397142	76°	180.0	2848	1137	VOR-DME (NAVAID)
GLD	39.3878678	-101.6922967	360°	475.0	2374	1608	VOR-TAC (NAVAID)
GLD	39.3878678	-101.6922967	77°	0.0	2374	1608	VOR-TAC (NAVAID)
PWE	40.2003528	-96.2062811	90°	478.0	1896	2085	VOR-TAC (NAVAID)
IRK	40.135	-92.5916667	97°	308.0	1593	2386	VOR-TAC (NAVAID)
AXC	39.7375	-88.8563889	87°	322.0	1285	2697	VOR-TAC (NAVAID)
VHP	39.8147222	-86.3675	86°	213.0	1073	2910	VOR-TAC (NAVAID)
AIR	40.0169444	-80.8172222	70°	474.0	601	3384	VOR-DME (NAVAID)
LVZ	41.2728056	-75.6894722	114°	455.0	175	3815	VOR-TAC (NAVAID)
JENNO	41.1529167	-75.3314167	114°	33.0	143	3845	Reporting Point
HARTY	41.0711944	-75.0898889	114°	22.0	120	3866	Reporting Point
STW	40.9958333	-74.8690278	98°	20.0	100	3885	VOR-DME (NAVAID)
LENDY	40.9148333	-74.13525	123°	62.0	43	3947	Reporting Point
LGA	40.7837222	-73.8686111	155°	27.0	18	3970	VOR-DME (NAVAID)
KJFK	40.6399278	-73.7786925	NA	18.0	0	3979	Destination Airport
