# https://zh.flightaware.com//live/flight/AAL28/history/20221115/0809Z/KLAX/KJFK/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
163346	33.9371	118.4073	263	['176']	['327']	['53']	0
163402	33.9356	118.4225	263	['172']	['319']	['297']	814.0
163418	33.9328	118.4373	248	['179']	['332']	['488']	515.0
163434	33.9244	118.4494	224	['195']	['360']	['572']	372.0
163450	33.9120	118.4631	222	['213']	['394']	['686']	357.0
163506	33.8999	118.4761	222	['235']	['435']	['762']	360.0
163523	33.8856	118.4918	223	['255']	['472']	['884']	671.0
163553	33.8586	118.5220	224	['265']	['491']	['1288']	808.0
163623	33.8327	118.5520	224	['268']	['496']	['1692']	807.0
163640	33.8162	118.5696	218	['273']	['505']	['1920']	790.0
163656	33.7959	118.5786	190	['275']	['509']	['2126']	807.0
163714	33.7748	118.5732	157	['278']	['515']	['2377']	797.0
163739	33.7460	118.5535	150	['283']	['525']	['2697']	756.0
163806	33.7140	118.5318	150	['291']	['539']	['3033']	567.0
163825	33.6964	118.5126	130	['308']	['570']	['3132']	313.0
163844	33.6847	118.4797	109	['335']	['621']	['3231']	308.0
163914	33.6684	118.4233	110	['364']	['674']	['3383']	290.0
163944	33.6513	118.3660	109	['392']	['726']	['3520']	252.0
164003	33.6445	118.3224	92	['410']	['760']	['3589']	313.0
164041	33.6446	118.2347	90	['434']	['803']	['3818']	444.0
164111	33.6445	118.1591	90	['441']	['816']	['4092']	556.0
164141	33.6444	118.0876	90	['446']	['826']	['4374']	533.0
164211	33.6443	118.0104	90	['454']	['840']	['4625']	518.0
164241	33.6442	117.9378	90	['456']	['845']	['4892']	526.0
164311	33.6441	117.8602	90	['461']	['855']	['5151']	467.0
164329	33.6444	117.8160	88	['465']	['861']	['5265']	385.0
164349	33.6501	117.7648	78	['471']	['872']	['5395']	430.0
164419	33.6654	117.6856	77	['476']	['882']	['5624']	434.0
164449	33.6803	117.6076	77	['480']	['888']	['5829']	396.0
164519	33.6948	117.5317	77	['485']	['898']	['6020']	335.0
164549	33.7099	117.4521	77	['493']	['912']	['6165']	305.0
164619	33.7254	117.3702	77	['500']	['925']	['6325']	328.0
164649	33.7407	117.2899	77	['505']	['935']	['6492']	323.0
164710	33.7489	117.2309	85	['509']	['943']	['6599']	276.0
164752	33.7486	117.1197	91	['515']	['954']	['6782']	273.0
164822	33.7469	117.0272	91	['520']	['962']	['6927']	312.0
164852	33.7451	116.9407	92	['522']	['967']	['7094']	317.0
164911	33.7467	116.8822	84	['523']	['969']	['7186']	268.0
164933	33.7597	116.8258	66	['524']	['970']	['7277']	236.0
165013	33.8051	116.7201	63	['530']	['982']	['7430']	274.0
165043	33.8384	116.6421	63	['530']	['982']	['7597']	312.0
165113	33.8725	116.5625	63	['530']	['982']	['7742']	305.0
165143	33.9066	116.4827	63	['529']	['980']	['7902']	274.0
