# https://zh.flightaware.com//live/flight/AAL302/history/20221119/1610Z/KRDU/KDFW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
002407	35.8613	78.8012	224	['172']	['319']	['213']	0
002423	35.8519	78.8124	223	['181']	['335']	['450']	643.0
002439	35.8409	78.8253	224	['207']	['383']	['556']	414.0
002455	35.8291	78.8393	225	['234']	['433']	['671']	727.0
002518	35.8103	78.8623	226	['240']	['444']	['1029']	1.0
002534	35.7995	78.8801	244	['237']	['439']	['1356']	943.0
002550	35.7955	78.8994	265	['231']	['428']	['1532']	497.0
002608	35.7937	78.9223	264	['241']	['446']	['1638']	318.0
002626	35.7906	78.9473	260	['246']	['455']	['1722']	157.0
002643	35.7875	78.9692	268	['245']	['454']	['1730']	10.0
002711	35.7903	79.0106	279	['248']	['459']	['1730']	-10.0
002727	35.7933	79.0326	280	['248']	['459']	['1722']	69.0
002757	35.7996	79.0743	281	['250']	['463']	['1783']	329.0
002817	35.8042	79.1028	283	['250']	['463']	['1996']	903.0
002838	35.8088	79.1317	280	['245']	['454']	['2400']	1.0
002908	35.8151	79.1738	281	['251']	['465']	['2911']	640.0
002953	35.8262	79.2409	282	['305']	['565']	['3200']	507.0
003012	35.8315	79.2775	278	['317']	['587']	['3452']	1.0
003055	35.8314	79.3519	265	['317']	['587']	['4244']	1.0
003125	35.8274	79.4065	265	['321']	['594']	['4770']	1.0
003142	35.8250	79.4378	266	['318']	['589']	['5105']	1.0
003205	35.8218	79.4797	265	['321']	['594']	['5525']	1.0
003237	35.8167	79.5366	261	['317']	['587']	['6149']	974.0
003307	35.8083	79.5899	258	['327']	['605']	['6530']	808.0
003337	35.7989	79.6453	258	['332']	['615']	['6957']	815.0
003407	35.7894	79.7012	258	['338']	['626']	['7346']	777.0
003437	35.7793	79.7602	258	['344']	['637']	['7734']	640.0
003507	35.7697	79.8166	259	['347']	['642']	['7986']	590.0
003532	35.7636	79.8679	263	['353']	['653']	['8275']	646.0
003553	35.7605	79.9079	266	['357']	['661']	['8481']	610.0
003614	35.7589	79.9523	269	['361']	['668']	['8702']	594.0
003653	35.7562	80.0304	268	['364']	['674']	['9075']	434.0
003733	35.7535	80.1140	268	['364']	['674']	['9274']	405.0
003803	35.7517	80.1781	268	['367']	['679']	['9548']	472.0
003833	35.7501	80.2387	268	['362']	['671']	['9746']	202.0
003904	35.7486	80.3010	268	['357']	['661']	['9754']	8.0
003934	35.7469	80.3616	268	['356']	['660']	['9754']	0
004004	35.7451	80.4244	268	['356']	['660']	['9754']	0
004035	35.7434	80.4844	268	['355']	['658']	['9754']	247.0
004105	35.7412	80.5448	267	['354']	['655']	['10005']	625.0
004135	35.7388	80.6051	267	['345']	['639']	['10378']	632.0
004205	35.7366	80.6626	267	['342']	['634']	['10638']	290.0
004235	35.7344	80.7213	267	['341']	['631']	['10668']	328.0
004305	35.7322	80.7791	267	['335']	['621']	['10965']	610.0
004335	35.7300	80.8341	267	['328']	['607']	['11278']	572.0
004405	35.7277	80.8926	267	['326']	['604']	['11537']	480.0
004435	35.7255	80.9462	267	['321']	['594']	['11758']	419.0
004505	35.7233	80.9999	267	['318']	['589']	['11956']	373.0
004535	35.7210	81.0548	267	['315']	['583']	['12131']	236.0
004605	35.7188	81.1099	267	['315']	['583']	['12192']	59.0
004637	35.7165	81.1644	267	['317']	['587']	['12192']	0
004653	35.7152	81.1940	267	['318']	['589']	['12192']	0
004711	35.7138	81.2262	267	['318']	['589']	['12192']	0
004739	35.7118	81.2733	268	['317']	['587']	['12192']	0
004805	35.7096	81.3233	268	['318']	['589']	['12192']	0
004835	35.7072	81.3788	267	['319']	['591']	['12192']	0
004854	35.7057	81.4117	267	['319']	['591']	['12192']	0
004924	35.7032	81.4663	268	['318']	['589']	['12192']	0
004941	35.7019	81.4965	267	['320']	['592']	['12192']	0
005005	35.6999	81.5397	267	['320']	['592']	['12192']	0
005035	35.6974	81.5950	267	['321']	['594']	['12192']	0
