# https://zh.flightaware.com//live/flight/AAL333/history/20221029/1012Z/LGAV/KJFK/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
182452	37.9498	23.9681	37	['159']	['295']	['251']	0
182508	37.9591	23.9769	37	['157']	['291']	['472']	714.0
182524	37.9676	23.9851	37	['158']	['293']	['632']	629.0
182540	37.9777	23.9949	37	['159']	['295']	['808']	614.0
182556	37.9871	24.0040	38	['161']	['298']	['960']	419.0
182616	37.9995	24.0164	39	['179']	['332']	['1059']	256.0
182646	38.0207	24.0376	38	['218']	['404']	['1173']	360.0
182703	38.0365	24.0526	36	['233']	['431']	['1341']	679.0
182719	38.0495	24.0641	33	['236']	['438']	['1547']	610.0
182736	38.0670	24.0729	7	['247']	['457']	['1676']	575.0
182754	38.0884	24.0673	332	['265']	['491']	['1882']	666.0
182811	38.1033	24.0492	304	['285']	['528']	['2065']	679.0
182827	38.1104	24.0233	277	['298']	['552']	['2256']	750.0
182850	38.1116	23.9805	271	['303']	['562']	['2553']	747.0
182908	38.1122	23.9507	272	['306']	['566']	['2766']	686.0
182932	38.1135	23.9091	273	['309']	['573']	['3033']	499.0
183003	38.1151	23.8478	273	['339']	['628']	['3223']	360.0
183033	38.1175	23.7867	273	['365']	['676']	['3399']	412.0
183104	38.1210	23.7190	273	['387']	['716']	['3642']	472.0
183134	38.1243	23.6474	273	['404']	['748']	['3879']	570.0
183205	38.1275	23.5728	273	['411']	['761']	['4221']	637.0
183235	38.1301	23.5012	273	['418']	['774']	['4526']	630.0
183306	38.1358	23.4258	278	['421']	['779']	['4862']	645.0
183336	38.1462	23.3495	281	['427']	['790']	['5182']	541.0
183406	38.1570	23.2791	281	['437']	['810']	['5403']	488.0
183436	38.1689	23.2028	281	['445']	['824']	['5669']	518.0
183506	38.1812	23.1238	281	['454']	['840']	['5921']	549.0
183536	38.1932	23.0453	281	['462']	['856']	['6218']	630.0
183607	38.2056	22.9643	281	['464']	['859']	['6561']	652.0
183637	38.2186	22.8791	281	['470']	['871']	['6881']	564.0
183707	38.2304	22.8009	281	['477']	['884']	['7125']	472.0
183737	38.2429	22.7186	281	['481']	['892']	['7353']	457.0
183802	38.2539	22.6463	283	['485']	['898']	['7544']	475.0
183827	38.2704	22.5794	291	['484']	['896']	['7750']	490.0
