# https://zh.flightaware.com//live/flight/AAL350/history/20221029/1310Z/SPJC/KDFW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
212310	12.0369	77.1069	155	['173']	['320']	['259']	0
212326	12.0490	77.1050	187	['171']	['317']	['488']	748.0
212343	12.0630	77.1114	206	['180']	['333']	['671']	554.0
212359	12.0750	77.1175	207	['191']	['354']	['792']	457.0
212415	12.0856	77.1261	230	['195']	['360']	['914']	511.0
212433	12.0903	77.1422	269	['197']	['365']	['1082']	467.0
212500	12.0882	77.1691	277	['220']	['407']	['1265']	361.0
212516	12.0863	77.1864	276	['240']	['444']	['1341']	397.0
212546	12.0823	77.2228	276	['269']	['499']	['1570']	465.0
212616	12.0785	77.2599	276	['269']	['499']	['1806']	572.0
212646	12.0740	77.2991	277	['275']	['509']	['2141']	640.0
212716	12.0696	77.3380	277	['285']	['528']	['2446']	569.0
212743	12.0644	77.3757	283	['296']	['549']	['2682']	478.0
212800	12.0536	77.3962	310	['306']	['566']	['2797']	486.0
212846	11.9953	77.4314	330	['323']	['599']	['3193']	415.0
212916	11.9552	77.4546	330	['351']	['650']	['3322']	152.0
212949	11.9067	77.4826	331	['387']	['716']	['3353']	29.0
213019	11.8582	77.5103	331	['401']	['742']	['3353']	7.0
213051	11.8062	77.5401	331	['401']	['742']	['3360']	229.0
213121	11.7557	77.5679	332	['405']	['750']	['3589']	539.0
213152	11.7050	77.5951	332	['406']	['752']	['3909']	652.0
213222	11.6551	77.6222	332	['403']	['747']	['4252']	648.0
213252	11.6061	77.6479	333	['402']	['745']	['4557']	411.0
213322	11.5541	77.6750	333	['416']	['771']	['4663']	282.0
213352	11.5023	77.7022	333	['423']	['784']	['4839']	366.0
213422	11.4491	77.7301	333	['428']	['793']	['5029']	389.0
213452	11.3955	77.7582	333	['433']	['801']	['5227']	396.0
213522	11.3416	77.7864	333	['437']	['810']	['5425']	404.0
213552	11.2882	77.8144	333	['438']	['811']	['5631']	373.0
213622	11.2338	77.8429	333	['442']	['819']	['5799']	277.0
213653	11.1779	77.8721	333	['450']	['834']	['5913']	255.0
213723	11.1215	77.9016	333	['456']	['845']	['6058']	320.0
213753	11.0637	77.9317	333	['459']	['850']	['6233']	335.0
213823	11.0075	77.9611	333	['461']	['855']	['6393']	343.0
213853	10.9503	77.9909	333	['463']	['858']	['6576']	320.0
213923	10.8920	78.0213	333	['467']	['864']	['6713']	300.0
213954	10.8345	78.0513	333	['468']	['867']	['6881']	360.0
214024	10.7767	78.0815	333	['467']	['864']	['7079']	358.0
214054	10.7170	78.1128	333	['469']	['869']	['7239']	297.0
214124	10.6601	78.1423	333	['471']	['872']	['7376']	254.0
214157	10.5951	78.1761	333	['476']	['882']	['7506']	236.0
214230	10.5291	78.2103	333	['480']	['888']	['7635']	256.0
214303	10.4613	78.2456	333	['483']	['895']	['7788']	307.0
214334	10.4009	78.2771	333	['482']	['893']	['7963']	367.0
214404	10.3411	78.3081	333	['478']	['885']	['8161']	450.0
214434	10.2826	78.3384	333	['470']	['871']	['8412']	450.0
214505	10.2242	78.3688	333	['463']	['858']	['8618']	273.0
214536	10.1640	78.4000	333	['468']	['867']	['8694']	188.0
214613	10.0920	78.4375	333	['469']	['869']	['8832']	195.0
214644	10.0312	78.4691	333	['471']	['872']	['8915']	195.0
214714	9.9714	78.5000	333	['471']	['872']	['9030']	240.0
214745	9.9150	78.5292	333	['469']	['869']	['9159']	225.0
214825	9.8358	78.5701	333	['469']	['869']	['9296']	222.0
214855	9.7791	78.5995	333	['467']	['864']	['9418']	229.0
214925	9.7192	78.6307	333	['468']	['867']	['9525']	213.0
214955	9.6618	78.6603	333	['467']	['864']	['9632']	213.0
215025	9.6039	78.6903	333	['465']	['861']	['9738']	105.0
215105	9.5277	78.7296	333	['463']	['858']	['9754']	13.0
215135	9.4691	78.7600	333	['464']	['859']	['9754']	0
215205	9.4128	78.7890	333	['465']	['861']	['9754']	0
215235	9.3538	78.8195	333	['465']	['861']	['9754']	0
215306	9.2956	78.8495	333	['465']	['861']	['9754']	0
215336	9.2388	78.8788	333	['465']	['861']	['9754']	0
215406	9.1827	78.9078	333	['466']	['863']	['9754']	0
215437	9.1223	78.9389	333	['465']	['861']	['9754']	0
215537	9.0067	78.9985	333	['465']	['861']	['9754']	0
215607	8.9481	79.0287	333	['467']	['864']	['9754']	0
215707	8.8325	79.0882	333	['467']	['864']	['9754']	0
215737	8.7752	79.1177	333	['467']	['864']	['9754']	0
215807	8.7166	79.1478	333	['466']	['863']	['9754']	0
