# https://zh.flightaware.com//live/flight/AAL350/history/20221106/1654Z/KCLT/MWCR/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
020725	35.2004	80.9340	176	['180']	['333']	['191']	0
020741	35.1865	80.9321	169	['178']	['330']	['442']	814.0
020757	35.1747	80.9285	165	['183']	['340']	['625']	543.0
020813	35.1608	80.9236	164	['201']	['372']	['732']	378.0
020843	35.1308	80.9128	164	['245']	['454']	['914']	579.0
020913	35.0959	80.9002	165	['258']	['478']	['1311']	855.0
020937	35.0671	80.8903	160	['263']	['488']	['1684']	859.0
020954	35.0511	80.8776	139	['272']	['504']	['1897']	739.0
021016	35.0303	80.8556	139	['281']	['520']	['2164']	703.0
021033	35.0136	80.8358	131	['289']	['536']	['2355']	436.0
021058	34.9926	80.8036	128	['289']	['536']	['2469']	532.0
021116	34.9782	80.7820	131	['283']	['525']	['2736']	825.0
021134	34.9585	80.7658	160	['284']	['526']	['2964']	692.0
021151	34.9370	80.7634	185	['288']	['533']	['3139']	526.0
021207	34.9155	80.7709	201	['302']	['560']	['3254']	557.0
021237	34.8737	80.7915	203	['319']	['591']	['3566']	678.0
021307	34.8321	80.8116	200	['327']	['605']	['3932']	722.0
021327	34.8022	80.8206	192	['338']	['626']	['4168']	722.0
021357	34.7569	80.8323	192	['348']	['644']	['4534']	747.0
021427	34.7092	80.8440	192	['355']	['658']	['4915']	792.0
021457	34.6592	80.8570	192	['360']	['666']	['5326']	777.0
021527	34.6105	80.8703	193	['365']	['676']	['5692']	743.0
021545	34.5846	80.8775	194	['367']	['679']	['5921']	724.0
021615	34.5319	80.8912	192	['373']	['690']	['6271']	632.0
021645	34.4795	80.9045	192	['385']	['713']	['6553']	564.0
021715	34.4269	80.9179	192	['394']	['729']	['6835']	427.0
021745	34.3725	80.9319	192	['403']	['747']	['6980']	259.0
021815	34.3171	80.9463	192	['424']	['785']	['7094']	343.0
021845	34.2581	80.9615	192	['432']	['800']	['7323']	501.0
021907	34.2146	80.9674	183	['435']	['806']	['7529']	554.0
021937	34.1544	80.9694	182	['437']	['810']	['7803']	511.0
022007	34.0928	80.9713	181	['440']	['814']	['8039']	442.0
022037	34.0306	80.9732	181	['445']	['824']	['8245']	404.0
022107	33.9693	80.9749	181	['449']	['832']	['8443']	396.0
022137	33.9080	80.9767	181	['453']	['838']	['8641']	396.0
022207	33.8438	80.9787	182	['458']	['848']	['8839']	373.0
022237	33.7789	80.9807	182	['463']	['858']	['9014']	381.0
022307	33.7142	80.9827	182	['464']	['859']	['9220']	442.0
022337	33.6505	80.9847	182	['460']	['851']	['9456']	450.0
022407	33.5858	80.9867	181	['459']	['850']	['9670']	480.0
022437	33.5213	80.9886	181	['452']	['837']	['9936']	556.0
022507	33.4600	80.9903	181	['444']	['822']	['10226']	427.0
022537	33.4009	80.9922	181	['436']	['808']	['10363']	137.0
022607	33.3412	80.9940	181	['435']	['806']	['10363']	0
022637	33.2798	80.9959	182	['435']	['806']	['10363']	0
022707	33.2195	80.9979	182	['434']	['803']	['10363']	0
022737	33.1596	80.9997	182	['434']	['803']	['10363']	0
022807	33.0982	81.0016	182	['433']	['801']	['10363']	0
022837	33.0383	81.0035	182	['433']	['801']	['10363']	76.0
022907	32.9798	81.0052	182	['433']	['801']	['10439']	297.0
022937	32.9186	81.0070	182	['429']	['795']	['10660']	351.0
023007	32.8582	81.0089	182	['432']	['800']	['10790']	221.0
023037	32.7990	81.0108	181	['437']	['810']	['10881']	206.0
023107	32.7384	81.0126	181	['438']	['811']	['10996']	251.0
023137	32.6754	81.0144	181	['438']	['811']	['11133']	297.0
023207	32.6147	81.0163	181	['436']	['808']	['11293']	305.0
023237	32.5562	81.0180	182	['433']	['801']	['11438']	251.0
023307	32.4929	81.0197	181	['435']	['806']	['11544']	142.0
023338	32.4325	81.0208	181	['439']	['813']	['11582']	37.0
023408	32.3734	81.0217	181	['441']	['816']	['11582']	0
023438	32.3106	81.0227	181	['441']	['816']	['11582']	0
023508	32.2484	81.0236	181	['441']	['816']	['11582']	9.0
023527	32.2094	81.0230	173	['446']	['826']	['11590']	0
023611	32.1211	81.0052	170	['450']	['834']	['11582']	-6.0
023643	32.0527	80.9918	171	['450']	['834']	['11582']	0
023713	31.9920	80.9801	171	['450']	['834']	['11582']	0
023743	31.9298	80.9683	171	['449']	['832']	['11582']	0
023813	31.8678	80.9568	171	['451']	['835']	['11582']	0
023843	31.8063	80.9468	175	['449']	['832']	['11582']	0
023913	31.7462	80.9422	177	['449']	['832']	['11582']	0
023944	31.6806	80.9404	179	['449']	['832']	['11582']	0
024015	31.6176	80.9391	179	['450']	['834']	['11582']	0
024046	31.5515	80.9378	179	['452']	['837']	['11582']	0
024109	31.5018	80.9373	182	['450']	['834']	['11582']	0
024127	31.4656	80.9416	188	['447']	['827']	['11582']	0
024157	31.4043	80.9517	188	['448']	['830']	['11582']	0
024227	31.3445	80.9625	189	['449']	['832']	['11582']	0
024257	31.2801	80.9740	189	['449']	['832']	['11582']	0
024327	31.2199	80.9842	187	['452']	['837']	['11582']	0
024357	31.1567	80.9926	187	['453']	['838']	['11582']	0
024427	31.0944	81.0016	187	['454']	['840']	['11582']	0
024457	31.0298	81.0115	188	['453']	['838']	['11582']	0
024527	30.9701	81.0206	187	['454']	['840']	['11582']	0
024557	30.9077	81.0301	188	['452']	['837']	['11582']	0
024627	30.8455	81.0400	188	['451']	['835']	['11582']	0
024646	30.8068	81.0461	189	['452']	['837']	['11582']	0
024716	30.7432	81.0557	188	['452']	['837']	['11582']	0
024746	30.6816	81.0653	188	['450']	['834']	['11582']	0
024816	30.6195	81.0743	184	['453']	['838']	['11582']	0
024859	30.5304	81.0799	183	['454']	['840']	['11582']	0
024931	30.4622	81.0841	183	['454']	['840']	['11582']	0
025003	30.3949	81.0881	183	['455']	['843']	['11582']	0
025034	30.3267	81.0920	183	['456']	['845']	['11582']	0
025104	30.2640	81.0957	183	['458']	['848']	['11582']	0
025134	30.2032	81.0994	183	['459']	['850']	['11582']	0
025205	30.1360	81.1033	183	['459']	['850']	['11582']	0
025235	30.0708	81.1072	183	['459']	['850']	['11582']	0
025305	30.0076	81.1111	183	['459']	['850']	['11582']	0
025335	29.9452	81.1149	183	['459']	['850']	['11582']	0
025405	29.8802	81.1188	183	['460']	['851']	['11582']	0
025435	29.8161	81.1223	182	['459']	['850']	['11582']	0
025505	29.7543	81.1226	180	['460']	['851']	['11582']	0
025535	29.6911	81.1230	180	['461']	['855']	['11582']	0
025605	29.6265	81.1233	180	['462']	['856']	['11582']	0
025635	29.5609	81.1237	180	['462']	['856']	['11582']	0
025714	29.4767	81.1268	183	['460']	['851']	['11582']	0
025744	29.4159	81.1297	182	['461']	['855']	['11582']	0
025814	29.3513	81.1323	182	['461']	['855']	['11582']	0
025830	29.3166	81.1310	174	['464']	['859']	['11582']	0
025849	29.2748	81.1222	166	['469']	['869']	['11582']	0
025909	29.2335	81.1059	159	['471']	['872']	['11582']	0
025949	29.1485	81.0688	159	['470']	['871']	['11582']	0
030020	29.0923	81.0441	159	['468']	['867']	['11582']	0
030050	29.0290	81.0161	159	['467']	['864']	['11582']	0
030121	28.9644	80.9875	159	['464']	['859']	['11582']	0
030152	28.9029	80.9605	159	['462']	['856']	['11582']	0
030222	28.8437	80.9344	159	['461']	['855']	['11582']	0
030252	28.7837	80.9081	159	['460']	['851']	['11582']	0
030322	28.7270	80.8833	159	['458']	['848']	['11582']	0
030340	28.6898	80.8675	161	['458']	['848']	['11582']	0
030358	28.6517	80.8568	170	['454']	['840']	['11582']	0
030417	28.6146	80.8528	178	['451']	['835']	['11582']	0
