# https://zh.flightaware.com//live/flight/AAL359/history/20221029/1710Z/TIST/KDFW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
015532	18.3377	64.9552	96	['145']	['269']	['333']	0
015643	18.2921	64.9677	237	['232']	['430']	['815']	454.0
015701	18.2805	64.9883	240	['256']	['475']	['1006']	710.0
015730	18.2635	65.0192	240	['266']	['492']	['1372']	782.0
015746	18.2548	65.0382	252	['270']	['501']	['1593']	843.0
015802	18.2530	65.0596	273	['275']	['509']	['1821']	874.0
015820	18.2575	65.0834	283	['274']	['507']	['2088']	862.0
015837	18.2629	65.1066	284	['275']	['509']	['2324']	739.0
015907	18.2717	65.1450	283	['282']	['523']	['2667']	671.0
015937	18.2802	65.1843	283	['289']	['536']	['2995']	526.0
020007	18.2903	65.2267	284	['315']	['583']	['3193']	381.0
020037	18.3005	65.2740	282	['344']	['637']	['3376']	465.0
020107	18.3107	65.3245	282	['357']	['661']	['3658']	663.0
020128	18.3186	65.3607	286	['355']	['658']	['3940']	703.0
020146	18.3326	65.3874	306	['359']	['665']	['4115']	591.0
020216	18.3630	65.4301	307	['366']	['678']	['4412']	592.0
020247	18.3948	65.4750	307	['371']	['687']	['4717']	585.0
020317	18.4257	65.5184	307	['375']	['695']	['5006']	579.0
020347	18.4573	65.5627	307	['377']	['698']	['5296']	533.0
020417	18.4892	65.6076	307	['383']	['710']	['5540']	450.0
020447	18.5205	65.6514	307	['390']	['723']	['5745']	457.0
020513	18.5473	65.6944	301	['393']	['727']	['5966']	572.0
020543	18.5728	65.7432	299	['389']	['721']	['6279']	502.0
020604	18.5956	65.7793	307	['398']	['737']	['6393']	314.0
020634	18.6303	65.8260	307	['408']	['756']	['6546']	343.0
020704	18.6630	65.8715	307	['413']	['764']	['6736']	420.0
020735	18.7005	65.9240	307	['414']	['766']	['6972']	412.0
020805	18.7338	65.9706	307	['418']	['774']	['7155']	305.0
020835	18.7694	66.0207	307	['426']	['789']	['7277']	300.0
020906	18.8058	66.0716	307	['430']	['797']	['7460']	352.0
020936	18.8420	66.1224	307	['432']	['800']	['7635']	351.0
021006	18.8793	66.1746	307	['436']	['808']	['7811']	328.0
021036	18.9161	66.2261	307	['439']	['813']	['7963']	290.0
021106	18.9520	66.2767	307	['442']	['819']	['8100']	290.0
021136	18.9887	66.3283	307	['445']	['824']	['8252']	322.0
021207	19.0274	66.3826	307	['446']	['826']	['8428']	375.0
021237	19.0641	66.4343	307	['442']	['819']	['8633']	442.0
021308	19.1034	66.4897	307	['437']	['810']	['8877']	352.0
021338	19.1388	66.5395	307	['442']	['819']	['8992']	221.0
021408	19.1768	66.5931	307	['446']	['826']	['9098']	221.0
021438	19.2137	66.6453	307	['449']	['832']	['9213']	262.0
021509	19.2520	66.6993	307	['450']	['834']	['9365']	232.0
021539	19.2874	66.7494	307	['453']	['838']	['9449']	290.0
021609	19.3268	66.8051	307	['451']	['835']	['9655']	450.0
021640	19.3649	66.8590	307	['442']	['819']	['9906']	406.0
021711	19.4037	66.9142	307	['440']	['814']	['10074']	330.0
021741	19.4399	66.9655	307	['440']	['814']	['10241']	320.0
021811	19.4767	67.0175	307	['440']	['814']	['10394']	297.0
021841	19.5130	67.0693	307	['440']	['814']	['10538']	282.0
021911	19.5487	67.1201	307	['441']	['816']	['10676']	282.0
021941	19.5866	67.1738	307	['442']	['819']	['10820']	345.0
022012	19.6239	67.2270	307	['437']	['810']	['11026']	345.0
022042	19.6589	67.2768	306	['436']	['808']	['11171']	351.0
022112	19.6941	67.3270	307	['430']	['797']	['11377']	351.0
022142	19.7316	67.3805	307	['429']	['795']	['11521']	198.0
022212	19.7666	67.4306	307	['430']	['797']	['11575']	54.0
022250	19.8105	67.4934	306	['431']	['798']	['11582']	0
022325	19.8526	67.5536	306	['430']	['797']	['11575']	7.0
022356	19.8883	67.6049	306	['424']	['785']	['11590']	7.0
022428	19.9268	67.6602	306	['422']	['782']	['11582']	-15.0
022458	19.9614	67.7099	306	['421']	['779']	['11575']	-8.0
