# https://zh.flightaware.com//live/flight/AAL367/history/20221030/2031Z/KAUS/KDFW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
043123	30.2091	97.6792	360	['154']	['285']	['381']	0
043139	30.2196	97.6785	5	['158']	['293']	['541']	500.0
043155	30.2324	97.6771	6	['179']	['332']	['648']	400.0
043211	30.2470	97.6756	5	['202']	['373']	['754']	372.0
043227	30.2629	97.6740	5	['224']	['415']	['846']	418.0
043246	30.2834	97.6720	5	['252']	['467']	['998']	448.0
043316	30.3206	97.6685	5	['262']	['486']	['1212']	209.0
043345	30.3565	97.6651	3	['262']	['486']	['1204']	9.0
043408	30.3825	97.6716	338	['261']	['483']	['1219']	357.0
043426	30.4038	97.6819	337	['264']	['489']	['1448']	832.0
043447	30.4266	97.6926	339	['265']	['491']	['1760']	977.0
043517	30.4613	97.7087	338	['267']	['494']	['2278']	1.0
043540	30.4875	97.7211	338	['262']	['486']	['2736']	966.0
043601	30.5115	97.7325	338	['272']	['504']	['2987']	601.0
043631	30.5479	97.7498	338	['299']	['554']	['3246']	404.0
043701	30.5880	97.7689	338	['332']	['615']	['3391']	411.0
043731	30.6314	97.7895	338	['351']	['650']	['3658']	648.0
043801	30.6783	97.8118	338	['357']	['661']	['4039']	693.0
043831	30.7228	97.8330	338	['368']	['681']	['4351']	725.0
043854	30.7614	97.8514	339	['366']	['678']	['4679']	721.0
043935	30.8271	97.8829	338	['376']	['697']	['5121']	605.0
044005	30.8739	97.9053	337	['386']	['715']	['5395']	663.0
044026	30.9093	97.9230	335	['380']	['703']	['5685']	776.0
044101	30.9638	97.9548	333	['375']	['695']	['6119']	689.0
044131	31.0108	97.9824	333	['378']	['700']	['6431']	663.0
044201	31.0568	98.0096	333	['376']	['697']	['6782']	572.0
044231	31.1036	98.0371	333	['374']	['692']	['7003']	229.0
044301	31.1511	98.0652	334	['399']	['739']	['7010']	9.0
044320	31.1859	98.0806	344	['424']	['785']	['7010']	0
044343	31.2303	98.0920	351	['436']	['808']	['7010']	0
044400	31.2656	98.0933	4	['445']	['824']	['7010']	0
044416	31.2973	98.0852	17	['450']	['834']	['7010']	0
044456	31.3759	98.0562	18	['446']	['826']	['7010']	0
044526	31.4359	98.0340	18	['447']	['827']	['7010']	0
044556	31.4948	98.0121	18	['447']	['827']	['7010']	0
044626	31.5534	97.9903	18	['448']	['830']	['7010']	-130.0
044656	31.6123	97.9682	18	['433']	['801']	['6881']	-381.0
044726	31.6704	97.9465	18	['424']	['785']	['6629']	-541.0
