# https://zh.flightaware.com//live/flight/AAL367/history/20221111/1045Z/KPHX/KMIA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
061354	33.4406	112.0378	269	['185']	['343']	['526']	0
061410	33.4373	112.0546	249	['191']	['354']	['701']	472.0
061426	33.4317	112.0701	247	['208']	['385']	['777']	286.0
061442	33.4257	112.0877	249	['228']	['422']	['853']	240.0
061504	33.4170	112.1144	249	['258']	['478']	['930']	345.0
061527	33.4056	112.1489	246	['279']	['517']	['1113']	652.0
061544	33.3918	112.1680	219	['273']	['505']	['1364']	823.0
061602	33.3711	112.1780	191	['274']	['507']	['1593']	767.0
061618	33.3502	112.1750	162	['275']	['509']	['1798']	705.0
061637	33.3310	112.1571	131	['277']	['513']	['2004']	666.0
061653	33.3233	112.1342	106	['279']	['517']	['2187']	647.0
061718	33.3197	112.0978	97	['284']	['526']	['2446']	615.0
061748	33.3148	112.0481	97	['295']	['546']	['2751']	594.0
061818	33.3104	112.0010	96	['303']	['562']	['3040']	480.0
061848	33.3055	111.9474	97	['326']	['604']	['3231']	343.0
061918	33.3000	111.8912	97	['351']	['650']	['3383']	305.0
061948	33.2944	111.8337	97	['374']	['692']	['3536']	434.0
062018	33.2883	111.7709	97	['382']	['708']	['3818']	617.0
062048	33.2819	111.7047	96	['386']	['715']	['4153']	655.0
062118	33.2765	111.6442	96	['389']	['721']	['4473']	617.0
062148	33.2705	111.5767	96	['398']	['737']	['4770']	549.0
062218	33.2645	111.5109	96	['408']	['756']	['5022']	511.0
062248	33.2585	111.4442	96	['417']	['772']	['5281']	495.0
062318	33.2520	111.3742	96	['428']	['793']	['5517']	503.0
062348	33.2453	111.3030	96	['434']	['803']	['5784']	526.0
062418	33.2387	111.2316	96	['440']	['814']	['6043']	533.0
062448	33.2316	111.1567	96	['444']	['822']	['6317']	533.0
062518	33.2249	111.0856	96	['447']	['827']	['6576']	518.0
062548	33.2179	111.0114	97	['450']	['834']	['6835']	487.0
062619	33.2103	110.9327	97	['456']	['845']	['7071']	420.0
062650	33.2028	110.8548	97	['463']	['858']	['7269']	397.0
062720	33.1952	110.7761	97	['469']	['869']	['7475']	404.0
062750	33.1879	110.7014	97	['474']	['877']	['7673']	381.0
062820	33.1801	110.6227	97	['478']	['885']	['7856']	366.0
062850	33.1724	110.5442	97	['483']	['895']	['8039']	360.0
062921	33.1641	110.4599	97	['489']	['906']	['8222']	337.0
062951	33.1561	110.3811	97	['493']	['912']	['8382']	320.0
063021	33.1479	110.2999	97	['497']	['921']	['8542']	315.0
