# https://zh.flightaware.com//live/flight/AAL367/history/20221117/0911Z/KLAS/KMIA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
041252	36.0766	115.1657	271	['188']	['348']	['754']	0
041308	36.0765	115.1824	269	['200']	['370']	['937']	529.0
041324	36.0759	115.2025	265	['223']	['414']	['1036']	343.0
041340	36.0733	115.2243	261	['246']	['455']	['1120']	582.0
041357	36.0682	115.2474	243	['252']	['467']	['1356']	834.0
041414	36.0543	115.2653	212	['262']	['486']	['1593']	636.0
041443	36.0210	115.2825	199	['287']	['531']	['1844']	559.0
041459	35.9995	115.2865	175	['293']	['542']	['2012']	780.0
041517	35.9758	115.2752	145	['288']	['533']	['2286']	776.0
041542	35.9553	115.2533	139	['295']	['546']	['2568']	752.0
041602	35.9301	115.2262	138	['297']	['550']	['2850']	691.0
041627	35.9073	115.1932	124	['316']	['586']	['3086']	419.0
041702	35.8804	115.1377	120	['350']	['649']	['3269']	407.0
041722	35.8696	115.1001	100	['356']	['660']	['3459']	725.0
041807	35.8715	115.0083	87	['358']	['663']	['4054']	722.0
041838	35.8749	114.9460	86	['367']	['679']	['4374']	637.0
041908	35.8782	114.8831	86	['371']	['687']	['4702']	630.0
041939	35.8819	114.8151	86	['379']	['702']	['5014']	570.0
042009	35.8853	114.7526	86	['386']	['715']	['5281']	572.0
042039	35.8888	114.6851	86	['391']	['724']	['5585']	564.0
042109	35.8924	114.6186	86	['400']	['740']	['5845']	518.0
042139	35.8963	114.5464	86	['408']	['756']	['6104']	507.0
042155	35.8972	114.5121	90	['412']	['763']	['6233']	515.0
042226	35.8968	114.4385	90	['416']	['771']	['6507']	510.0
042256	35.8965	114.3673	90	['421']	['779']	['6751']	472.0
042326	35.8961	114.2957	91	['426']	['789']	['6980']	457.0
042356	35.8956	114.2230	91	['430']	['797']	['7209']	465.0
042426	35.8949	114.1463	91	['433']	['801']	['7445']	450.0
042456	35.8944	114.0735	91	['437']	['810']	['7658']	427.0
042526	35.8937	113.9979	91	['440']	['814']	['7871']	405.0
042557	35.8931	113.9223	91	['444']	['822']	['8070']	375.0
042627	35.8924	113.8472	91	['448']	['830']	['8252']	366.0
042657	35.8916	113.7691	91	['451']	['835']	['8435']	358.0
042727	35.8906	113.6881	91	['455']	['843']	['8611']	315.0
042758	35.8899	113.6104	91	['460']	['851']	['8755']	269.0
042818	35.8891	113.5600	92	['464']	['859']	['8839']	272.0
042840	35.8837	113.4986	99	['469']	['869']	['8946']	293.0
042911	35.8717	113.4136	100	['474']	['877']	['9098']	288.0
042942	35.8600	113.3329	100	['477']	['884']	['9243']	285.0
043012	35.8488	113.2552	100	['479']	['887']	['9388']	290.0
043042	35.8373	113.1747	100	['481']	['892']	['9533']	285.0
043113	35.8250	113.0907	100	['484']	['896']	['9677']	292.0
043143	35.8130	113.0091	100	['483']	['895']	['9830']	274.0
043213	35.8012	112.9292	100	['486']	['900']	['9952']	244.0
043243	35.7890	112.8465	100	['487']	['901']	['10074']	244.0
043313	35.7769	112.7656	100	['488']	['904']	['10196']	251.0
043343	35.7644	112.6820	101	['486']	['900']	['10325']	259.0
043413	35.7524	112.6022	101	['485']	['898']	['10455']	244.0
043443	35.7399	112.5190	101	['485']	['898']	['10569']	221.0
043513	35.7278	112.4385	101	['486']	['900']	['10676']	99.0
043543	35.7148	112.3580	103	['488']	['904']	['10668']	-8.0
043613	35.6992	112.2764	103	['488']	['904']	['10668']	0
043643	35.6835	112.1954	103	['488']	['904']	['10668']	0
043713	35.6678	112.1132	103	['488']	['904']	['10668']	0
043743	35.6527	112.0342	103	['488']	['904']	['10668']	0
043813	35.6370	111.9523	103	['489']	['906']	['10668']	0
043843	35.6211	111.8687	103	['489']	['906']	['10668']	0
043913	35.6060	111.7900	103	['488']	['904']	['10668']	0
043943	35.5908	111.7096	103	['487']	['901']	['10668']	0
044013	35.5758	111.6307	103	['487']	['901']	['10668']	0
044043	35.5599	111.5476	103	['486']	['900']	['10668']	0
044113	35.5448	111.4691	103	['485']	['898']	['10668']	0
044143	35.5290	111.3876	104	['484']	['896']	['10668']	0
044213	35.5132	111.3071	104	['484']	['896']	['10668']	0
044243	35.4977	111.2282	104	['484']	['896']	['10668']	0
044313	35.4816	111.1473	104	['484']	['896']	['10668']	0
044343	35.4659	111.0678	104	['483']	['895']	['10668']	0
044413	35.4504	110.9880	103	['483']	['895']	['10668']	0
