# https://zh.flightaware.com//live/flight/AAL381/history/20221104/2040Z/KLGA/KORD/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
054529	40.7678	73.8501	138	['164']	['304']	['99']	0
054545	40.7571	73.8444	164	['160']	['296']	['358']	729.0
054601	40.7448	73.8397	164	['180']	['333']	['488']	429.0
054617	40.7318	73.8298	137	['210']	['389']	['587']	543.0
054633	40.7254	73.8113	103	['228']	['422']	['777']	859.0
054650	40.7285	73.7858	68	['238']	['441']	['1059']	859.0
054706	40.7386	73.7695	42	['247']	['457']	['1250']	843.0
054722	40.7563	73.7588	12	['245']	['454']	['1509']	786.0
054738	40.7743	73.7604	347	['250']	['463']	['1669']	542.0
054805	40.8068	73.7741	341	['285']	['528']	['1897']	690.0
054835	40.8463	73.7920	341	['300']	['555']	['2324']	930.0
054905	40.8859	73.8099	340	['301']	['557']	['2827']	964.0
054921	40.9055	73.8196	339	['302']	['560']	['3063']	714.0
054937	40.9254	73.8376	316	['310']	['575']	['3208']	402.0
055011	40.9574	73.8880	310	['345']	['639']	['3399']	386.0
055041	40.9913	73.9420	309	['375']	['695']	['3620']	594.0
055111	41.0225	73.9930	309	['379']	['702']	['3993']	693.0
055141	41.0560	74.0494	308	['391']	['724']	['4313']	690.0
055200	41.0782	74.0892	303	['396']	['734']	['4557']	667.0
055218	41.0898	74.1246	291	['397']	['735']	['4724']	544.0
055237	41.0982	74.1688	279	['402']	['745']	['4892']	666.0
055315	41.1054	74.2629	276	['402']	['745']	['5357']	633.0
055355	41.1129	74.3640	275	['416']	['771']	['5715']	536.0
055425	41.1184	74.4407	275	['425']	['787']	['5982']	556.0
055455	41.1237	74.5167	275	['431']	['798']	['6271']	632.0
055525	41.1292	74.5960	275	['430']	['797']	['6614']	708.0
055546	41.1336	74.6536	278	['428']	['793']	['6873']	680.0
055606	41.1436	74.7037	289	['427']	['790']	['7079']	580.0
055627	41.1607	74.7512	300	['429']	['795']	['7269']	487.0
055708	41.2011	74.8447	300	['435']	['806']	['7582']	429.0
055731	41.2236	74.8968	300	['439']	['813']	['7727']	427.0
055809	41.2634	74.9886	300	['442']	['819']	['8016']	531.0
055839	41.2935	75.0580	300	['435']	['806']	['8329']	632.0
055856	41.3107	75.0978	300	['431']	['798']	['8512']	593.0
055926	41.3398	75.1650	300	['426']	['789']	['8793']	564.0
055956	41.3691	75.2331	300	['422']	['782']	['9075']	345.0
060027	41.3997	75.3045	300	['422']	['782']	['9144']	78.0
060049	41.4208	75.3537	301	['420']	['777']	['9144']	0
060119	41.4494	75.4208	299	['419']	['776']	['9144']	0
060140	41.4703	75.4707	298	['420']	['777']	['9144']	0
060222	41.4999	75.5672	291	['417']	['772']	['9144']	0
060305	41.5289	75.6685	291	['417']	['772']	['9144']	0
060335	41.5501	75.7418	291	['416']	['771']	['9144']	0
060406	41.5722	75.8193	292	['414']	['766']	['9144']	0
060436	41.5921	75.8892	291	['415']	['769']	['9144']	0
060506	41.6123	75.9602	291	['415']	['769']	['9144']	0
060536	41.6329	76.0333	291	['415']	['769']	['9144']	0
060606	41.6526	76.1031	291	['415']	['769']	['9144']	0
060636	41.6726	76.1744	291	['413']	['764']	['9144']	0
060707	41.6936	76.2488	290	['413']	['764']	['9144']	0
060737	41.7135	76.3201	290	['413']	['764']	['9144']	0
060807	41.7337	76.3924	290	['415']	['769']	['9144']	0
060837	41.7537	76.4643	290	['415']	['769']	['9144']	0
060907	41.7737	76.5366	290	['415']	['769']	['9144']	0
060937	41.7938	76.6091	290	['415']	['769']	['9144']	0
