# https://zh.flightaware.com//live/flight/AAL381/history/20221105/1828Z/MYNN/KLGA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
023845	25.0299	77.4520	138	['159']	['295']	['206']	0
023901	25.0217	77.4438	137	['159']	['295']	['396']	600.0
023917	25.0127	77.4347	137	['177']	['328']	['526']	429.0
023933	25.0012	77.4227	136	['204']	['378']	['625']	457.0
023950	24.9928	77.4086	113	['223']	['414']	['777']	582.0
024006	24.9918	77.3900	81	['240']	['444']	['945']	776.0
024023	25.0020	77.3696	50	['251']	['465']	['1204']	939.0
024043	25.0207	77.3537	31	['258']	['478']	['1524']	895.0
024109	25.0503	77.3427	16	['273']	['505']	['1890']	898.0
024139	25.0855	77.3311	16	['279']	['517']	['2362']	991.0
024209	25.1251	77.3200	14	['285']	['528']	['2880']	929.0
024243	25.1688	77.3070	15	['303']	['562']	['3353']	714.0
024313	25.2153	77.2936	14	['339']	['628']	['3642']	785.0
024343	25.2615	77.2808	14	['348']	['644']	['4138']	944.0
024414	25.3084	77.2675	15	['359']	['665']	['4602']	982.0
024444	25.3587	77.2529	15	['364']	['674']	['5136']	1.0
024514	25.4084	77.2387	14	['370']	['686']	['5631']	960.0
024544	25.4556	77.2249	17	['371']	['687']	['6096']	1.0
024614	25.5057	77.2016	25	['362']	['671']	['6652']	878.0
024646	25.5556	77.1763	25	['373']	['690']	['7003']	347.0
024716	25.6023	77.1527	25	['377']	['698']	['7010']	150.0
024747	25.6513	77.1275	25	['380']	['703']	['7155']	472.0
024817	25.6980	77.1034	25	['384']	['711']	['7490']	669.0
024841	25.7426	77.0953	0	['395']	['732']	['7757']	632.0
024917	25.8082	77.1080	348	['407']	['753']	['8123']	623.0
024947	25.8636	77.1205	349	['410']	['760']	['8443']	617.0
025017	25.9196	77.1331	348	['414']	['766']	['8740']	592.0
025048	25.9774	77.1461	349	['415']	['769']	['9045']	675.0
025118	26.0324	77.1585	349	['409']	['758']	['9426']	777.0
025148	26.0891	77.1712	349	['400']	['740']	['9822']	640.0
025218	26.1424	77.1830	349	['397']	['735']	['10066']	236.0
025248	26.1978	77.1958	348	['396']	['734']	['10058']	162.0
025320	26.2556	77.2088	349	['395']	['732']	['10234']	443.0
025350	26.3089	77.2207	349	['395']	['732']	['10516']	457.0
025421	26.3669	77.2334	349	['403']	['747']	['10698']	337.0
025451	26.4220	77.2458	348	['409']	['758']	['10859']	343.0
025521	26.4740	77.2576	348	['412']	['763']	['11041']	450.0
025551	26.5319	77.2707	349	['409']	['758']	['11308']	532.0
025622	26.5906	77.2839	349	['403']	['747']	['11582']	487.0
025652	26.6460	77.2961	349	['400']	['740']	['11803']	286.0
025726	26.7057	77.3094	349	['407']	['753']	['11887']	79.0
025756	26.7633	77.3224	349	['415']	['769']	['11887']	0
025830	26.8259	77.3363	348	['418']	['774']	['11887']	0
025901	26.8856	77.3501	348	['419']	['776']	['11887']	0
025931	26.9425	77.3631	348	['420']	['777']	['11887']	0
030007	27.0127	77.3789	349	['421']	['779']	['11887']	0
030038	27.0728	77.3925	349	['422']	['782']	['11887']	0
030108	27.1302	77.4054	349	['422']	['782']	['11887']	0
030138	27.1885	77.4186	349	['423']	['784']	['11887']	0
030209	27.2466	77.4318	348	['424']	['785']	['11887']	0
030239	27.3028	77.4446	349	['423']	['784']	['11887']	0
030309	27.3621	77.4580	349	['423']	['784']	['11887']	0
030339	27.4205	77.4713	349	['422']	['782']	['11887']	0
030409	27.4744	77.4836	349	['422']	['782']	['11887']	0
030439	27.5352	77.4975	349	['422']	['782']	['11887']	0
030509	27.5893	77.5098	349	['422']	['782']	['11887']	0
030540	27.6513	77.5240	349	['422']	['782']	['11887']	0
030610	27.7076	77.5369	349	['421']	['779']	['11887']	0
030641	27.7663	77.5503	348	['420']	['777']	['11887']	0
030712	27.8247	77.5637	348	['419']	['776']	['11887']	0
030743	27.8835	77.5772	348	['419']	['776']	['11887']	0
030813	27.9427	77.5908	348	['418']	['774']	['11887']	0
030843	27.9984	77.6036	348	['418']	['774']	['11887']	0
030913	28.0552	77.6167	348	['417']	['772']	['11887']	0
030943	28.1104	77.6294	349	['416']	['771']	['11887']	0
031002	28.1472	77.6340	356	['416']	['771']	['11887']	0
031032	28.2064	77.6366	358	['415']	['769']	['11887']	0
031103	28.2642	77.6394	358	['415']	['769']	['11887']	0
031133	28.3222	77.6419	358	['414']	['766']	['11887']	0
031203	28.3815	77.6445	358	['414']	['766']	['11887']	0
031235	28.4408	77.6472	358	['414']	['766']	['11887']	0
031306	28.5007	77.6500	358	['413']	['764']	['11887']	0
031337	28.5595	77.6527	358	['413']	['764']	['11887']	0
031407	28.6168	77.6558	357	['413']	['764']	['11887']	0
031438	28.6778	77.6591	357	['412']	['763']	['11887']	0
031509	28.7353	77.6623	357	['412']	['763']	['11887']	0
031539	28.7925	77.6654	357	['411']	['761']	['11887']	0
031609	28.8505	77.6685	357	['412']	['763']	['11887']	0
031640	28.9088	77.6717	357	['412']	['763']	['11887']	0
031710	28.9646	77.6747	357	['412']	['763']	['11887']	0
031740	29.0224	77.6779	357	['413']	['764']	['11887']	0
