# https://zh.flightaware.com//live/flight/AAL426/history/20221101/1706Z/KBUR/KPHX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
013928	34.1729	118.3585	213	['181']	['335']	['777']	0
013944	34.1625	118.3701	225	['197']	['365']	['907']	443.0
014000	34.1518	118.3832	226	['217']	['402']	['1013']	386.0
014016	34.1403	118.3976	226	['243']	['451']	['1113']	582.0
014033	34.1250	118.4168	228	['261']	['483']	['1334']	849.0
014051	34.1159	118.4399	257	['270']	['501']	['1608']	1.0
014107	34.1178	118.4644	284	['271']	['502']	['1920']	1.0
014124	34.1304	118.4862	313	['280']	['518']	['2210']	914.0
014141	34.1489	118.4979	342	['292']	['541']	['2438']	888.0
014159	34.1746	118.5011	1	['297']	['550']	['2728']	953.0
014217	34.1976	118.4916	26	['300']	['555']	['3010']	831.0
014254	34.2430	118.4640	27	['310']	['575']	['3490']	757.0
014324	34.2822	118.4408	26	['322']	['597']	['3856']	724.0
014354	34.3224	118.4169	26	['333']	['616']	['4214']	587.0
014424	34.3669	118.3903	27	['356']	['660']	['4442']	389.0
014454	34.4147	118.3617	26	['386']	['715']	['4602']	319.0
014517	34.4516	118.3392	29	['410']	['760']	['4724']	410.0
014533	34.4760	118.3179	42	['419']	['776']	['4869']	546.0
014553	34.4977	118.2789	66	['427']	['790']	['5052']	643.0
014610	34.5060	118.2379	81	['426']	['789']	['5265']	699.0
014646	34.5148	118.1535	83	['428']	['793']	['5669']	610.0
014716	34.5226	118.0812	83	['438']	['811']	['5936']	442.0
014746	34.5301	118.0053	84	['451']	['835']	['6111']	438.0
014803	34.5342	117.9676	81	['452']	['837']	['6279']	623.0
014841	34.5510	117.8729	78	['456']	['845']	['6683']	686.0
014911	34.5645	117.7980	78	['451']	['835']	['7056']	610.0
014941	34.5778	117.7248	78	['447']	['827']	['7292']	259.0
015011	34.5910	117.6511	78	['446']	['826']	['7315']	23.0
015041	34.6046	117.5751	78	['447']	['827']	['7315']	0
015112	34.6178	117.5002	78	['447']	['827']	['7315']	0
015142	34.6307	117.4278	78	['448']	['830']	['7315']	0
015212	34.6437	117.3543	78	['448']	['830']	['7315']	137.0
015242	34.6567	117.2801	78	['449']	['832']	['7452']	305.0
015312	34.6696	117.2064	78	['444']	['822']	['7620']	175.0
015342	34.6822	117.1346	78	['444']	['822']	['7628']	0
015412	34.6950	117.0612	78	['447']	['827']	['7620']	-15.0
015442	34.7082	116.9848	78	['455']	['843']	['7612']	0
015512	34.7215	116.9081	78	['459']	['850']	['7620']	8.0
015542	34.7343	116.8334	78	['457']	['847']	['7620']	0
015612	34.7473	116.7570	78	['458']	['848']	['7620']	8.0
015642	34.7600	116.6830	78	['458']	['848']	['7628']	0
015712	34.7731	116.6060	78	['459']	['850']	['7620']	0
015742	34.7853	116.5336	78	['459']	['850']	['7628']	9.0
015805	34.7962	116.4748	76	['460']	['851']	['7628']	0
015849	34.8258	116.3664	70	['461']	['855']	['7628']	0
015920	34.8480	116.2906	71	['462']	['856']	['7628']	-8.0
015950	34.8692	116.2179	71	['462']	['856']	['7620']	-8.0
020021	34.8906	116.1447	71	['461']	['855']	['7620']	0
020052	34.9128	116.0683	71	['460']	['851']	['7620']	-7.0
020123	34.9357	115.9892	71	['460']	['851']	['7612']	-8.0
020153	34.9555	115.9209	71	['460']	['851']	['7612']	0
020223	34.9781	115.8426	71	['461']	['855']	['7612']	8.0
020254	34.9998	115.7670	71	['462']	['856']	['7620']	8.0
020324	35.0208	115.6940	71	['461']	['855']	['7620']	0
020354	35.0413	115.6226	71	['461']	['855']	['7620']	-8.0
