# https://zh.flightaware.com//live/flight/AAL426/history/20221108/1527Z/KDCA/KPVD/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
000243	38.8549	77.0382	355	['126']	['233']	[]	0
000259	38.8649	77.0394	355	['128']	['237']	['160']	0
000315	38.8743	77.0433	326	['142']	['262']	['351']	671.0
000331	38.8829	77.0520	320	['160']	['296']	['518']	657.0
000347	38.8926	77.0626	320	['183']	['340']	['701']	757.0
000403	38.9031	77.0770	303	['213']	['394']	['922']	834.0
000421	38.9124	77.0973	302	['237']	['439']	['1173']	928.0
000438	38.9263	77.1150	326	['251']	['465']	['1463']	1.0
000454	38.9416	77.1276	328	['255']	['472']	['1814']	1.0
000510	38.9591	77.1402	333	['253']	['468']	['2240']	1.0
000528	38.9787	77.1475	355	['255']	['472']	['2644']	1.0
000546	38.9998	77.1403	29	['266']	['492']	['3018']	1.0
000613	39.0272	77.1132	40	['281']	['520']	['3399']	600.0
000631	39.0412	77.0895	63	['294']	['544']	['3467']	71.0
000711	39.0524	77.0140	81	['366']	['678']	['3467']	20.0
000741	39.0604	76.9487	81	['376']	['697']	['3490']	328.0
000811	39.0691	76.8793	81	['393']	['727']	['3795']	930.0
000841	39.0776	76.8120	81	['386']	['715']	['4420']	1.0
000911	39.0865	76.7413	81	['399']	['739']	['4877']	861.0
000941	39.0966	76.6696	79	['411']	['761']	['5281']	785.0
001011	39.1071	76.5966	80	['422']	['782']	['5662']	998.0
001041	39.1172	76.5253	80	['406']	['752']	['6279']	1.0
001111	39.1256	76.4571	82	['386']	['715']	['6850']	732.0
001141	39.1332	76.3875	82	['391']	['724']	['7010']	160.0
001211	39.1409	76.3191	82	['392']	['726']	['7010']	0
001241	39.1492	76.2461	82	['393']	['727']	['7010']	-10.0
001258	39.1502	76.2084	95	['398']	['737']	['7003']	0
001342	39.1257	76.1092	109	['398']	['737']	['7010']	6.0
001412	39.1081	76.0433	109	['397']	['735']	['7010']	0
001437	39.0934	75.9873	107	['395']	['732']	['7010']	10.0
001457	39.0897	75.9414	87	['392']	['726']	['7018']	0
001513	39.0952	75.9070	69	['386']	['715']	['7010']	-14.0
001530	39.1102	75.8724	52	['377']	['698']	['7010']	0
001549	39.1337	75.8455	32	['364']	['674']	['7010']	0
001623	39.1829	75.8071	31	['364']	['674']	['7010']	7.0
001653	39.2279	75.7724	31	['390']	['723']	['7018']	137.0
001723	39.2764	75.7350	31	['418']	['774']	['7148']	305.0
001753	39.3278	75.6954	31	['437']	['810']	['7323']	450.0
001823	39.3829	75.6529	31	['449']	['832']	['7597']	511.0
001852	39.4334	75.6111	35	['464']	['859']	['7826']	507.0
001909	39.4620	75.5829	39	['472']	['874']	['7986']	498.0
001948	39.5269	75.5115	41	['487']	['901']	['8291']	802.0
002018	39.5772	75.4561	40	['463']	['858']	['8908']	1.0
002048	39.6244	75.4039	40	['433']	['801']	['9594']	1.0
002118	39.6703	75.3534	41	['433']	['801']	['9929']	562.0
002136	39.6974	75.3233	41	['426']	['789']	['10043']	216.0
002154	39.7249	75.2929	41	['438']	['811']	['10058']	19.0
002224	39.7707	75.2414	42	['444']	['822']	['10058']	0
002248	39.8061	75.1960	47	['452']	['837']	['10058']	9.0
002318	39.8469	75.1360	49	['451']	['835']	['10066']	0
002348	39.8894	75.0729	49	['450']	['834']	['10058']	-8.0
002418	39.9302	75.0124	49	['449']	['832']	['10058']	0
002434	39.9509	74.9814	50	['450']	['834']	['10058']	0
002454	39.9773	74.9373	54	['453']	['838']	['10058']	0
002512	39.9976	74.8984	57	['455']	['843']	['10058']	0
002542	40.0326	74.8298	56	['454']	['840']	['10058']	0
002559	40.0526	74.7905	57	['455']	['843']	['10058']	0
002629	40.0872	74.7204	60	['458']	['848']	['10058']	8.0
002657	40.1131	74.6491	68	['462']	['856']	['10066']	8.0
002730	40.1391	74.5649	68	['463']	['858']	['10066']	0
002800	40.1623	74.4902	68	['464']	['859']	['10066']	-107.0
002830	40.1869	74.4109	68	['465']	['861']	['9959']	-270.0
002928	40.2337	74.2590	68	['464']	['859']	['9670']	-307.0
002958	40.2575	74.1813	68	['465']	['861']	['9510']	-373.0
003028	40.2808	74.1052	68	['469']	['869']	['9296']	-373.0
003058	40.3055	74.0240	68	['471']	['872']	['9136']	-290.0
003128	40.3295	73.9450	68	['481']	['892']	['9007']	-305.0
003158	40.3550	73.8608	69	['492']	['911']	['8832']	-320.0
003228	40.3797	73.7786	69	['490']	['908']	['8687']	-297.0
003258	40.4047	73.6953	69	['484']	['896']	['8534']	-305.0
003328	40.4295	73.6130	69	['478']	['885']	['8382']	-318.0
003344	40.4420	73.5721	67	['474']	['877']	['8291']	-288.0
003414	40.4710	73.4930	63	['465']	['861']	['8161']	-450.0
003444	40.4988	73.4214	63	['457']	['847']	['7841']	-686.0
003514	40.5273	73.3475	63	['448']	['830']	['7475']	-632.0
003544	40.5548	73.2764	63	['439']	['813']	['7209']	-427.0
003614	40.5821	73.2059	63	['440']	['814']	['7049']	-320.0
003644	40.6100	73.1330	63	['436']	['808']	['6888']	-343.0
003714	40.6361	73.0647	63	['431']	['798']	['6706']	-404.0
003744	40.6639	72.9925	63	['422']	['782']	['6485']	-427.0
003814	40.6897	72.9248	63	['414']	['766']	['6279']	-404.0
003844	40.7157	72.8565	63	['411']	['761']	['6081']	-427.0
003914	40.7415	72.7891	63	['435']	['806']	['5852']	-434.0
003944	40.7691	72.7160	64	['420']	['777']	['5646']	-419.0
004014	40.7936	72.6506	64	['416']	['771']	['5433']	-411.0
004044	40.8190	72.5837	63	['411']	['761']	['5235']	-411.0
004114	40.8443	72.5167	64	['405']	['750']	['5022']	-427.0
004144	40.8700	72.4481	64	['399']	['739']	['4808']	-396.0
004214	40.8934	72.3857	64	['399']	['739']	['4625']	-404.0
004244	40.9190	72.3173	65	['391']	['724']	['4404']	-409.0
004321	40.9458	72.2379	66	['386']	['715']	['4168']	-382.0
004351	40.9672	72.1746	66	['386']	['715']	['3978']	-381.0
004421	40.9891	72.1101	66	['381']	['705']	['3787']	-389.0
004451	41.0110	72.0453	66	['376']	['697']	['3589']	-373.0
004521	41.0316	71.9842	66	['372']	['689']	['3414']	-374.0
004546	41.0490	71.9322	66	['364']	['674']	['3246']	-383.0
004604	41.0655	71.8984	52	['351']	['650']	['3139']	-248.0
