# https://zh.flightaware.com//live/flight/AAL426/history/20221114/1752Z/KPVD/KDCA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
015319	41.7304	71.4208	34	['142']	['262']	['137']	0
015335	41.7362	71.4108	65	['143']	['266']	['343']	643.0
015351	41.7405	71.3965	69	['165']	['306']	['480']	500.0
015407	41.7457	71.3787	69	['191']	['354']	['610']	500.0
015423	41.7496	71.3601	85	['213']	['394']	['747']	486.0
015439	41.7484	71.3380	96	['243']	['451']	['869']	723.0
015506	41.7437	71.2927	99	['270']	['501']	['1265']	896.0
015528	41.7384	71.2547	100	['289']	['536']	['1600']	975.0
015551	41.7345	71.2152	95	['293']	['542']	['1996']	960.0
015608	41.7316	71.1848	105	['307']	['568']	['2240']	888.0
015626	41.7186	71.1541	135	['310']	['575']	['2515']	874.0
015642	41.6996	71.1399	165	['300']	['555']	['2736']	871.0
015658	41.6787	71.1399	191	['284']	['526']	['2979']	654.0
015733	41.6308	71.1510	189	['325']	['602']	['3292']	457.0
015803	41.5824	71.1613	189	['364']	['674']	['3475']	579.0
015833	41.5322	71.1717	189	['374']	['692']	['3871']	878.0
015853	41.4981	71.1787	190	['374']	['692']	['4206']	924.0
015923	41.4462	71.1894	189	['380']	['703']	['4641']	790.0
015948	41.4008	71.1988	189	['389']	['721']	['4930']	748.0
020018	41.3477	71.2097	189	['392']	['726']	['5326']	709.0
020048	41.2939	71.2208	189	['400']	['740']	['5639']	648.0
020118	41.2386	71.2324	189	['407']	['753']	['5974']	623.0
020135	41.2079	71.2408	198	['403']	['747']	['6126']	525.0
020152	41.1801	71.2588	215	['391']	['724']	['6271']	578.0
020209	41.1582	71.2885	235	['379']	['702']	['6454']	626.0
020249	41.1275	71.3700	244	['377']	['698']	['6866']	562.0
020310	41.1123	71.4120	245	['383']	['710']	['7026']	497.0
020335	41.0925	71.4668	242	['389']	['721']	['7247']	509.0
020354	41.0738	71.5040	231	['399']	['739']	['7399']	481.0
020433	41.0262	71.5755	230	['403']	['747']	['7711']	477.0
020503	40.9871	71.6338	229	['409']	['758']	['7948']	419.0
020533	40.9500	71.6889	228	['415']	['769']	['8131']	343.0
020603	40.9110	71.7465	228	['423']	['784']	['8291']	373.0
020633	40.8725	71.8033	228	['423']	['784']	['8504']	434.0
020703	40.8334	71.8609	228	['424']	['785']	['8725']	434.0
020733	40.7947	71.9178	228	['423']	['784']	['8938']	488.0
020803	40.7546	71.9767	228	['419']	['776']	['9213']	572.0
