name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KLAX	33.9424964	-118.4080486	274°	NA	3979	0	Origin Airport
FABRA	33.9456389	-118.4649722	127°	5.0	3983	5	Waypoint
KLIPR	33.9295	-118.4387778	56°	3.0	3982	3	Waypoint
KEGGS	34.0084444	-118.2995833	56°	16.0	3966	12	Waypoint
COOPP	34.1211389	-118.1005278	56°	22.0	3945	35	Waypoint
ORCKA	34.3497222	-117.6931389	54°	45.0	3900	80	Waypoint
NNAVY	34.9196389	-116.7280278	47°	109.0	3794	189	Waypoint
BLAZN	35.632	-115.7794722	48°	117.0	3684	305	Waypoint
LAS	36.0796944	-115.1598056	41°	75.0	3614	380	VOR-TAC (NAVAID)
LAS	36.0797014	-115.1597981	69°	0.0	3614	380	VOR-TAC (NAVAID)
BEALE	36.1824528	-114.8261361	69°	32.0	3582	411	Reporting Point
NOOTN	36.6257306	-113.3445139	70°	142.0	3440	548	Reporting Point
BETHL	36.8844167	-112.4404306	71°	86.0	3355	633	Reporting Point
FREDD	36.9093917	-112.3512278	71°	8.0	3346	641	Reporting Point
DICEE	37.2193278	-111.2239389	71°	106.0	3240	745	Reporting Point
DVC	37.8087397	-108.9312739	81°	213.0	3027	956	VOR-TAC (NAVAID)
PUB	38.2941667	-104.4294444	81°	398.0	2634	1345	VOR-TAC (NAVAID)
HYS	38.8477778	-99.2766667	86°	453.0	2184	1795	VOR-TAC (NAVAID)
SLN	38.925	-97.6213889	80°	144.0	2042	1938	VOR-TAC (NAVAID)
MCI	39.2852778	-94.7369444	73°	252.0	1790	2190	VOR-TAC (NAVAID)
RBS	40.5816667	-88.1641667	91°	579.0	1214	2764	VOR-DME (NAVAID)
BVT	40.5561111	-87.0694444	76°	93.0	1122	2856	VOR-TAC (NAVAID)
DJB	41.3580556	-82.1619444	69°	422.0	709	3274	VOR-DME (NAVAID)
JHW	42.1886069	-79.1213078	109°	269.0	478	3530	VOR-DME (NAVAID)
HOXIE	41.8650111	-77.8526056	109°	111.0	367	3634	Reporting Point
DMACK	41.7857583	-77.5519222	110°	26.0	341	3659	Reporting Point
STENT	41.6790472	-77.1527556	360°	35.0	305	3692	Reporting Point
STENT	41.6790472	-77.1527556	110°	0.0	305	3692	Reporting Point
MAGIO	41.5273833	-76.5964944	360°	49.0	256	3738	Reporting Point
MAGIO	41.5273833	-76.5964944	110°	0.0	256	3738	Reporting Point
LVZ	41.2727989	-75.6894661	326°	81.0	175	3815	VOR-TAC (NAVAID)
LVZ	41.2728056	-75.6894722	114°	0.0	175	3815	VOR-TAC (NAVAID)
JENNO	41.1529167	-75.3314167	114°	33.0	143	3845	Reporting Point
HARTY	41.0711944	-75.0898889	114°	22.0	120	3866	Reporting Point
STW	40.9958333	-74.8690278	98°	20.0	100	3885	VOR-DME (NAVAID)
LENDY	40.9148333	-74.13525	123°	62.0	43	3947	Reporting Point
LGA	40.7837222	-73.8686111	155°	27.0	18	3970	VOR-DME (NAVAID)
KJFK	40.6399278	-73.7786925	NA	18.0	0	3979	Destination Airport
