# https://zh.flightaware.com//live/flight/DAL323/history/20221117/2120Z/KLAX/KJFK/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
055008	33.9479	118.4245	263	['160']	['296']	['61']	0
055024	33.9464	118.4378	263	['163']	['303']	['251']	714.0
055040	33.9449	118.4533	263	['174']	['322']	['442']	643.0
055056	33.9431	118.4704	263	['195']	['360']	['594']	486.0
055112	33.9412	118.4880	263	['218']	['404']	['701']	593.0
055133	33.9379	118.5156	261	['241']	['446']	['960']	734.0
055150	33.9334	118.5384	253	['259']	['480']	['1166']	873.0
055217	33.9186	118.5739	237	['273']	['505']	['1600']	894.0
055235	33.9018	118.5928	210	['290']	['538']	['1836']	914.0
055252	33.8794	118.5999	181	['292']	['541']	['2134']	1.0
055309	33.8573	118.5939	156	['291']	['539']	['2469']	1.0
055325	33.8403	118.5777	131	['295']	['546']	['2713']	861.0
055343	33.8303	118.5517	100	['299']	['554']	['2957']	836.0
055400	33.8320	118.5220	75	['301']	['557']	['3200']	667.0
055420	33.8450	118.4936	54	['317']	['587']	['3368']	612.0
055505	33.8946	118.4335	45	['349']	['647']	['3863']	610.0
055535	33.9300	118.3915	45	['377']	['698']	['4130']	602.0
055605	33.9682	118.3465	45	['393']	['727']	['4465']	717.0
055626	33.9946	118.3147	47	['402']	['745']	['4740']	762.0
055644	34.0176	118.2819	53	['409']	['758']	['4961']	733.0
055724	34.0619	118.2059	56	['421']	['779']	['5448']	725.0
055754	34.0934	118.1499	56	['430']	['797']	['5806']	678.0
055824	34.1274	118.0892	56	['437']	['810']	['6126']	610.0
055854	34.1634	118.0255	56	['448']	['830']	['6416']	564.0
055924	34.2001	117.9600	56	['459']	['850']	['6690']	549.0
055954	34.2356	117.8967	56	['466']	['863']	['6965']	541.0
060024	34.2698	117.8359	56	['474']	['877']	['7231']	549.0
060054	34.3076	117.7683	56	['480']	['888']	['7513']	389.0
060124	34.3455	117.7006	56	['488']	['904']	['7620']	107.0
060154	34.3843	117.6335	54	['484']	['896']	['7620']	152.0
060224	34.4233	117.5692	54	['484']	['896']	['7772']	404.0
060254	34.4653	117.4996	54	['491']	['909']	['8024']	442.0
060324	34.5044	117.4342	54	['499']	['924']	['8214']	206.0
060354	34.5447	117.3663	54	['507']	['938']	['8230']	15.0
060424	34.5883	117.2964	52	['500']	['925']	['8230']	84.0
060454	34.6305	117.2336	50	['501']	['929']	['8313']	396.0
060524	34.6745	117.1705	50	['497']	['921']	['8626']	625.0
060554	34.7201	117.1065	49	['496']	['919']	['8938']	632.0
060624	34.7646	117.0447	49	['493']	['912']	['9258']	587.0
060654	34.8097	116.9821	49	['492']	['911']	['9525']	526.0
060724	34.8569	116.9167	49	['492']	['911']	['9784']	472.0
060754	34.9004	116.8561	49	['495']	['917']	['9997']	404.0
060824	34.9445	116.7947	49	['497']	['921']	['10188']	389.0
060854	34.9909	116.7299	49	['497']	['921']	['10386']	404.0
060924	35.0373	116.6643	49	['497']	['921']	['10592']	290.0
060954	35.0810	116.6024	49	['500']	['925']	['10676']	76.0
061024	35.1266	116.5379	49	['501']	['929']	['10668']	-8.0
061054	35.1716	116.4741	49	['498']	['922']	['10668']	0
061124	35.2147	116.4129	49	['495']	['917']	['10668']	0
061154	35.2606	116.3473	50	['493']	['912']	['10668']	0
061224	35.3057	116.2831	49	['490']	['908']	['10668']	0
061254	35.3484	116.2220	50	['488']	['904']	['10668']	0
061324	35.3938	116.1572	50	['487']	['901']	['10668']	0
061354	35.4374	116.0949	50	['487']	['901']	['10668']	0
061424	35.4807	116.0326	50	['489']	['906']	['10668']	0
061441	35.5044	115.9979	52	['490']	['908']	['10668']	0
061506	35.5393	115.9361	58	['498']	['922']	['10668']	0
061550	35.5836	115.8275	67	['506']	['937']	['10668']	0
061620	35.6122	115.7483	66	['505']	['935']	['10668']	0
061650	35.6411	115.6680	66	['506']	['937']	['10668']	0
061720	35.6688	115.5894	67	['506']	['937']	['10668']	15.0
061751	35.6986	115.5047	67	['506']	['937']	['10683']	120.0
061821	35.7260	115.4262	67	['511']	['946']	['10790']	262.0
061852	35.7541	115.3455	67	['511']	['946']	['10950']	420.0
061922	35.7820	115.2648	67	['501']	['929']	['11217']	322.0
061953	35.8091	115.1867	67	['499']	['924']	['11278']	60.0
062023	35.8367	115.1070	67	['499']	['924']	['11278']	0
062053	35.8639	115.0279	67	['499']	['924']	['11278']	0
062122	35.8873	114.9513	71	['503']	['932']	['11278']	8.0
062153	35.9117	114.8659	71	['504']	['933']	['11285']	0
062223	35.9326	114.7935	70	['504']	['933']	['11278']	-8.0
062253	35.9570	114.7093	71	['505']	['935']	['11278']	0
062323	35.9785	114.6325	71	['506']	['937']	['11278']	8.0
062353	36.0000	114.5539	71	['507']	['938']	['11285']	0
062423	36.0253	114.4619	71	['507']	['938']	['11278']	-8.0
062453	36.0498	114.3736	71	['508']	['941']	['11278']	0
062523	36.0713	114.2956	71	['507']	['938']	['11278']	0
062554	36.0949	114.2098	71	['507']	['938']	['11278']	0
062624	36.1176	114.1271	71	['506']	['937']	['11278']	0
062654	36.1394	114.0474	71	['505']	['935']	['11278']	8.0
062724	36.1621	113.9637	72	['505']	['935']	['11285']	0
062755	36.1843	113.8816	72	['504']	['933']	['11278']	-8.0
062825	36.2067	113.7990	72	['503']	['932']	['11278']	0
062855	36.2294	113.7143	72	['502']	['930']	['11278']	0
062925	36.2508	113.6346	72	['500']	['925']	['11278']	0
062955	36.2722	113.5541	72	['500']	['925']	['11278']	0
063025	36.2944	113.4710	72	['499']	['924']	['11278']	0
063055	36.3163	113.3889	72	['499']	['924']	['11278']	8.0
063125	36.3375	113.3086	72	['498']	['922']	['11285']	8.0
063156	36.3591	113.2266	72	['497']	['921']	['11285']	-7.0
063227	36.3817	113.1405	72	['497']	['921']	['11278']	-8.0
063257	36.4029	113.0595	72	['497']	['921']	['11278']	0
063327	36.4239	112.9792	72	['498']	['922']	['11278']	0
063357	36.4453	112.8973	72	['498']	['922']	['11278']	0
063427	36.4667	112.8149	72	['498']	['922']	['11278']	8.0
063457	36.4876	112.7342	72	['498']	['922']	['11285']	0
063532	36.5121	112.6389	72	['498']	['922']	['11278']	-7.0
