# https://zh.flightaware.com//live/flight/DAL356/history/20221108/1415Z/KATL/KSMF/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
221955	33.6465	84.3925	91	['175']	['323']	['533']	0
222011	33.6485	84.3774	74	['180']	['333']	['693']	500.0
222027	33.6538	84.3621	65	['196']	['364']	['800']	400.0
222043	33.6598	84.3465	67	['216']	['401']	['907']	447.0
222113	33.6724	84.3113	67	['238']	['441']	['1143']	581.0
222131	33.6851	84.2904	40	['248']	['459']	['1372']	745.0
222148	33.7023	84.2806	12	['259']	['480']	['1577']	729.0
222208	33.7273	84.2795	360	['265']	['491']	['1821']	819.0
222236	33.7624	84.2801	358	['264']	['489']	['2233']	810.0
222252	33.7806	84.2846	339	['270']	['501']	['2416']	721.0
222309	33.7997	84.3001	314	['282']	['523']	['2629']	693.0
222325	33.8101	84.3204	291	['296']	['549']	['2797']	509.0
222353	33.8137	84.3703	271	['327']	['605']	['3002']	371.0
222423	33.8141	84.4246	270	['355']	['658']	['3155']	335.0
222453	33.8145	84.4879	270	['378']	['700']	['3338']	444.0
222535	33.8153	84.5796	271	['398']	['737']	['3688']	553.0
222605	33.8158	84.6454	270	['402']	['745']	['4001']	739.0
222635	33.8160	84.7095	270	['394']	['729']	['4427']	709.0
222705	33.8165	84.7766	271	['399']	['739']	['4709']	518.0
222735	33.8173	84.8465	270	['408']	['756']	['4945']	488.0
222805	33.8175	84.9128	270	['413']	['764']	['5197']	488.0
222835	33.8178	84.9801	270	['418']	['774']	['5433']	457.0
222905	33.8181	85.0502	270	['425']	['787']	['5654']	434.0
222935	33.8183	85.1239	270	['431']	['798']	['5867']	442.0
223005	33.8186	85.1967	271	['437']	['810']	['6096']	411.0
223044	33.8226	85.2891	273	['446']	['826']	['6340']	378.0
223114	33.8260	85.3645	273	['452']	['837']	['6530']	404.0
223144	33.8293	85.4379	273	['453']	['838']	['6744']	450.0
223214	33.8328	85.5191	273	['454']	['840']	['6980']	433.0
223240	33.8354	85.5809	273	['456']	['845']	['7148']	372.0
223257	33.8390	85.6273	278	['458']	['848']	['7247']	343.0
223320	33.8489	85.6820	285	['460']	['851']	['7376']	323.0
223405	33.8805	85.7932	289	['468']	['867']	['7612']	293.0
223435	33.9013	85.8648	289	['472']	['874']	['7742']	259.0
223505	33.9230	85.9399	289	['478']	['885']	['7871']	267.0
223535	33.9442	86.0129	289	['482']	['893']	['8009']	297.0
223605	33.9667	86.0908	289	['484']	['896']	['8169']	343.0
223635	33.9883	86.1658	289	['483']	['895']	['8352']	396.0
223705	34.0109	86.2437	289	['479']	['887']	['8565']	381.0
223735	34.0323	86.3183	289	['478']	['885']	['8733']	299.0
223820	34.0639	86.4292	289	['479']	['887']	['8938']	274.0
223850	34.0862	86.5080	289	['480']	['888']	['9075']	251.0
223920	34.1077	86.5832	289	['482']	['893']	['9190']	236.0
223950	34.1293	86.6591	289	['482']	['893']	['9312']	259.0
224020	34.1512	86.7366	289	['482']	['893']	['9449']	274.0
224050	34.1719	86.8100	289	['480']	['888']	['9586']	282.0
