# https://zh.flightaware.com//live/flight/DAL356/history/20221114/2026Z/KSMF/KATL/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
041918	38.7125	121.5797	4	['166']	['307']	['160']	0
041934	38.7248	121.5724	44	['172']	['319']	['381']	586.0
041950	38.7281	121.5564	93	['188']	['348']	['472']	343.0
042006	38.7252	121.5382	102	['208']	['385']	['564']	386.0
042022	38.7224	121.5187	100	['226']	['418']	['678']	628.0
042029	38.7212	121.5095	99	['231']	['428']	['805']	820.0
042144	38.7073	121.3985	99	['264']	['489']	['1798']	794.0
042214	38.7013	121.3500	99	['277']	['513']	['2195']	815.0
042230	38.6985	121.3247	96	['280']	['518']	['2423']	904.0
042300	38.6947	121.2766	96	['279']	['517']	['2888']	777.0
042330	38.6907	121.2249	96	['300']	['555']	['3200']	503.0
042400	38.6865	121.1711	96	['331']	['613']	['3391']	465.0
042430	38.6814	121.1093	96	['352']	['652']	['3665']	549.0
042500	38.6762	121.0456	96	['368']	['681']	['3940']	762.0
042530	38.6712	120.9826	96	['362']	['671']	['4427']	876.0
042600	38.6659	120.9179	96	['364']	['674']	['4816']	853.0
042630	38.6605	120.8511	96	['359']	['665']	['5281']	823.0
042700	38.6555	120.7900	96	['362']	['671']	['5639']	617.0
042730	38.6500	120.7241	96	['373']	['690']	['5898']	525.0
042747	38.6480	120.6847	92	['380']	['703']	['6050']	535.0
042817	38.6466	120.6198	92	['387']	['716']	['6317']	541.0
042847	38.6452	120.5515	92	['393']	['727']	['6591']	518.0
042917	38.6437	120.4811	92	['402']	['745']	['6835']	427.0
042947	38.6420	120.4090	92	['414']	['766']	['7018']	267.0
043017	38.6404	120.3346	92	['433']	['801']	['7102']	236.0
043047	38.6386	120.2562	92	['445']	['824']	['7254']	381.0
043117	38.6368	120.1776	92	['449']	['832']	['7483']	434.0
043147	38.6347	120.0956	92	['454']	['840']	['7689']	389.0
043217	38.6326	120.0173	92	['459']	['850']	['7871']	335.0
043247	38.6305	119.9334	92	['467']	['864']	['8024']	274.0
043317	38.6283	119.8512	92	['476']	['882']	['8146']	244.0
043347	38.6259	119.7632	92	['485']	['898']	['8268']	251.0
043417	38.6234	119.6785	92	['491']	['909']	['8397']	312.0
043447	38.6207	119.5897	92	['493']	['912']	['8580']	351.0
043517	38.6182	119.5050	92	['494']	['914']	['8748']	427.0
043547	38.6155	119.4168	92	['489']	['906']	['9007']	465.0
043617	38.6126	119.3309	93	['489']	['906']	['9213']	345.0
043648	38.6096	119.2405	92	['491']	['909']	['9357']	277.0
043718	38.6070	119.1546	92	['494']	['914']	['9495']	267.0
043748	38.6040	119.0651	93	['498']	['922']	['9624']	328.0
043818	38.6009	118.9763	93	['495']	['917']	['9822']	427.0
043848	38.5979	118.8931	93	['485']	['898']	['10051']	229.0
043920	38.5943	118.8014	93	['480']	['888']	['10058']	7.0
043950	38.5909	118.7144	93	['480']	['888']	['10058']	0
044021	38.5878	118.6301	93	['480']	['888']	['10058']	0
044052	38.5844	118.5403	93	['479']	['887']	['10058']	0
044122	38.5811	118.4567	93	['478']	['885']	['10058']	0
044152	38.5778	118.3717	93	['477']	['884']	['10058']	0
044222	38.5744	118.2878	93	['476']	['882']	['10058']	0
044252	38.5708	118.2019	93	['476']	['882']	['10058']	0
044322	38.5665	118.1186	94	['475']	['880']	['10058']	0
044352	38.5620	118.0372	94	['474']	['877']	['10058']	0
044422	38.5575	117.9521	94	['474']	['877']	['10058']	0
044452	38.5529	117.8701	94	['474']	['877']	['10058']	0
044522	38.5481	117.7846	94	['477']	['884']	['10058']	0
044552	38.5436	117.7009	94	['478']	['885']	['10058']	0
044623	38.5391	117.6166	94	['478']	['885']	['10058']	0
044653	38.5342	117.5263	94	['479']	['887']	['10058']	0
044723	38.5296	117.4445	94	['480']	['888']	['10058']	0
044753	38.5248	117.3611	94	['482']	['893']	['10058']	0
044823	38.5199	117.2775	94	['483']	['895']	['10058']	0
044853	38.5133	117.1902	96	['485']	['898']	['10058']	0
044923	38.5056	117.1027	96	['485']	['898']	['10058']	0
044953	38.4984	117.0186	96	['487']	['901']	['10058']	0
045024	38.4910	116.9305	96	['487']	['901']	['10058']	0
045054	38.4836	116.8446	96	['489']	['906']	['10058']	0
045124	38.4765	116.7578	96	['490']	['908']	['10058']	0
