# https://zh.flightaware.com//live/flight/DAL556/history/20221113/1440Z/KORD/KLGA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
094116	41.9551	87.8971	220	['154']	['285']	['229']	0
094132	41.9457	87.9042	193	['162']	['299']	['465']	743.0
094148	41.9332	87.8998	145	['182']	['336']	['625']	557.0
094204	41.9228	87.8874	137	['200']	['370']	['762']	557.0
094220	41.9112	87.8731	138	['215']	['398']	['922']	623.0
094237	41.8979	87.8570	138	['234']	['433']	['1105']	642.0
094307	41.8709	87.8240	138	['266']	['492']	['1425']	728.0
094331	41.8505	87.7989	136	['275']	['509']	['1760']	904.0
094351	41.8366	87.7684	109	['276']	['512']	['2088']	840.0
094408	41.8331	87.7410	92	['283']	['525']	['2278']	748.0
094424	41.8355	87.7118	79	['287']	['531']	['2499']	825.0
094449	41.8429	87.6672	77	['297']	['550']	['2842']	817.0
094534	41.8570	87.5852	77	['311']	['576']	['3452']	768.0
094604	41.8665	87.5299	77	['325']	['602']	['3802']	747.0
094634	41.8770	87.4689	77	['333']	['616']	['4199']	800.0
094704	41.8876	87.4069	77	['339']	['628']	['4602']	777.0
094734	41.8980	87.3455	77	['345']	['639']	['4976']	716.0
094804	41.9085	87.2834	77	['350']	['649']	['5319']	640.0
094834	41.9193	87.2197	77	['358']	['663']	['5616']	610.0
094904	41.9303	87.1544	77	['364']	['674']	['5928']	632.0
094934	41.9417	87.0858	79	['371']	['687']	['6248']	610.0
094955	41.9456	87.0365	88	['385']	['713']	['6447']	583.0
095025	41.9470	86.9657	89	['391']	['724']	['6744']	572.0
095055	41.9481	86.8924	89	['395']	['732']	['7018']	518.0
095125	41.9492	86.8190	89	['401']	['742']	['7262']	419.0
095155	41.9504	86.7411	89	['413']	['764']	['7437']	267.0
095225	41.9514	86.6662	89	['428']	['793']	['7529']	175.0
095255	41.9525	86.5815	89	['444']	['822']	['7612']	91.0
095325	41.9534	86.5012	89	['465']	['861']	['7620']	8.0
095355	41.9544	86.4108	89	['479']	['887']	['7620']	-8.0
095425	41.9553	86.3216	89	['479']	['887']	['7612']	0
095455	41.9558	86.2325	92	['481']	['892']	['7620']	6.0
095540	41.9454	86.0978	97	['487']	['901']	['7620']	0
095610	41.9370	86.0076	97	['488']	['904']	['7620']	0
095640	41.9286	85.9176	97	['488']	['904']	['7620']	0
095710	41.9200	85.8265	97	['488']	['904']	['7620']	0
095740	41.9114	85.7361	97	['486']	['900']	['7620']	-8.0
