# https://zh.flightaware.com//live/flight/DAL556/history/20221114/1110Z/KLGA/KORD/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
192326	40.7741	73.8801	32	['93']	['172']	[]	0
192342	40.7820	73.8734	33	['140']	['259']	[]	0
192358	40.7913	73.8651	35	['142']	['262']	['213']	757.0
192414	40.8004	73.8568	34	['153']	['283']	['389']	557.0
192430	40.8100	73.8483	34	['174']	['322']	['511']	472.0
192446	40.8217	73.8376	35	['195']	['360']	['640']	586.0
192502	40.8337	73.8271	28	['207']	['383']	['823']	693.0
192519	40.8502	73.8225	356	['212']	['393']	['1021']	692.0
192537	40.8676	73.8263	350	['229']	['425']	['1227']	648.0
192607	40.8986	73.8334	350	['248']	['459']	['1539']	759.0
192630	40.9274	73.8397	351	['259']	['480']	['1897']	895.0
192653	40.9547	73.8447	350	['263']	['488']	['2225']	926.0
192711	40.9735	73.8561	318	['250']	['463']	['2530']	927.0
192730	40.9861	73.8815	299	['251']	['465']	['2797']	893.0
192754	40.9989	73.9127	296	['252']	['467']	['3170']	769.0
192811	41.0038	73.9288	285	['266']	['492']	['3322']	495.0
192830	41.0134	73.9673	292	['283']	['525']	['3467']	429.0
192900	41.0290	74.0179	293	['307']	['568']	['3673']	543.0
192918	41.0396	74.0505	293	['310']	['575']	['3901']	695.0
192948	41.0561	74.1045	292	['318']	['589']	['4229']	602.0
193018	41.0728	74.1566	293	['327']	['605']	['4503']	556.0
193048	41.0904	74.2140	292	['328']	['607']	['4785']	351.0
193118	41.1068	74.2673	292	['330']	['612']	['4854']	396.0
193148	41.1245	74.3243	292	['334']	['618']	['5182']	655.0
193218	41.1424	74.3821	292	['336']	['623']	['5509']	617.0
193248	41.1603	74.4402	292	['339']	['628']	['5799']	549.0
193318	41.1787	74.4999	292	['342']	['634']	['6058']	488.0
193348	41.1961	74.5565	292	['345']	['639']	['6287']	480.0
193418	41.2139	74.6147	292	['347']	['642']	['6538']	419.0
193448	41.2325	74.6753	292	['356']	['660']	['6706']	472.0
193518	41.2514	74.7371	292	['350']	['649']	['7010']	556.0
193548	41.2692	74.7956	292	['347']	['642']	['7262']	515.0
193606	41.2806	74.8329	292	['345']	['639']	['7422']	515.0
