# https://zh.flightaware.com//live/flight/DAL563/history/20221106/2109Z/KJFK/KLAX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
051842	40.6315	73.7785	120	['176']	['327']	['130']	0
051858	40.6224	73.7681	158	['168']	['311']	['320']	671.0
051914	40.6095	73.7631	167	['175']	['323']	['488']	543.0
051930	40.5953	73.7595	170	['196']	['364']	['610']	500.0
051946	40.5801	73.7560	170	['220']	['407']	['754']	661.0
052006	40.5605	73.7507	169	['237']	['439']	['1006']	762.0
052022	40.5416	73.7513	196	['245']	['454']	['1212']	967.0
052049	40.5154	73.7713	215	['243']	['451']	['1699']	1.0
052119	40.4884	73.7971	216	['254']	['470']	['2164']	924.0
052137	40.4714	73.8136	220	['258']	['478']	['2438']	993.0
052154	40.4578	73.8328	233	['257']	['476']	['2743']	941.0
052212	40.4471	73.8583	246	['265']	['491']	['2987']	834.0
052228	40.4382	73.8815	243	['271']	['502']	['3216']	567.0
052258	40.4200	73.9299	244	['310']	['575']	['3421']	480.0
052348	40.3859	74.0202	244	['354']	['655']	['3856']	595.0
052411	40.3695	74.0634	243	['362']	['671']	['4145']	815.0
052506	40.3269	74.1737	243	['373']	['690']	['4915']	672.0
052536	40.3033	74.2345	243	['381']	['705']	['5098']	404.0
052606	40.2796	74.2959	243	['379']	['702']	['5319']	572.0
052636	40.2560	74.3568	243	['387']	['716']	['5669']	507.0
052701	40.2360	74.4085	243	['392']	['726']	['5784']	149.0
052725	40.2154	74.4616	245	['391']	['724']	['5791']	10.0
052745	40.2040	74.5043	255	['394']	['729']	['5791']	30.0
052810	40.1970	74.5669	264	['400']	['740']	['5814']	376.0
052841	40.1911	74.6376	264	['402']	['745']	['6142']	652.0
052911	40.1852	74.7108	264	['406']	['752']	['6477']	648.0
052941	40.1795	74.7846	264	['412']	['763']	['6789']	602.0
053011	40.1739	74.8562	264	['416']	['771']	['7079']	564.0
053041	40.1675	74.9359	264	['423']	['784']	['7353']	518.0
053111	40.1611	75.0132	264	['431']	['798']	['7597']	503.0
053141	40.1546	75.0926	264	['436']	['808']	['7856']	503.0
053201	40.1506	75.1399	264	['437']	['810']	['8016']	559.0
053235	40.1429	75.2330	264	['437']	['810']	['8359']	498.0
053257	40.1382	75.2884	264	['443']	['821']	['8481']	378.0
053327	40.1315	75.3671	264	['447']	['827']	['8687']	522.0
053346	40.1269	75.4208	264	['443']	['821']	['8908']	678.0
053427	40.1177	75.5281	264	['434']	['803']	['9365']	625.0
053457	40.1113	75.6022	264	['429']	['795']	['9647']	564.0
053527	40.1044	75.6804	263	['424']	['785']	['9929']	525.0
053611	40.0989	75.7903	267	['419']	['776']	['10295']	457.0
053641	40.0959	75.8653	267	['419']	['776']	['10493']	351.0
053711	40.0922	75.9415	266	['419']	['776']	['10645']	335.0
053741	40.0883	76.0167	266	['418']	['774']	['10828']	338.0
053757	40.0860	76.0590	266	['418']	['774']	['10904']	152.0
053838	40.0804	76.1632	266	['422']	['782']	['10973']	56.0
053918	40.0751	76.2602	266	['426']	['789']	['10980']	0
053948	40.0706	76.3409	266	['427']	['790']	['10973']	-8.0
054018	40.0665	76.4171	266	['425']	['787']	['10973']	-8.0
054048	40.0620	76.4971	266	['422']	['782']	['10965']	8.0
054118	40.0581	76.5673	266	['421']	['779']	['10980']	8.0
054148	40.0535	76.6468	266	['420']	['777']	['10973']	-9.0
054212	40.0502	76.7057	267	['420']	['777']	['10973']	0
054242	40.0459	76.7801	266	['419']	['776']	['10973']	0
054312	40.0415	76.8551	266	['419']	['776']	['10973']	0
054340	40.0365	76.9297	262	['420']	['777']	['10973']	7.0
054420	40.0210	77.0271	258	['421']	['779']	['10980']	6.0
054450	40.0095	77.1005	259	['421']	['779']	['10980']	-8.0
054520	39.9982	77.1774	260	['421']	['779']	['10973']	-8.0
054547	39.9887	77.2449	260	['422']	['782']	['10973']	8.0
054617	39.9788	77.3159	260	['421']	['779']	['10980']	0
054647	39.9668	77.3948	259	['421']	['779']	['10973']	-8.0
054717	39.9554	77.4669	258	['420']	['777']	['10973']	0
054747	39.9436	77.5406	258	['420']	['777']	['10973']	0
054817	39.9316	77.6159	258	['420']	['777']	['10973']	0
054847	39.9201	77.6880	258	['421']	['779']	['10973']	8.0
054917	39.9084	77.7613	258	['422']	['782']	['10980']	0
054947	39.8958	77.8394	258	['423']	['784']	['10973']	0
055017	39.8835	77.9153	258	['423']	['784']	['10980']	0
055047	39.8719	77.9866	258	['422']	['782']	['10973']	-8.0
055117	39.8601	78.0591	258	['421']	['779']	['10973']	0
055148	39.8469	78.1391	258	['419']	['776']	['10973']	0
055218	39.8352	78.2107	258	['418']	['774']	['10973']	8.0
055248	39.8228	78.2849	258	['418']	['774']	['10980']	8.0
055319	39.8106	78.3588	258	['417']	['772']	['10980']	-8.0
055349	39.7976	78.4363	258	['416']	['771']	['10973']	-9.0
055411	39.7890	78.4887	260	['415']	['769']	['10973']	0
055429	39.7866	78.5312	269	['409']	['758']	['10973']	9.0
055459	39.7856	78.6046	269	['408']	['756']	['10980']	8.0
055529	39.7842	78.6776	269	['409']	['758']	['10980']	-8.0
055559	39.7831	78.7492	269	['410']	['760']	['10973']	-8.0
055629	39.7819	78.8245	269	['410']	['760']	['10973']	0
055659	39.7808	78.9021	269	['410']	['760']	['10973']	0
055729	39.7799	78.9735	269	['409']	['758']	['10973']	0
055759	39.7792	79.0442	269	['409']	['758']	['10973']	0
055829	39.7787	79.1183	269	['408']	['756']	['10973']	0
055859	39.7780	79.1908	269	['409']	['758']	['10973']	8.0
055929	39.7775	79.2656	269	['409']	['758']	['10980']	0
055959	39.7770	79.3406	270	['408']	['756']	['10973']	-8.0
060029	39.7767	79.4136	270	['408']	['756']	['10973']	8.0
060059	39.7765	79.4861	270	['408']	['756']	['10980']	8.0
060129	39.7761	79.5596	268	['408']	['756']	['10980']	-9.0
060148	39.7723	79.6061	261	['411']	['761']	['10973']	-9.0
060219	39.7596	79.6782	253	['414']	['766']	['10973']	0
060240	39.7466	79.7293	252	['414']	['766']	['10973']	0
060310	39.7291	79.8003	252	['415']	['769']	['10973']	0
060340	39.7111	79.8717	252	['415']	['769']	['10973']	8.0
060410	39.6930	79.9418	252	['416']	['771']	['10980']	8.0
060440	39.6746	80.0134	252	['416']	['771']	['10980']	-8.0
060511	39.6551	80.0882	251	['415']	['769']	['10973']	0
060547	39.6343	80.1677	251	['415']	['769']	['10980']	0
060617	39.6151	80.2415	251	['415']	['769']	['10973']	0
060647	39.5972	80.3096	251	['415']	['769']	['10980']	0
060717	39.5783	80.3813	251	['415']	['769']	['10973']	-8.0
060747	39.5600	80.4511	251	['415']	['769']	['10973']	0
060817	39.5412	80.5224	251	['415']	['769']	['10973']	8.0
060847	39.5221	80.5943	251	['415']	['769']	['10980']	0
060917	39.5041	80.6633	252	['415']	['769']	['10973']	-8.0
060947	39.4861	80.7333	252	['414']	['766']	['10973']	8.0
061017	39.4680	80.8033	252	['413']	['764']	['10980']	0
061047	39.4492	80.8756	251	['412']	['763']	['10973']	-8.0
061117	39.4311	80.9446	251	['412']	['763']	['10973']	8.0
061147	39.4134	81.0121	251	['411']	['761']	['10980']	0
061217	39.3947	81.0834	251	['412']	['763']	['10973']	-8.0
061248	39.3757	81.1554	251	['412']	['763']	['10973']	7.0
061319	39.3563	81.2286	251	['412']	['763']	['10980']	8.0
061349	39.3377	81.2988	251	['413']	['764']	['10980']	0
061419	39.3194	81.3678	251	['414']	['766']	['10980']	-8.0
061450	39.2999	81.4410	251	['416']	['771']	['10973']	0
061520	39.2818	81.5087	251	['415']	['769']	['10980']	8.0
061550	39.2627	81.5800	251	['415']	['769']	['10980']	-8.0
061617	39.2473	81.6373	252	['414']	['766']	['10973']	-8.0
061648	39.2278	81.7098	252	['414']	['766']	['10973']	8.0
061718	39.2074	81.7853	252	['414']	['766']	['10980']	0
061748	39.1888	81.8540	251	['415']	['769']	['10973']	0
061818	39.1694	81.9252	251	['415']	['769']	['10980']	0
061848	39.1505	81.9946	251	['416']	['771']	['10973']	-8.0
061918	39.1318	82.0629	251	['417']	['772']	['10973']	0
061948	39.1125	82.1336	251	['417']	['772']	['10973']	0
062018	39.0926	82.2060	251	['417']	['772']	['10973']	8.0
062048	39.0735	82.2752	250	['418']	['774']	['10980']	8.0
062118	39.0546	82.3438	251	['419']	['776']	['10980']	0
062149	39.0342	82.4175	250	['420']	['777']	['10980']	-7.0
062220	39.0132	82.4929	250	['421']	['779']	['10973']	-7.0
062251	38.9945	82.5602	250	['421']	['779']	['10973']	0
062321	38.9741	82.6332	250	['421']	['779']	['10973']	0
062351	38.9541	82.7047	250	['420']	['777']	['10973']	8.0
062421	38.9346	82.7740	250	['420']	['777']	['10980']	0
062452	38.9148	82.8444	250	['419']	['776']	['10973']	-8.0
062522	38.8938	82.9186	250	['418']	['774']	['10973']	0
062552	38.8742	82.9880	250	['417']	['772']	['10973']	8.0
062622	38.8553	83.0546	250	['416']	['771']	['10980']	0
062653	38.8346	83.1272	250	['416']	['771']	['10973']	-8.0
062723	38.8145	83.1976	250	['417']	['772']	['10973']	0
062753	38.7954	83.2644	250	['417']	['772']	['10973']	8.0
062824	38.7746	83.3371	250	['419']	['776']	['10980']	0
062854	38.7545	83.4069	250	['419']	['776']	['10973']	0
062926	38.7329	83.4816	250	['420']	['777']	['10980']	0
062956	38.7123	83.5528	250	['420']	['777']	['10973']	-8.0
063026	38.6922	83.6222	250	['420']	['777']	['10973']	0
063057	38.6712	83.6945	250	['419']	['776']	['10973']	0
063128	38.6504	83.7658	250	['418']	['774']	['10973']	0
063158	38.6300	83.8357	249	['419']	['776']	['10973']	8.0
063228	38.6104	83.9026	249	['419']	['776']	['10980']	0
063258	38.5899	83.9723	249	['420']	['777']	['10973']	-8.0
063328	38.5695	84.0413	249	['421']	['779']	['10973']	0
063358	38.5481	84.1140	249	['421']	['779']	['10973']	0
063428	38.5286	84.1797	249	['421']	['779']	['10973']	0
063458	38.5070	84.2523	249	['421']	['779']	['10973']	8.0
063528	38.4864	84.3217	249	['420']	['777']	['10980']	0
063558	38.4660	84.3903	249	['421']	['779']	['10973']	0
063628	38.4452	84.4597	249	['421']	['779']	['10980']	0
063658	38.4242	84.5295	249	['422']	['782']	['10973']	0
063728	38.4029	84.6004	249	['421']	['779']	['10980']	0
063758	38.3824	84.6686	249	['421']	['779']	['10973']	-8.0
063828	38.3610	84.7394	249	['422']	['782']	['10973']	0
063859	38.3393	84.8109	249	['422']	['782']	['10973']	0
063929	38.3182	84.8806	249	['422']	['782']	['10973']	7.0
064002	38.2957	84.9540	249	['423']	['784']	['10980']	7.0
064032	38.2744	85.0239	250	['422']	['782']	['10980']	-8.0
064102	38.2522	85.0966	249	['423']	['784']	['10973']	-6.0
064145	38.2228	85.1923	249	['422']	['782']	['10973']	6.0
064215	38.2014	85.2616	249	['422']	['782']	['10980']	0
064245	38.1796	85.3321	249	['423']	['784']	['10973']	-8.0
064315	38.1586	85.4000	249	['423']	['784']	['10973']	0
