# https://zh.flightaware.com//live/flight/HAL125/history/20221119/1730Z/PHOG/PHNL/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
012023	20.9071	156.4232	33	['154']	['285']	['91']	0
012042	20.9206	156.4187	3	['165']	['306']	['351']	732.0
012058	20.9323	156.4182	2	['175']	['323']	['518']	572.0
012114	20.9471	156.4175	3	['196']	['364']	['655']	515.0
012130	20.9619	156.4164	5	['216']	['401']	['792']	643.0
012146	20.9788	156.4183	340	['235']	['435']	['998']	844.0
012209	21.0002	156.4324	326	['246']	['455']	['1341']	1.0
012228	21.0189	156.4466	320	['244']	['452']	['1707']	1.0
012254	21.0385	156.4702	310	['250']	['463']	['2134']	980.0
012324	21.0624	156.4982	315	['253']	['468']	['2621']	933.0
012343	21.0774	156.5145	310	['256']	['475']	['2896']	903.0
012406	21.0911	156.5385	293	['258']	['478']	['3254']	935.0
012427	21.0966	156.5678	267	['269']	['499']	['3581']	851.0
012449	21.0891	156.5948	251	['279']	['517']	['3863']	569.0
012520	21.0821	156.6391	264	['310']	['575']	['4084']	367.0
012550	21.0768	156.6875	262	['347']	['642']	['4237']	134.0
012625	21.0666	156.7511	259	['391']	['724']	['4229']	-14.0
012655	21.0560	156.8096	259	['416']	['771']	['4221']	0
012725	21.0450	156.8699	259	['418']	['774']	['4229']	8.0
012755	21.0343	156.9295	259	['417']	['772']	['4229']	-6.0
012841	21.0177	157.0217	259	['417']	['772']	['4221']	-6.0
012911	21.0062	157.0847	259	['417']	['772']	['4221']	0
012943	20.9940	157.1514	259	['417']	['772']	['4221']	7.0
013013	20.9837	157.2079	259	['417']	['772']	['4229']	8.0
013043	20.9725	157.2691	259	['417']	['772']	['4229']	0
013115	20.9600	157.3369	259	['417']	['772']	['4229']	-7.0
013145	20.9490	157.3972	259	['418']	['774']	['4221']	-8.0
013215	20.9385	157.4566	263	['416']	['771']	['4221']	-46.0
013235	20.9385	157.4969	277	['398']	['737']	['4183']	-294.0
013257	20.9482	157.5392	289	['376']	['697']	['4016']	-414.0
013317	20.9537	157.5750	271	['360']	['666']	['3894']	-323.0
013348	20.9529	157.6283	269	['335']	['621']	['3741']	-262.0
013418	20.9519	157.6752	269	['312']	['578']	['3627']	-305.0
013448	20.9508	157.7198	269	['305']	['565']	['3437']	-503.0
013518	20.9497	157.7651	268	['303']	['562']	['3124']	-541.0
013548	20.9487	157.8091	269	['293']	['542']	['2896']	-320.0
013618	20.9478	157.8506	269	['269']	['499']	['2804']	-198.0
013648	20.9470	157.8884	269	['251']	['465']	['2697']	-259.0
013718	20.9460	157.9265	268	['247']	['457']	['2545']	-305.0
013748	20.9449	157.9626	268	['245']	['454']	['2393']	-305.0
013818	20.9438	157.9977	268	['244']	['452']	['2240']	-308.0
013837	20.9434	158.0218	273	['250']	['463']	['2141']	-301.0
013859	20.9513	158.0460	297	['246']	['455']	['2035']	-299.0
013929	20.9667	158.0784	297	['248']	['459']	['1882']	-305.0
013959	20.9830	158.1126	297	['244']	['452']	['1730']	-248.0
014015	20.9908	158.1292	297	['247']	['457']	['1692']	-156.0
014040	21.0042	158.1578	299	['246']	['455']	['1623']	-163.0
014057	21.0165	158.1712	328	['236']	['438']	['1577']	-152.0
014116	21.0364	158.1743	9	['222']	['410']	['1532']	-144.0
014132	21.0528	158.1697	20	['219']	['406']	['1494']	-148.0
014150	21.0678	158.1612	35	['212']	['393']	['1448']	-148.0
014209	21.0808	158.1497	39	['198']	['367']	['1402']	-158.0
014239	21.1026	158.1317	38	['180']	['333']	['1318']	-160.0
014309	21.1219	158.1156	38	['174']	['322']	['1242']	-168.0
014339	21.1410	158.0995	38	['175']	['323']	['1151']	-183.0
014409	21.1597	158.0838	39	['172']	['319']	['1059']	-183.0
014439	21.1773	158.0687	38	['170']	['315']	['968']	-206.0
014509	21.1966	158.0527	36	['171']	['317']	['853']	-241.0
014534	21.2127	158.0412	33	['165']	['306']	['747']	-224.0
014604	21.2330	158.0272	33	['165']	['306']	['648']	-175.0
014621	21.2433	158.0194	40	['163']	['303']	['610']	-177.0
014648	21.2573	158.0048	47	['164']	['304']	['518']	-249.0
014718	21.2729	157.9850	53	['170']	['315']	['373']	-134.0
014722	21.2747	157.9823	54	['170']	['315']	['443']	-176.0
014820	21.2977	157.9500	53	['137']	['254']	['191']	-260.0
