# https://zh.flightaware.com//live/flight/HAL576/history/20221104/0705Z/PHNL/PHOG/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
150341	21.3061	157.9129	102	['162']	['299']	['267']	0
150446	21.2669	157.8702	120	['223']	['414']	['815']	574.0
150507	21.2560	157.8501	121	['243']	['451']	['1090']	870.0
150537	21.2386	157.8182	119	['250']	['463']	['1554']	999.0
150556	21.2281	157.7980	119	['251']	['465']	['1905']	989.0
150626	21.2093	157.7634	120	['263']	['488']	['2362']	884.0
150656	21.1895	157.7284	121	['275']	['509']	['2789']	738.0
150741	21.1604	157.6751	120	['308']	['570']	['3284']	604.0
150811	21.1380	157.6326	119	['336']	['623']	['3543']	472.0
150841	21.1140	157.5875	119	['364']	['674']	['3757']	411.0
150900	21.0989	157.5568	115	['380']	['703']	['3879']	185.0
150933	21.0742	157.5001	116	['386']	['715']	['3917']	35.0
151006	21.0479	157.4425	116	['387']	['716']	['3917']	0
151036	21.0245	157.3908	116	['387']	['716']	['3917']	0
151108	20.9986	157.3336	116	['389']	['721']	['3917']	0
151138	20.9750	157.2816	116	['388']	['719']	['3917']	0
151208	20.9518	157.2301	116	['388']	['719']	['3917']	0
151240	20.9274	157.1768	116	['386']	['715']	['3917']	0
151310	20.9041	157.1255	116	['386']	['715']	['3917']	0
151340	20.8802	157.0733	116	['386']	['715']	['3917']	-15.0
151410	20.8578	157.0239	116	['354']	['655']	['3901']	-210.0
151441	20.8360	156.9754	115	['329']	['610']	['3703']	-352.0
151511	20.8169	156.9331	116	['306']	['566']	['3543']	-381.0
151541	20.7987	156.8935	116	['293']	['542']	['3322']	-472.0
151611	20.7817	156.8566	117	['285']	['528']	['3071']	-533.0
151641	20.7641	156.8188	116	['282']	['523']	['2789']	-533.0
151711	20.7471	156.7816	116	['273']	['505']	['2537']	-503.0
151741	20.7304	156.7452	116	['273']	['505']	['2286']	-450.0
151811	20.7139	156.7090	116	['268']	['496']	['2088']	-373.0
151841	20.6989	156.6759	116	['255']	['472']	['1913']	-358.0
151911	20.6837	156.6427	117	['243']	['451']	['1730']	-381.0
151929	20.6755	156.6232	106	['239']	['443']	['1608']	-376.0
151945	20.6759	156.6046	72	['236']	['438']	['1516']	-300.0
152001	20.6862	156.5879	42	['235']	['435']	['1448']	-318.0
152031	20.7116	156.5685	36	['238']	['441']	['1273']	-442.0
152101	20.7405	156.5468	35	['241']	['446']	['1006']	-434.0
152131	20.7666	156.5275	35	['231']	['428']	['838']	-343.0
152201	20.7923	156.5085	35	['216']	['401']	['663']	-345.0
152232	20.8158	156.4911	35	['190']	['352']	['488']	-295.0
152303	20.8355	156.4762	35	['149']	['275']	['358']	-142.0
152308	20.8390	156.4736	35	['147']	['272']	['402']	-229.0
152409	20.8726	156.4488	36	['147']	['272']	['107']	-284.0
152425	20.8819	156.4418	35	['147']	['272']	['38']	-243.0
152441	20.8906	156.4354	35	['141']	['261']	[]	-229.0
