# https://zh.flightaware.com//live/flight/JBU1355/history/20221123/2110Z/KBOS/KDCA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
054024	42.3673	71.0085	316	['147']	['272']	[]	0
054040	42.3751	71.0186	316	['141']	['261']	['191']	771.0
054056	42.3828	71.0292	312	['150']	['278']	['373']	600.0
054112	42.3891	71.0411	300	['164']	['304']	['511']	486.0
054128	42.3958	71.0574	299	['185']	['343']	['632']	543.0
054144	42.4029	71.0746	299	['197']	['365']	['800']	643.0
054200	42.4079	71.0918	279	['213']	['394']	['975']	659.0
054218	42.4030	71.1178	239	['248']	['459']	['1173']	875.0
054246	42.3847	71.1524	235	['257']	['476']	['1646']	1.0
054316	42.3633	71.1933	235	['265']	['491']	['2179']	1.0
054346	42.3426	71.2327	235	['267']	['494']	['2705']	1.0
054419	42.3182	71.2790	235	['278']	['515']	['3261']	730.0
054438	42.3038	71.3065	235	['303']	['562']	['3338']	480.0
054459	42.2882	71.3390	242	['308']	['570']	['3581']	813.0
054523	42.2750	71.3827	252	['307']	['568']	['3947']	906.0
054553	42.2606	71.4405	252	['312']	['578']	['4397']	838.0
054623	42.2470	71.4950	251	['320']	['592']	['4785']	770.0
054653	42.2326	71.5526	251	['326']	['604']	['5166']	732.0
054723	42.2188	71.6076	251	['331']	['613']	['5517']	724.0
054753	42.2034	71.6689	251	['336']	['623']	['5890']	709.0
054823	42.1880	71.7305	251	['341']	['631']	['6226']	572.0
054853	42.1732	71.7896	251	['353']	['653']	['6462']	427.0
054923	42.1570	71.8535	251	['369']	['684']	['6652']	472.0
054953	42.1410	71.9165	251	['373']	['690']	['6934']	632.0
055023	42.1240	71.9829	251	['374']	['692']	['7285']	632.0
055053	42.1071	72.0490	251	['376']	['697']	['7567']	587.0
055123	42.0898	72.1167	251	['375']	['695']	['7871']	358.0
055153	42.0725	72.1842	251	['391']	['724']	['7925']	52.0
055224	42.0541	72.2554	251	['387']	['716']	['7925']	0
055249	42.0396	72.3118	251	['387']	['716']	['7925']	0
055319	42.0222	72.3787	251	['387']	['716']	['7925']	0
055349	42.0048	72.4460	251	['387']	['716']	['7925']	0
055419	41.9866	72.5157	251	['388']	['719']	['7925']	0
055449	41.9686	72.5847	251	['386']	['715']	['7925']	0
055517	41.9517	72.6486	248	['387']	['716']	['7925']	0
055539	41.9331	72.6944	236	['400']	['740']	['7925']	0
