# https://zh.flightaware.com//live/flight/JBU1555/history/20221101/1516Z/KRIC/KDCA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
001024	37.5104	77.3184	329	['159']	['295']	['53']	0
001040	37.5209	77.3246	346	['159']	['295']	['328']	886.0
001056	37.5321	77.3268	353	['172']	['319']	['526']	614.0
001112	37.5463	77.3292	352	['190']	['352']	['655']	515.0
001128	37.5609	77.3318	352	['207']	['383']	['800']	543.0
001144	37.5762	77.3347	351	['225']	['417']	['945']	497.0
001202	37.5979	77.3344	11	['257']	['476']	['1082']	673.0
001220	37.6186	77.3291	12	['268']	['496']	['1349']	972.0
001250	37.6559	77.3195	11	['280']	['518']	['1859']	975.0
001320	37.6959	77.3094	11	['289']	['536']	['2324']	533.0
001350	37.7335	77.2997	11	['288']	['533']	['2393']	69.0
001420	37.7745	77.2893	12	['287']	['531']	['2393']	0
001450	37.8137	77.2793	11	['288']	['533']	['2393']	0
001520	37.8520	77.2695	12	['287']	['531']	['2393']	0
001550	37.8919	77.2593	12	['287']	['531']	['2393']	0
001620	37.9289	77.2498	11	['288']	['533']	['2393']	0
001650	37.9689	77.2396	11	['288']	['533']	['2393']	0
001720	38.0084	77.2295	11	['289']	['536']	['2393']	0
001750	38.0472	77.2195	12	['289']	['536']	['2393']	0
001820	38.0868	77.2093	12	['289']	['536']	['2393']	0
001850	38.1265	77.1991	12	['289']	['536']	['2393']	0
001920	38.1648	77.1892	11	['288']	['533']	['2393']	0
001950	38.2055	77.1787	11	['288']	['533']	['2393']	-76.0
002020	38.2414	77.1694	12	['286']	['529']	['2316']	-236.0
002050	38.2816	77.1590	12	['284']	['526']	['2156']	-229.0
002120	38.3204	77.1499	9	['282']	['523']	['2088']	-69.0
002150	38.3577	77.1423	10	['255']	['472']	['2088']	0
002208	38.3779	77.1378	12	['237']	['439']	['2088']	0
002225	38.3933	77.1249	55	['216']	['401']	['2088']	-13.0
002244	38.3987	77.1034	78	['203']	['377']	['2080']	0
002302	38.4019	77.0832	79	['199']	['369']	['2088']	9.0
002332	38.4070	77.0502	79	['201']	['372']	['2088']	0
002402	38.4125	77.0141	79	['200']	['370']	['2088']	0
002432	38.4178	76.9791	79	['203']	['377']	['2088']	0
002502	38.4231	76.9440	79	['202']	['373']	['2088']	0
002518	38.4265	76.9238	72	['203']	['377']	['2088']	0
002536	38.4371	76.9085	31	['200']	['370']	['2088']	0
002554	38.4521	76.9077	343	['189']	['349']	['2088']	0
002610	38.4614	76.9186	298	['179']	['332']	['2088']	-14.0
002626	38.4634	76.9344	272	['177']	['328']	['2080']	-69.0
002650	38.4637	76.9608	271	['174']	['322']	['2042']	-244.0
002709	38.4641	76.9807	277	['177']	['328']	['1905']	-392.0
002725	38.4697	76.9955	319	['179']	['332']	['1814']	-229.0
002741	38.4808	77.0010	356	['185']	['343']	['1783']	-89.0
002806	38.5027	77.0016	358	['174']	['322']	['1753']	-156.0
002828	38.5192	77.0027	356	['167']	['309']	['1661']	-281.0
002858	38.5427	77.0050	355	['162']	['299']	['1509']	-298.0
002914	38.5543	77.0063	355	['158']	['293']	['1433']	-300.0
002930	38.5660	77.0075	355	['157']	['291']	['1349']	-329.0
002946	38.5773	77.0088	355	['157']	['291']	['1257']	-329.0
003002	38.5898	77.0102	355	['158']	['293']	['1173']	-157.0
003018	38.6004	77.0114	355	['159']	['295']	['1173']	0
003034	38.6124	77.0128	355	['159']	['295']	['1173']	0
003050	38.6233	77.0139	355	['159']	['295']	['1173']	-43.0
003106	38.6354	77.0155	353	['157']	['291']	['1151']	-157.0
003122	38.6473	77.0173	354	['157']	['291']	['1090']	-244.0
003149	38.6673	77.0194	356	['158']	['293']	['975']	-249.0
003219	38.6888	77.0214	356	['159']	['295']	['853']	-251.0
003249	38.7113	77.0237	356	['161']	['298']	['724']	-267.0
003319	38.7340	77.0259	356	['159']	['295']	['587']	-259.0
003349	38.7548	77.0281	356	['155']	['286']	['465']	-236.0
003419	38.7749	77.0300	355	['135']	['249']	['351']	-138.0
003427	38.7797	77.0305	355	['133']	['246']	['378']	48.0
003434	38.7837	77.0309	356	['132']	['245']	['362']	-251.0
003539	38.8242	77.0350	355	['135']	['249']	['76']	-251.0
003555	38.8344	77.0360	356	['134']	['248']	['23']	-214.0
003611	38.8436	77.0370	356	['136']	['253']	[]	-229.0
