name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KBOS	42.3629444	-71.0063889	21°	NA	642	0	Origin Airport
NHANT	42.4397778	-70.9666667	76°	9.0	650	9	Waypoint
HURBE	42.46075	-70.8519444	116°	10.0	659	17	Waypoint
ORRRR	42.4245833	-70.7537222	172°	9.0	663	22	Waypoint
CHWDH	42.3043056	-70.7296944	233°	14.0	657	24	Waypoint
STEEM	42.2583333	-70.8113889	238°	8.0	649	20	Waypoint
DEDHM	42.1956389	-70.9491667	260°	13.0	635	19	Waypoint
PATSS	42.0890833	-71.7108333	259°	64.0	577	66	Reporting Point
NELIE	41.9410111	-72.6885778	226°	83.0	504	147	Reporting Point
BIZEX	41.2841278	-73.5806111	231°	104.0	400	245	WAY-PT
FARLE	41.1526278	-73.7968111	232°	23.0	377	268	Reporting Point
JERSY	40.7913861	-74.3994444	231°	65.0	312	332	WAY-PT
SBJ	40.5830442	-74.7417914	227°	37.0	275	369	VOR-DME (NAVAID)
BIGGY	40.4196167	-74.9727028	227°	27.0	249	396	Reporting Point
COPES	40.1307139	-75.3767694	227°	47.0	202	442	Reporting Point
MXE	39.91805	-75.6708214	302°	34.0	167	476	VOR-TAC (NAVAID)
MXE	39.9180556	-75.6708333	236°	0.0	167	476	VOR-TAC (NAVAID)
NUGGY	39.7429444	-76.0061667	236°	35.0	133	511	Reporting Point
TROYZ	39.684	-76.11825	236°	12.0	122	523	Reporting Point
BELAY	39.5876944	-76.3005556	214°	19.0	104	542	Reporting Point
TRISH	39.5034444	-76.3738889	214°	11.0	92	552	Reporting Point
CLIPR	39.4481111	-76.4219722	214°	7.0	85	559	Reporting Point
BAL	39.1710556	-76.66125	223°	37.0	48	594	VOR-TAC (NAVAID)
EYESS	38.9718889	-76.8968889	219°	30.0	18	624	Waypoint
BRUNC	38.9308056	-76.9400556	181°	6.0	12	630	Waypoint
FELTY	38.7795	-76.9446667	176°	17.0	11	641	Waypoint
HITEK	38.6886111	-76.9358333	176°	10.0	20	647	Waypoint
CAVDI	38.4259444	-76.9120833	347°	29.0	49	665	Waypoint
KDCA	38.8514403	-77.0377214	NA	49.0	0	642	Destination Airport
