# https://zh.flightaware.com//live/flight/JBU2754/history/20221031/2240Z/KDCA/KBOS/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
062943	38.8429	77.0370	177	['142']	['262']	['38']	0
062959	38.8321	77.0361	174	['135']	['249']	['259']	757.0
063015	38.8232	77.0340	168	['135']	['249']	['442']	515.0
063031	38.8130	77.0312	168	['153']	['283']	['533']	400.0
063047	38.7998	77.0284	171	['174']	['322']	['655']	529.0
063103	38.7871	77.0259	172	['189']	['349']	['815']	691.0
063213	38.7512	76.9503	82	['301']	['557']	['1646']	748.0
063231	38.7584	76.9209	60	['312']	['578']	['1913']	928.0
063247	38.7741	76.8993	32	['312']	['578']	['2172']	986.0
063303	38.7954	76.8886	9	['310']	['575']	['2438']	1.0
063324	38.8265	76.8898	355	['305']	['565']	['2797']	970.0
063409	38.8883	76.8972	355	['310']	['575']	['3505']	896.0
063439	38.9321	76.9023	355	['316']	['586']	['3917']	842.0
063506	38.9717	76.9072	356	['321']	['594']	['4305']	781.0
063527	39.0026	76.8993	25	['344']	['637']	['4542']	446.0
063545	39.0264	76.8729	55	['376']	['697']	['4595']	165.0
063603	39.0393	76.8330	72	['396']	['734']	['4641']	482.0
063641	39.0602	76.7506	72	['407']	['753']	['5044']	693.0
063711	39.0782	76.6799	72	['411']	['761']	['5425']	693.0
063741	39.0958	76.6108	72	['419']	['776']	['5738']	668.0
063803	39.1091	76.5576	74	['421']	['779']	['6005']	637.0
063837	39.1240	76.4699	81	['427']	['790']	['6332']	572.0
063907	39.1323	76.3983	82	['433']	['801']	['6614']	518.0
063937	39.1409	76.3220	82	['442']	['819']	['6850']	396.0
064007	39.1501	76.2405	82	['450']	['834']	['7010']	160.0
064037	39.1591	76.1611	82	['450']	['834']	['7010']	38.0
064107	39.1681	76.0829	82	['450']	['834']	['7049']	381.0
064137	39.1770	76.0043	82	['445']	['824']	['7391']	597.0
064156	39.1825	75.9571	79	['452']	['837']	['7536']	492.0
064216	39.1960	75.9045	65	['459']	['850']	['7711']	507.0
064233	39.2147	75.8640	53	['463']	['858']	['7849']	493.0
064254	39.2450	75.8220	41	['464']	['859']	['8024']	457.0
064315	39.2807	75.7818	43	['467']	['864']	['8169']	242.0
064345	39.3268	75.7234	46	['485']	['898']	['8230']	61.0
064415	39.3746	75.6579	46	['497']	['921']	['8230']	0
064445	39.4216	75.5939	47	['494']	['914']	['8230']	0
064515	39.4666	75.5317	47	['491']	['909']	['8230']	0
064545	39.5138	75.4664	47	['488']	['904']	['8230']	0
064615	39.5612	75.4005	47	['488']	['904']	['8230']	0
064645	39.6045	75.3401	47	['489']	['906']	['8230']	0
064715	39.6518	75.2741	47	['488']	['904']	['8230']	0
064745	39.6982	75.2092	47	['489']	['906']	['8230']	0
064815	39.7449	75.1437	47	['490']	['908']	['8230']	0
064845	39.7905	75.0795	47	['492']	['911']	['8230']	0
064915	39.8369	75.0142	47	['495']	['917']	['8230']	0
064945	39.8837	74.9482	47	['493']	['912']	['8230']	0
065015	39.9299	74.8829	48	['494']	['914']	['8230']	0
065036	39.9621	74.8372	48	['493']	['912']	['8230']	0
065106	40.0089	74.7708	48	['496']	['919']	['8230']	0
065122	40.0333	74.7348	50	['497']	['921']	['8230']	0
065152	40.0776	74.6655	50	['496']	['919']	['8230']	0
065223	40.1218	74.5970	50	['498']	['922']	['8230']	0
065254	40.1689	74.5241	50	['496']	['919']	['8230']	0
065320	40.2080	74.4637	50	['496']	['919']	['8230']	0
065350	40.2536	74.3929	50	['495']	['917']	['8230']	0
065420	40.2960	74.3273	50	['495']	['917']	['8230']	0
065450	40.3393	74.2598	50	['496']	['919']	['8230']	0
065520	40.3843	74.1894	50	['497']	['921']	['8230']	0
065550	40.4280	74.1213	50	['496']	['919']	['8230']	0
065620	40.4728	74.0509	50	['498']	['922']	['8230']	0
065650	40.5183	73.9794	50	['498']	['922']	['8230']	0
