# https://zh.flightaware.com//live/flight/RPA4629/history/20221101/1658Z/KRDU/KDCA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
010322	35.8623	78.8001	225	['158']	['293']	['168']	0
010338	35.8543	78.8096	223	['154']	['285']	['389']	629.0
010354	35.8451	78.8203	224	['174']	['322']	['503']	357.0
010410	35.8360	78.8311	225	['201']	['372']	['579']	343.0
010426	35.8244	78.8448	224	['219']	['406']	['686']	471.0
010443	35.8120	78.8594	223	['223']	['414']	['838']	309.0
010500	35.7995	78.8781	247	['233']	['431']	['861']	392.0
010518	35.7995	78.8991	290	['232']	['430']	['1067']	830.0
010538	35.8116	78.9205	311	['232']	['430']	['1387']	853.0
010555	35.8244	78.9373	314	['238']	['441']	['1593']	823.0
010613	35.8406	78.9518	341	['249']	['462']	['1867']	914.0
010631	35.8636	78.9528	15	['265']	['491']	['2141']	809.0
010652	35.8835	78.9363	44	['281']	['520']	['2393']	727.0
010715	35.9061	78.9092	44	['289']	['536']	['2675']	733.0
010800	35.9491	78.8585	44	['298']	['552']	['3223']	707.0
010830	35.9798	78.8223	44	['308']	['570']	['3559']	655.0
010900	36.0112	78.7852	44	['314']	['581']	['3879']	716.0
010930	36.0434	78.7471	44	['312']	['578']	['4275']	724.0
011000	36.0735	78.7114	44	['315']	['583']	['4602']	640.0
011030	36.1065	78.6723	44	['323']	['599']	['4915']	564.0
011100	36.1384	78.6345	44	['332']	['615']	['5166']	526.0
011130	36.1720	78.5945	44	['339']	['628']	['5441']	549.0
011200	36.2071	78.5528	44	['346']	['641']	['5715']	518.0
011230	36.2419	78.5113	44	['353']	['653']	['5959']	518.0
011300	36.2766	78.4700	44	['356']	['660']	['6233']	442.0
011330	36.3132	78.4262	44	['362']	['671']	['6401']	168.0
011400	36.3489	78.3835	44	['361']	['668']	['6401']	0
011430	36.3846	78.3408	44	['361']	['668']	['6401']	0
011500	36.4204	78.2979	44	['361']	['668']	['6401']	0
011530	36.4574	78.2533	44	['361']	['668']	['6401']	0
011556	36.4890	78.2159	42	['358']	['663']	['6401']	0
011623	36.5225	78.1813	38	['355']	['658']	['6401']	0
011653	36.5629	78.1429	38	['355']	['658']	['6401']	0
011723	36.6017	78.1063	37	['352']	['652']	['6401']	0
011753	36.6399	78.0703	37	['352']	['652']	['6401']	0
011823	36.6795	78.0327	37	['352']	['652']	['6401']	0
011853	36.7187	77.9956	37	['352']	['652']	['6401']	0
011923	36.7570	77.9593	37	['355']	['658']	['6401']	0
011953	36.7970	77.9214	37	['354']	['655']	['6401']	0
012019	36.8300	77.8955	28	['348']	['644']	['6401']	0
012036	36.8560	77.8797	25	['345']	['639']	['6401']	0
012106	36.8984	77.8546	25	['345']	['639']	['6401']	0
012136	36.9422	77.8288	25	['346']	['641']	['6401']	0
012207	36.9892	77.8012	25	['344']	['637']	['6401']	0
012237	37.0301	77.7773	25	['346']	['641']	['6401']	0
012307	37.0741	77.7514	25	['346']	['641']	['6401']	0
012337	37.1178	77.7258	25	['346']	['641']	['6401']	0
012407	37.1623	77.6996	25	['368']	['681']	['6401']	0
012437	37.2108	77.6711	25	['395']	['732']	['6401']	0
012507	37.2604	77.6418	25	['418']	['774']	['6401']	0
012537	37.3147	77.6096	25	['425']	['787']	['6401']	0
012607	37.3668	77.5786	25	['426']	['789']	['6401']	0
012637	37.4194	77.5474	25	['426']	['789']	['6401']	0
012707	37.4758	77.5139	25	['426']	['789']	['6401']	0
012737	37.5275	77.4831	25	['424']	['785']	['6401']	0
012757	37.5630	77.4623	23	['420']	['777']	['6401']	-40.0
012823	37.6098	77.4417	16	['405']	['750']	['6370']	-351.0
012906	37.6862	77.4174	14	['395']	['732']	['5997']	-532.0
012936	37.7413	77.4002	14	['386']	['715']	['5723']	-526.0
013006	37.7906	77.3849	14	['380']	['703']	['5471']	-549.0
013036	37.8412	77.3692	14	['374']	['692']	['5174']	-549.0
013106	37.8922	77.3534	14	['369']	['684']	['4923']	-495.0
013136	37.9415	77.3383	14	['364']	['674']	['4679']	-488.0
013206	37.9897	77.3235	14	['363']	['673']	['4435']	-488.0
013236	38.0392	77.3082	14	['357']	['661']	['4191']	-480.0
013306	38.0862	77.2936	14	['348']	['644']	['3955']	-500.0
013329	38.1216	77.2811	18	['345']	['639']	['3749']	-557.0
013347	38.1477	77.2696	20	['339']	['628']	['3574']	-562.0
013417	38.1930	77.2489	20	['326']	['604']	['3299']	-552.0
013445	38.2331	77.2306	20	['304']	['563']	['3040']	-552.0
013515	38.2688	77.2141	20	['281']	['520']	['2766']	-579.0
013545	38.3056	77.1969	20	['279']	['517']	['2461']	-610.0
013615	38.3433	77.1794	20	['279']	['517']	['2156']	-564.0
013645	38.3784	77.1629	20	['277']	['513']	['1897']	-511.0
013715	38.4137	77.1464	20	['271']	['502']	['1646']	-488.0
013745	38.4489	77.1299	20	['264']	['489']	['1410']	-465.0
013815	38.4842	77.1134	20	['265']	['491']	['1181']	-236.0
013845	38.5191	77.0970	20	['257']	['476']	['1173']	116.0
013853	38.5267	77.0935	20	['257']	['476']	['1254']	-143.0
014005	38.6033	77.0574	20	['227']	['420']	['983']	-221.0
014021	38.6200	77.0496	21	['223']	['414']	['930']	-200.0
014037	38.6349	77.0425	20	['224']	['415']	['876']	-200.0
014053	38.6503	77.0353	20	['218']	['404']	['823']	-181.0
014120	38.6745	77.0240	20	['200']	['370']	['747']	-175.0
014140	38.6909	77.0167	11	['183']	['340']	['686']	-210.0
014157	38.7056	77.0174	347	['173']	['320']	['617']	-235.0
014217	38.7202	77.0231	345	['173']	['320']	['541']	-216.0
014233	38.7334	77.0259	353	['174']	['322']	['488']	-144.0
014252	38.7489	77.0275	356	['175']	['323']	['457']	-139.0
014319	38.7700	77.0299	351	['168']	['311']	['381']	-97.0
014332	38.7794	77.0312	356	['153']	['283']	['393']	-212.0
014439	38.8206	77.0348	356	['131']	['243']	['99']	-251.0
014455	38.8313	77.0358	356	['127']	['235']	['46']	-200.0
