# https://zh.flightaware.com//live/flight/SKW3146/history/20221030/1936Z/KICT/KDFW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
032700	37.6596	97.4347	20	['152']	['282']	['572']	0
032716	37.6697	97.4304	18	['153']	['283']	['770']	614.0
032732	37.6808	97.4257	19	['170']	['315']	['899']	472.0
032748	37.6938	97.4195	21	['189']	['349']	['1021']	614.0
032804	37.7077	97.4130	21	['199']	['369']	['1227']	713.0
032822	37.7229	97.4048	32	['214']	['396']	['1425']	575.0
032839	37.7335	97.3872	71	['237']	['439']	['1562']	457.0
032857	37.7315	97.3617	114	['270']	['501']	['1692']	549.0
032914	37.7156	97.3416	151	['290']	['538']	['1882']	870.0
032938	37.6848	97.3330	175	['286']	['529']	['2286']	882.0
032956	37.6608	97.3336	187	['297']	['550']	['2499']	766.0
033021	37.6240	97.3401	188	['308']	['570']	['2835']	856.0
033051	37.5842	97.3468	188	['309']	['573']	['3284']	655.0
033121	37.5385	97.3543	187	['342']	['634']	['3490']	442.0
033151	37.4901	97.3624	188	['361']	['668']	['3726']	600.0
033222	37.4374	97.3715	188	['368']	['681']	['4100']	750.0
033252	37.3872	97.3799	187	['371']	['687']	['4488']	831.0
033322	37.3355	97.3885	187	['364']	['674']	['4930']	718.0
033341	37.3056	97.3899	175	['372']	['689']	['5075']	542.0
033405	37.2644	97.3777	162	['376']	['697']	['5319']	610.0
033435	37.2144	97.3568	162	['380']	['703']	['5624']	594.0
033505	37.1636	97.3355	162	['385']	['713']	['5913']	592.0
033536	37.1109	97.3133	161	['389']	['721']	['6226']	607.0
033606	37.0598	97.2922	162	['391']	['724']	['6530']	541.0
033636	37.0063	97.2699	161	['397']	['735']	['6767']	526.0
033706	36.9561	97.2486	161	['396']	['734']	['7056']	541.0
033736	36.9029	97.2263	161	['399']	['739']	['7308']	511.0
033806	36.8475	97.2028	161	['402']	['745']	['7567']	476.0
033824	36.8176	97.1906	164	['403']	['747']	['7689']	457.0
033848	36.7724	97.1859	184	['400']	['740']	['7887']	441.0
033922	36.7102	97.1951	187	['404']	['748']	['8115']	429.0
033952	36.6553	97.2035	187	['404']	['748']	['8344']	427.0
034022	36.5978	97.2124	187	['405']	['750']	['8542']	419.0
034052	36.5423	97.2211	187	['405']	['750']	['8763']	419.0
034122	36.4882	97.2296	187	['405']	['750']	['8961']	404.0
034152	36.4312	97.2385	187	['404']	['748']	['9167']	411.0
034222	36.3759	97.2471	187	['402']	['745']	['9373']	419.0
034252	36.3195	97.2556	187	['400']	['740']	['9586']	408.0
034336	36.2424	97.2672	187	['396']	['734']	['9876']	408.0
034406	36.1854	97.2758	187	['393']	['727']	['10089']	358.0
034436	36.1341	97.2836	187	['394']	['729']	['10234']	305.0
034506	36.0779	97.2922	187	['394']	['729']	['10394']	317.0
034525	36.0453	97.2970	187	['394']	['729']	['10493']	299.0
034555	35.9902	97.3052	187	['394']	['729']	['10638']	305.0
034625	35.9359	97.3135	187	['392']	['726']	['10798']	312.0
034655	35.8836	97.3214	187	['390']	['723']	['10950']	183.0
034725	35.8282	97.3298	187	['399']	['739']	['10980']	23.0
034755	35.7726	97.3383	187	['407']	['753']	['10973']	-8.0
034825	35.7174	97.3468	187	['410']	['760']	['10973']	0
034855	35.6603	97.3555	188	['410']	['760']	['10973']	0
034925	35.6024	97.3642	187	['408']	['756']	['10973']	0
034955	35.5470	97.3726	187	['408']	['756']	['10973']	0
035025	35.4889	97.3813	187	['408']	['756']	['10973']	0
035055	35.4357	97.3892	187	['407']	['753']	['10973']	0
035125	35.3778	97.3980	187	['406']	['752']	['10973']	0
035155	35.3210	97.4066	187	['405']	['750']	['10973']	0
035225	35.2661	97.4148	187	['405']	['750']	['10973']	0
035255	35.2110	97.4232	187	['405']	['750']	['10973']	-145.0
035325	35.1557	97.4313	187	['410']	['760']	['10828']	-320.0
035355	35.0966	97.4404	188	['409']	['758']	['10653']	-335.0
035425	35.0422	97.4487	187	['410']	['760']	['10493']	-302.0
035445	35.0076	97.4537	188	['416']	['771']	['10401']	-265.0
035515	34.9464	97.4627	187	['421']	['779']	['10272']	-267.0
035538	34.9026	97.4690	187	['423']	['784']	['10165']	-276.0
035608	34.8425	97.4778	187	['420']	['777']	['10028']	-274.0
035638	34.7866	97.4861	187	['411']	['761']	['9891']	-282.0
035708	34.7307	97.4945	187	['407']	['753']	['9746']	-282.0
035738	34.6739	97.5030	187	['417']	['772']	['9609']	-274.0
035808	34.6145	97.5117	187	['423']	['784']	['9472']	-267.0
035838	34.5589	97.5200	187	['421']	['779']	['9342']	-274.0
035923	34.4693	97.5330	187	['423']	['784']	['9129']	-280.0
035953	34.4100	97.5416	187	['431']	['798']	['8992']	-267.0
040023	34.3505	97.5502	187	['438']	['811']	['8862']	-267.0
040053	34.2893	97.5587	187	['437']	['810']	['8725']	-274.0
040123	34.2302	97.5667	186	['430']	['797']	['8588']	-292.0
040205	34.1435	97.5639	178	['444']	['822']	['8374']	-362.0
040235	34.0837	97.5608	178	['436']	['808']	['8153']	-434.0
040305	34.0228	97.5577	178	['438']	['811']	['7940']	-419.0
040335	33.9620	97.5546	178	['442']	['819']	['7734']	-419.0
040405	33.9002	97.5514	177	['444']	['822']	['7521']	-427.0
040435	33.8402	97.5482	178	['439']	['813']	['7308']	-450.0
040506	33.7777	97.5448	177	['432']	['800']	['7064']	-532.0
