# https://zh.flightaware.com//live/flight/SKW3587/history/20221114/1240Z/KMSN/KMSP/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
205415	43.1202	89.3430	192	['144']	['267']	['419']	0
205431	43.1095	89.3483	202	['145']	['269']	['663']	643.0
205447	43.0996	89.3550	217	['170']	['315']	['762']	343.0
205503	43.0920	89.3701	252	['199']	['369']	['846']	515.0
205519	43.0920	89.3910	285	['211']	['391']	['1036']	657.0
205535	43.1002	89.4104	314	['234']	['433']	['1196']	515.0
205551	43.1142	89.4233	336	['255']	['472']	['1311']	572.0
205607	43.1322	89.4318	343	['264']	['489']	['1501']	776.0
205624	43.1534	89.4414	341	['272']	['504']	['1737']	860.0
205649	43.1837	89.4572	338	['278']	['515']	['2103']	914.0
205719	43.2183	89.4761	338	['276']	['512']	['2576']	869.0
205749	43.2535	89.4955	338	['282']	['523']	['2972']	655.0
205819	43.2915	89.5167	338	['306']	['566']	['3231']	497.0
205835	43.3137	89.5293	335	['318']	['589']	['3353']	492.0
205858	43.3418	89.5541	319	['324']	['600']	['3551']	664.0
205928	43.3733	89.5966	315	['319']	['591']	['3940']	808.0
205958	43.4046	89.6394	315	['315']	['583']	['4359']	724.0
210028	43.4359	89.6823	315	['322']	['597']	['4663']	579.0
210058	43.4681	89.7264	315	['330']	['612']	['4938']	533.0
210128	43.5025	89.7738	315	['338']	['626']	['5197']	503.0
210158	43.5343	89.8175	315	['344']	['637']	['5441']	511.0
210228	43.5688	89.8648	315	['349']	['647']	['5707']	625.0
210258	43.6018	89.9104	315	['343']	['636']	['6066']	625.0
210328	43.6357	89.9573	315	['343']	['636']	['6332']	465.0
210358	43.6695	90.0041	315	['350']	['649']	['6530']	373.0
210428	43.7047	90.0528	315	['359']	['665']	['6706']	175.0
210458	43.7412	90.1037	315	['380']	['703']	['6706']	0
210528	43.7779	90.1545	315	['379']	['702']	['6706']	0
210558	43.8143	90.2053	315	['378']	['700']	['6706']	0
210628	43.8518	90.2577	315	['380']	['703']	['6706']	0
210653	43.8817	90.3002	312	['382']	['708']	['6706']	0
210723	43.9163	90.3606	306	['386']	['715']	['6706']	0
210753	43.9471	90.4189	306	['385']	['713']	['6706']	0
210824	43.9792	90.4797	306	['386']	['715']	['6706']	0
210854	44.0102	90.5386	306	['387']	['716']	['6706']	0
210924	44.0428	90.6006	306	['389']	['721']	['6706']	0
210954	44.0749	90.6617	306	['391']	['724']	['6706']	0
211024	44.1068	90.7227	306	['392']	['726']	['6706']	0
211054	44.1390	90.7842	306	['392']	['726']	['6706']	0
211124	44.1709	90.8455	306	['390']	['723']	['6706']	0
211154	44.2023	90.9059	306	['389']	['721']	['6706']	0
