# https://zh.flightaware.com//live/flight/SKW3634/history/20221114/2300Z/CYYZ/KDTW/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
071414	43.6748	79.5981	46	['148']	['274']	['206']	0
071430	43.6832	79.5856	49	['152']	['282']	['419']	686.0
071446	43.6901	79.5750	48	['164']	['304']	['572']	486.0
071502	43.6998	79.5601	49	['188']	['348']	['678']	680.0
071518	43.7089	79.5459	48	['206']	['381']	['934']	692.0
071622	43.7668	79.5270	313	['261']	['483']	['1600']	733.0
071640	43.7778	79.5546	291	['263']	['488']	['1935']	953.0
071658	43.7853	79.5826	290	['269']	['499']	['2172']	1.0
071719	43.7948	79.6174	289	['262']	['486']	['2598']	1.0
071737	43.7972	79.6468	261	['269']	['499']	['2850']	928.0
071754	43.7893	79.6716	230	['272']	['504']	['3139']	842.0
071815	43.7676	79.6940	207	['291']	['539']	['3383']	686.0
071838	43.7396	79.7119	204	['304']	['563']	['3642']	650.0
071900	43.7087	79.7292	200	['321']	['594']	['3871']	712.0
071930	43.6668	79.7475	197	['327']	['605']	['4260']	785.0
072000	43.6233	79.7648	196	['334']	['618']	['4656']	739.0
072030	43.5785	79.7829	196	['340']	['629']	['4999']	762.0
072100	43.5330	79.8021	197	['340']	['629']	['5418']	739.0
072130	43.4857	79.8214	196	['350']	['649']	['5738']	629.0
072148	43.4598	79.8353	210	['341']	['631']	['5921']	729.0
072207	43.4365	79.8605	225	['334']	['618']	['6187']	619.0
072250	43.3905	79.9262	226	['344']	['637']	['6561']	420.0
072320	43.3552	79.9768	226	['363']	['673']	['6698']	133.0
072352	43.3171	80.0312	226	['361']	['668']	['6698']	7.0
072423	43.2812	80.0825	226	['361']	['668']	['6706']	0
072453	43.2482	80.1295	227	['355']	['658']	['6698']	0
072523	43.2124	80.1805	226	['364']	['674']	['6706']	8.0
072553	43.1793	80.2275	226	['372']	['689']	['6706']	-8.0
072623	43.1439	80.2778	226	['365']	['676']	['6698']	0
072653	43.1081	80.3285	226	['357']	['661']	['6706']	8.0
072723	43.0740	80.3766	226	['354']	['655']	['6706']	0
072753	43.0401	80.4245	226	['361']	['668']	['6706']	0
072824	43.0039	80.4757	226	['366']	['678']	['6706']	0
072854	42.9686	80.5253	226	['369']	['684']	['6706']	0
072924	42.9320	80.5767	226	['372']	['689']	['6706']	-8.0
072955	42.8942	80.6297	226	['373']	['690']	['6698']	0
073025	42.8582	80.6802	226	['373']	['690']	['6706']	0
073055	42.8233	80.7288	226	['366']	['678']	['6698']	0
073125	42.7876	80.7786	226	['362']	['671']	['6706']	7.0
073157	42.7513	80.8291	226	['364']	['674']	['6706']	0
073223	42.7208	80.8727	233	['363']	['673']	['6706']	0
073239	42.7086	80.9040	252	['361']	['668']	['6706']	-10.0
073310	42.7012	80.9744	265	['365']	['676']	['6698']	0
073327	42.6984	81.0143	265	['366']	['678']	['6706']	0
073357	42.6936	81.0817	265	['365']	['676']	['6698']	-8.0
073427	42.6884	81.1527	265	['363']	['673']	['6698']	0
073457	42.6835	81.2194	264	['360']	['666']	['6698']	8.0
073528	42.6786	81.2862	265	['357']	['661']	['6706']	8.0
073558	42.6737	81.3536	264	['356']	['660']	['6706']	0
073628	42.6688	81.4191	264	['355']	['658']	['6706']	0
073658	42.6635	81.4887	264	['354']	['655']	['6706']	0
073728	42.6589	81.5512	264	['356']	['660']	['6706']	0
073758	42.6537	81.6188	265	['359']	['665']	['6706']	-8.0
073828	42.6485	81.6874	264	['350']	['649']	['6698']	-8.0
073858	42.6434	81.7521	264	['335']	['621']	['6698']	-104.0
073925	42.6392	81.8069	264	['336']	['623']	['6599']	-426.0
073956	42.6342	81.8707	264	['332']	['615']	['6287']	-605.0
074027	42.6291	81.9355	264	['324']	['600']	['5974']	-585.0
074057	42.6243	81.9953	264	['321']	['594']	['5692']	-549.0
074127	42.6196	82.0534	264	['315']	['583']	['5425']	-541.0
074157	42.6148	82.1123	264	['310']	['575']	['5151']	-549.0
074227	42.6101	82.1705	264	['307']	['568']	['4877']	-564.0
074257	42.6053	82.2298	264	['305']	['565']	['4587']	-556.0
074327	42.6006	82.2862	264	['303']	['562']	['4321']	-526.0
074357	42.5962	82.3398	264	['301']	['557']	['4061']	-541.0
074427	42.5915	82.3965	263	['300']	['555']	['3780']	-567.0
074447	42.5845	82.4342	249	['299']	['554']	['3589']	-530.0
074517	42.5687	82.4874	250	['305']	['565']	['3338']	-360.0
074553	42.5540	82.5494	253	['284']	['526']	['3193']	-267.0
074622	42.5425	82.5992	253	['264']	['489']	['3048']	-395.0
074652	42.5322	82.6462	253	['269']	['499']	['2804']	-472.0
074722	42.5207	82.6941	252	['269']	['499']	['2576']	-465.0
074752	42.5087	82.7428	252	['264']	['489']	['2339']	-450.0
074822	42.4977	82.7873	252	['260']	['481']	['2126']	-328.0
074852	42.4873	82.8325	254	['257']	['476']	['2012']	-159.0
074908	42.4814	82.8601	254	['264']	['489']	['2004']	-40.0
074938	42.4712	82.9070	254	['262']	['486']	['1981']	-144.0
075005	42.4625	82.9495	255	['249']	['462']	['1867']	-253.0
075025	42.4568	82.9782	255	['240']	['444']	['1783']	-217.0
075043	42.4522	83.0023	255	['229']	['425']	['1730']	-136.0
075102	42.4470	83.0292	256	['221']	['409']	['1699']	-101.0
075119	42.4433	83.0490	256	['219']	['406']	['1669']	37.0
075122	42.4422	83.0548	256	['219']	['406']	['1712']	-303.0
075242	42.4059	83.1512	234	['217']	['402']	['1250']	-335.0
075312	42.3887	83.1827	234	['217']	['402']	['1097']	-314.0
075330	42.3775	83.2025	230	['218']	['404']	['998']	-326.0
075347	42.3652	83.2195	222	['203']	['377']	['907']	-305.0
075409	42.3501	83.2356	214	['191']	['354']	['800']	-152.0
075435	42.3315	83.2510	213	['177']	['328']	['785']	-37.0
075459	42.3145	83.2646	209	['170']	['315']	['770']	-186.0
075529	42.2934	83.2798	208	['171']	['317']	['617']	-290.0
075559	42.2745	83.2937	209	['140']	['259']	['480']	-116.0
075606	42.2710	83.2964	209	['136']	['253']	['546']	-237.0
075720	42.2298	83.3266	209	['132']	['245']	['160']	-293.0
075736	42.2217	83.3327	208	['132']	['245']	['107']	-166.0
075753	42.2129	83.3390	208	['118']	['219']	['69']	-134.0
