# https://zh.flightaware.com//live/flight/SKW4151/history/20221031/2129Z/KSJC/KSEA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
052329	37.3646	121.9288	318	['145']	['269']	['91']	0
052345	37.3728	121.9380	318	['142']	['262']	['335']	714.0
052401	37.3810	121.9471	319	['164']	['304']	['472']	400.0
052417	37.3908	121.9578	319	['199']	['369']	['549']	457.0
052433	37.4041	121.9723	319	['219']	['406']	['716']	700.0
052440	37.4093	121.9772	327	['221']	['409']	['817']	584.0
052556	37.4378	121.9225	131	['220']	['407']	['1524']	461.0
052613	37.4268	121.9085	137	['220']	['407']	['1532']	67.0
052630	37.4139	121.8936	137	['230']	['426']	['1562']	565.0
052647	37.4008	121.8778	136	['228']	['422']	['1852']	1.0
052717	37.3783	121.8500	135	['226']	['418']	['2370']	969.0
052737	37.3628	121.8311	140	['233']	['431']	['2659']	648.0
052753	37.3472	121.8223	170	['255']	['472']	['2758']	343.0
052813	37.3229	121.8268	211	['283']	['525']	['2865']	505.0
052831	37.3080	121.8487	252	['289']	['536']	['3078']	698.0
052851	37.3076	121.8821	289	['306']	['566']	['3307']	610.0
052910	37.3243	121.9105	322	['325']	['602']	['3475']	663.0
052931	37.3543	121.9309	333	['331']	['613']	['3749']	747.0
052951	37.3807	121.9438	344	['339']	['628']	['3985']	709.0
053011	37.4129	121.9490	357	['349']	['647']	['4221']	764.0
053055	37.4836	121.9544	356	['353']	['653']	['4801']	748.0
053125	37.5333	121.9586	356	['360']	['666']	['5144']	621.0
053148	37.5729	121.9620	356	['368']	['681']	['5349']	604.0
053218	37.6223	121.9663	356	['372']	['689']	['5677']	632.0
053248	37.6745	121.9708	356	['376']	['697']	['5982']	648.0
053318	37.7280	121.9754	356	['376']	['697']	['6325']	587.0
053348	37.7805	121.9799	356	['384']	['711']	['6568']	480.0
053418	37.8343	121.9845	356	['391']	['724']	['6805']	503.0
053448	37.8892	121.9893	356	['395']	['732']	['7071']	495.0
053518	37.9426	121.9939	356	['400']	['740']	['7300']	457.0
053548	37.9990	121.9987	356	['406']	['752']	['7529']	465.0
053618	38.0585	122.0039	356	['410']	['760']	['7765']	442.0
053648	38.1139	122.0087	356	['416']	['771']	['7971']	373.0
053718	38.1703	122.0136	356	['426']	['789']	['8138']	335.0
053748	38.2326	122.0191	356	['437']	['810']	['8306']	343.0
053818	38.2913	122.0242	356	['445']	['824']	['8481']	389.0
053848	38.3533	122.0301	355	['449']	['832']	['8694']	450.0
053922	38.4260	122.0374	359	['452']	['837']	['8961']	422.0
053940	38.4640	122.0383	0	['460']	['851']	['9060']	340.0
053957	38.4991	122.0380	0	['464']	['859']	['9159']	381.0
054016	38.5406	122.0377	0	['466']	['863']	['9289']	469.0
054036	38.5845	122.0374	0	['465']	['861']	['9464']	572.0
054056	38.6257	122.0371	0	['459']	['850']	['9670']	675.0
054116	38.6677	122.0368	0	['451']	['835']	['9914']	597.0
054132	38.7019	122.0366	0	['450']	['834']	['10028']	565.0
054150	38.7376	122.0364	0	['445']	['824']	['10234']	513.0
054221	38.8045	122.0359	0	['442']	['819']	['10447']	402.0
054240	38.8408	122.0357	0	['442']	['819']	['10569']	433.0
054259	38.8813	122.0355	0	['438']	['811']	['10721']	447.0
054326	38.9342	122.0351	0	['435']	['806']	['10912']	335.0
054344	38.9693	122.0349	0	['435']	['806']	['10973']	99.0
054403	38.9936	122.0348	0	['431']	['798']	['10973']	0
054443	39.0874	122.0342	0	['430']	['797']	['10973']	0
054519	39.1610	122.0337	0	['430']	['797']	['10973']	0
054536	39.1941	122.0335	0	['429']	['795']	['10973']	0
054556	39.2338	122.0332	0	['429']	['795']	['10973']	0
054613	39.2679	122.0330	0	['429']	['795']	['10973']	0
054630	39.3005	122.0328	0	['429']	['795']	['10973']	0
054659	39.3589	122.0324	0	['428']	['793']	['10973']	0
054742	39.4438	122.0318	0	['426']	['789']	['10973']	0
054805	39.4867	122.0315	0	['424']	['785']	['10973']	0
054839	39.5567	122.0311	0	['424']	['785']	['10973']	0
054905	39.6070	122.0307	0	['424']	['785']	['10973']	0
054935	39.6647	122.0303	0	['425']	['787']	['10973']	0
055005	39.7249	122.0299	0	['426']	['789']	['10973']	0
055026	39.7664	122.0297	0	['425']	['787']	['10973']	0
055050	39.8123	122.0293	0	['424']	['785']	['10973']	0
055113	39.8598	122.0290	0	['425']	['787']	['10973']	0
055137	39.9060	122.0287	0	['427']	['790']	['10973']	0
055203	39.9574	122.0284	0	['427']	['790']	['10973']	0
055227	40.0042	122.0280	0	['427']	['790']	['10973']	0
055254	40.0574	122.0276	0	['426']	['789']	['10973']	0
055312	40.0933	122.0275	0	['426']	['789']	['10973']	0
055331	40.1290	122.0272	0	['427']	['790']	['10973']	0
055352	40.1710	122.0269	0	['426']	['789']	['10973']	0
055410	40.2073	122.0266	0	['425']	['787']	['10973']	0
055450	40.2849	122.0261	0	['420']	['777']	['10973']	0
055535	40.3725	122.0256	0	['417']	['772']	['10973']	0
055613	40.4461	122.0250	0	['418']	['774']	['10973']	0
055635	40.4880	122.0248	0	['419']	['776']	['10973']	0
055651	40.5190	122.0246	0	['419']	['776']	['10973']	0
055716	40.5676	122.0242	0	['422']	['782']	['10973']	0
055739	40.6137	122.0239	0	['423']	['784']	['10973']	0
055814	40.6799	122.0235	0	['423']	['784']	['10973']	0
055844	40.7395	122.0230	0	['423']	['784']	['10973']	0
055914	40.7991	122.0226	0	['422']	['782']	['10973']	0
055935	40.8381	122.0223	0	['422']	['782']	['10973']	0
055958	40.8834	122.0220	0	['420']	['777']	['10973']	0
060015	40.9176	122.0218	0	['420']	['777']	['10973']	0
060045	40.9734	122.0214	0	['418']	['774']	['10973']	0
060117	41.0382	122.0209	0	['416']	['771']	['10973']	0
060159	41.1168	122.0205	0	['415']	['769']	['10973']	0
060220	41.1561	122.0202	0	['416']	['771']	['10973']	0
060243	41.2016	122.0198	0	['417']	['772']	['10973']	0
060314	41.2631	122.0195	0	['418']	['774']	['10973']	0
060346	41.3247	122.0190	0	['421']	['779']	['10973']	0
060419	41.3898	122.0185	0	['421']	['779']	['10973']	0
060449	41.4473	122.0182	0	['421']	['779']	['10973']	0
060519	41.5042	122.0177	0	['421']	['779']	['10973']	0
060553	41.5727	122.0173	0	['420']	['777']	['10973']	0
060623	41.6318	122.0168	0	['423']	['784']	['10973']	0
060653	41.6885	122.0165	0	['422']	['782']	['10973']	0
060733	41.7674	122.0159	0	['422']	['782']	['10973']	0
060803	41.8251	122.0155	0	['423']	['784']	['10973']	0
060846	41.9084	122.0149	0	['423']	['784']	['10973']	0
060917	41.9692	122.0144	0	['423']	['784']	['10973']	0
060947	42.0288	122.0140	0	['424']	['785']	['10973']	0
061017	42.0872	122.0136	0	['424']	['785']	['10973']	0
061047	42.1463	122.0132	0	['421']	['779']	['10973']	0
061131	42.2328	122.0125	0	['424']	['785']	['10973']	0
061201	42.2899	122.0122	0	['427']	['790']	['10973']	0
061244	42.3754	122.0115	0	['424']	['785']	['10973']	0
061314	42.4332	122.0111	0	['424']	['785']	['10973']	0
061352	42.5098	122.0105	0	['429']	['795']	['10973']	0
061422	42.5687	122.0101	0	['429']	['795']	['10973']	0
061439	42.6031	122.0099	0	['428']	['793']	['10973']	0
061506	42.6552	122.0094	0	['427']	['790']	['10973']	0
061536	42.7161	122.0091	0	['427']	['790']	['10973']	0
061612	42.7888	122.0085	0	['427']	['790']	['10973']	0
061634	42.8287	122.0082	0	['427']	['790']	['10973']	0
061703	42.8882	122.0078	0	['427']	['790']	['10973']	0
061737	42.9530	122.0073	0	['429']	['795']	['10973']	0
061807	43.0167	122.0068	0	['426']	['789']	['10973']	0
061835	43.0693	122.0064	0	['424']	['785']	['10973']	0
061905	43.1282	122.0060	0	['424']	['785']	['10973']	0
061930	43.1756	122.0056	0	['423']	['784']	['10973']	0
062000	43.2342	122.0052	0	['426']	['789']	['10973']	0
062032	43.2993	122.0047	0	['427']	['790']	['10973']	0
062116	43.3835	122.0117	352	['418']	['774']	['10973']	0
062157	43.4629	122.0302	350	['417']	['772']	['10973']	0
062227	43.5204	122.0438	350	['419']	['776']	['10973']	0
062257	43.5748	122.0567	350	['421']	['779']	['10973']	0
062328	43.6358	122.0711	350	['416']	['771']	['10973']	0
062358	43.6910	122.0842	350	['414']	['766']	['10973']	0
062428	43.7477	122.0978	350	['417']	['772']	['10973']	0
062458	43.8065	122.1118	350	['416']	['771']	['10973']	0
062528	43.8625	122.1252	350	['419']	['776']	['10973']	0
062558	43.9211	122.1392	350	['423']	['784']	['10973']	0
062628	43.9796	122.1533	350	['425']	['787']	['10973']	0
062658	44.0355	122.1667	350	['423']	['784']	['10973']	0
062728	44.0931	122.1805	350	['420']	['777']	['10973']	0
062758	44.1500	122.1943	350	['418']	['774']	['10973']	0
062828	44.2069	122.2081	350	['415']	['769']	['10973']	0
062858	44.2636	122.2218	350	['414']	['766']	['10973']	0
062928	44.3222	122.2360	350	['416']	['771']	['10973']	0
062958	44.3796	122.2500	350	['419']	['776']	['10973']	0
063028	44.4342	122.2633	350	['417']	['772']	['10973']	0
063058	44.4923	122.2776	350	['417']	['772']	['10973']	0
063128	44.5498	122.2916	350	['418']	['774']	['10973']	0
