# https://zh.flightaware.com//live/flight/SKW4151/history/20221118/1413Z/KFSD/KMSP/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
222818	43.5890	96.7434	334	['135']	['249']	['419']	0
222834	43.5982	96.7480	357	['131']	['243']	['686']	771.0
222850	43.6077	96.7432	36	['162']	['299']	['831']	472.0
222906	43.6177	96.7315	42	['189']	['349']	['937']	618.0
222924	43.6308	96.7147	42	['198']	['367']	['1181']	726.0
222940	43.6409	96.7026	40	['215']	['398']	['1349']	493.0
223002	43.6601	96.6808	39	['249']	['462']	['1494']	695.0
223032	43.6882	96.6493	39	['258']	['478']	['1951']	934.0
223050	43.7040	96.6316	41	['259']	['480']	['2240']	829.0
223120	43.7308	96.5981	43	['275']	['509']	['2614']	791.0
223204	43.7724	96.5376	47	['295']	['546']	['3216']	612.0
223234	43.7994	96.4975	47	['323']	['599']	['3368']	472.0
223304	43.8312	96.4495	48	['335']	['621']	['3688']	610.0
223334	43.8621	96.4028	48	['342']	['634']	['3978']	655.0
223404	43.8958	96.3519	48	['347']	['642']	['4343']	671.0
223434	43.9275	96.3041	48	['353']	['653']	['4648']	617.0
223504	43.9609	96.2534	48	['359']	['665']	['4961']	572.0
223534	43.9953	96.2011	48	['367']	['679']	['5220']	526.0
223604	44.0307	96.1472	48	['375']	['695']	['5486']	716.0
223634	44.0662	96.0928	48	['357']	['661']	['5936']	1.0
223704	44.0969	96.0438	49	['340']	['629']	['6500']	831.0
223734	44.1281	95.9949	48	['345']	['639']	['6767']	503.0
223804	44.1609	95.9439	48	['356']	['660']	['7003']	232.0
223837	44.1966	95.8882	48	['356']	['660']	['7010']	7.0
223907	44.2296	95.8370	48	['354']	['655']	['7010']	0
223937	44.2621	95.7861	48	['354']	['655']	['7010']	0
224007	44.2952	95.7350	48	['353']	['653']	['7010']	0
224037	44.3285	95.6843	48	['353']	['653']	['7010']	0
224107	44.3609	95.6348	48	['353']	['653']	['7010']	0
224137	44.3946	95.5829	48	['353']	['653']	['7010']	0
224207	44.4274	95.5325	48	['353']	['653']	['7010']	0
224237	44.4586	95.4845	48	['352']	['652']	['7010']	0
224307	44.4929	95.4318	48	['352']	['652']	['7010']	0
224338	44.5258	95.3809	48	['351']	['650']	['7010']	0
224408	44.5586	95.3300	48	['350']	['649']	['7010']	0
224438	44.5908	95.2801	48	['351']	['650']	['7010']	0
224508	44.6241	95.2286	48	['350']	['649']	['7010']	0
224527	44.6444	95.1969	50	['352']	['652']	['7010']	13.0
224543	44.6578	95.1635	72	['365']	['676']	['7018']	0
224606	44.6627	95.1125	91	['372']	['689']	['7010']	-9.0
224636	44.6608	95.0404	92	['371']	['687']	['7010']	0
224706	44.6590	94.9672	92	['372']	['689']	['7010']	0
224736	44.6573	94.8967	92	['371']	['687']	['7010']	0
224806	44.6555	94.8230	92	['370']	['686']	['7010']	0
224836	44.6538	94.7533	92	['369']	['684']	['7010']	0
224906	44.6520	94.6815	92	['370']	['686']	['7010']	0
224936	44.6501	94.6081	92	['393']	['727']	['7010']	0
225006	44.6479	94.5265	92	['409']	['758']	['7010']	-69.0
225036	44.6458	94.4483	92	['408']	['756']	['6942']	-361.0
225103	44.6470	94.3770	84	['400']	['740']	['6668']	-588.0
225125	44.6560	94.3207	73	['390']	['723']	['6462']	-563.0
225155	44.6721	94.2492	73	['388']	['719']	['6180']	-572.0
225225	44.6884	94.1769	73	['383']	['710']	['5890']	-564.0
225255	44.7037	94.1090	73	['375']	['695']	['5616']	-533.0
225325	44.7193	94.0395	73	['369']	['684']	['5357']	-541.0
225355	44.7350	93.9702	73	['367']	['679']	['5075']	-442.0
225425	44.7503	93.9010	73	['363']	['673']	['4915']	-305.0
225455	44.7645	93.8368	73	['359']	['665']	['4770']	-305.0
225525	44.7790	93.7716	73	['344']	['637']	['4610']	-312.0
225555	44.7929	93.7087	73	['322']	['597']	['4458']	-312.0
225625	44.8064	93.6483	73	['315']	['583']	['4298']	-282.0
225655	44.8190	93.5914	73	['311']	['576']	['4176']	-328.0
225725	44.8319	93.5328	73	['308']	['570']	['3970']	-419.0
225755	44.8440	93.4775	73	['301']	['557']	['3757']	-440.0
225818	44.8548	93.4319	69	['300']	['555']	['3581']	-435.0
225836	44.8638	93.4029	64	['296']	['549']	['3459']	-419.0
225906	44.8814	93.3518	64	['289']	['536']	['3246']	-433.0
225934	44.8983	93.3025	64	['285']	['528']	['3040']	-426.0
230004	44.9153	93.2525	64	['275']	['509']	['2835']	-381.0
230034	44.9316	93.2050	65	['267']	['494']	['2659']	-320.0
230104	44.9470	93.1594	65	['251']	['465']	['2515']	-238.0
230124	44.9567	93.1304	67	['234']	['433']	['2461']	-253.0
230142	44.9594	93.1050	97	['243']	['451']	['2355']	-356.0
230200	44.9511	93.0783	121	['248']	['459']	['2248']	-373.0
230220	44.9385	93.0508	123	['247']	['457']	['2118']	-363.0
230239	44.9278	93.0271	123	['245']	['454']	['2012']	-321.0
230257	44.9165	93.0021	122	['241']	['446']	['1920']	-323.0
230313	44.9070	92.9809	123	['239']	['443']	['1829']	-517.0
230322	44.9013	92.9701	129	['239']	['443']	['1705']	-391.0
230436	44.8473	92.8821	132	['241']	['446']	['1288']	-283.0
230457	44.8335	92.8605	133	['226']	['418']	['1257']	-132.0
230514	44.8172	92.8491	175	['206']	['381']	['1204']	-188.0
230531	44.8026	92.8546	204	['197']	['365']	['1151']	-87.0
230551	44.7861	92.8653	205	['199']	['369']	['1151']	0
230609	44.7727	92.8753	222	['191']	['354']	['1151']	0
230625	44.7658	92.8937	265	['176']	['327']	['1151']	0
230644	44.7674	92.9144	282	['172']	['319']	['1151']	0
230706	44.7728	92.9367	293	['169']	['312']	['1151']	0
230733	44.7822	92.9635	298	['169']	['312']	['1151']	0
230758	44.7922	92.9882	300	['168']	['311']	['1151']	0
230814	44.7983	93.0028	301	['160']	['296']	['1151']	-29.0
230830	44.8042	93.0165	301	['149']	['275']	['1135']	-114.0
230846	44.8100	93.0297	302	['150']	['278']	['1090']	-214.0
230902	44.8154	93.0422	302	['153']	['283']	['1021']	-272.0
230918	44.8212	93.0556	301	['146']	['270']	['945']	-286.0
230934	44.8263	93.0672	301	['135']	['249']	['869']	-243.0
230950	44.8319	93.0799	302	['134']	['248']	['815']	-229.0
231006	44.8368	93.0916	301	['125']	['232']	['747']	-243.0
231022	44.8414	93.1022	301	['118']	['219']	['686']	-229.0
231038	44.8458	93.1122	302	['114']	['211']	['625']	-214.0
231054	44.8502	93.1224	302	['116']	['214']	['572']	-93.0
231109	44.8543	93.1320	303	['115']	['212']	['577']	-206.0
231214	44.8731	93.1750	302	['117']	['217']	['297']	-252.0
231230	44.8775	93.1854	302	['120']	['222']	['236']	-214.0
231246	44.8819	93.1954	301	['118']	['219']	['183']	-200.0
