name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KFSD	43.5820181	-96.741925	44°	NA	316	0	Origin Airport
SSWAN	44.1572222	-95.9536111	61°	90.0	231	90	Waypoint
ERICX	44.4575	-95.1841667	72°	70.0	162	158	Waypoint
TORGY	44.6435833	-94.3753056	72°	67.0	95	223	Waypoint
OFSON	44.6736944	-94.2413889	72°	11.0	84	234	Waypoint
HMBRG	44.7011389	-94.1195833	72°	10.0	74	244	Waypoint
CONIA	44.7529167	-93.8880833	73°	19.0	55	262	Waypoint
JAEDN	44.7889444	-93.7265	73°	13.0	41	276	Reporting Point
HDEEE	44.8540556	-93.431	121°	24.0	17	300	Waypoint
MAUER	44.7817222	-93.2642778	121°	15.0	12	308	Waypoint
JJENI	44.6846667	-93.0386944	327°	21.0	26	320	Waypoint
KMSP	44.8819722	-93.2217778	NA	26.0	0	316	Destination Airport
