# https://zh.flightaware.com//live/flight/SKW6262/history/20221030/1740Z/KLAX/KIAH/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
015441	33.9365	118.4140	264	['162']	['299']	['152']	0
015457	33.9349	118.4291	262	['165']	['306']	['343']	586.0
015513	33.9331	118.4443	263	['183']	['340']	['465']	343.0
015529	33.9299	118.4608	247	['210']	['389']	['526']	357.0
015545	33.9209	118.4774	233	['225']	['417']	['655']	588.0
015611	33.9033	118.5035	230	['246']	['455']	['937']	604.0
015641	33.8796	118.5360	229	['270']	['501']	['1219']	656.0
015657	33.8642	118.5535	211	['275']	['509']	['1440']	776.0
015714	33.8425	118.5606	181	['280']	['518']	['1646']	774.0
015736	33.8168	118.5554	165	['279']	['517']	['1943']	779.0
015758	33.7870	118.5459	166	['288']	['533']	['2217']	712.0
015828	33.7497	118.5355	167	['298']	['552']	['2560']	690.0
015847	33.7229	118.5281	166	['306']	['566']	['2781']	653.0
015903	33.7035	118.5175	144	['308']	['570']	['2941']	646.0
015921	33.6874	118.4923	111	['306']	['566']	['3147']	699.0
015954	33.6723	118.4389	108	['308']	['570']	['3536']	682.0
020024	33.6585	118.3900	109	['316']	['586']	['3863']	572.0
020046	33.6485	118.3526	103	['328']	['607']	['4031']	502.0
020105	33.6445	118.3180	93	['331']	['613']	['4206']	569.0
020135	33.6444	118.2597	90	['340']	['629']	['4496']	533.0
020205	33.6446	118.2059	90	['349']	['647']	['4740']	533.0
020235	33.6446	118.1447	90	['355']	['658']	['5029']	564.0
020305	33.6445	118.0853	90	['360']	['666']	['5304']	488.0
020335	33.6445	118.0288	90	['368']	['681']	['5517']	434.0
020405	33.6444	117.9656	90	['376']	['697']	['5738']	450.0
020435	33.6443	117.8998	90	['383']	['710']	['5966']	450.0
020505	33.6441	117.8384	91	['389']	['721']	['6187']	457.0
020521	33.6420	117.8006	96	['393']	['727']	['6317']	444.0
020540	33.6359	117.7624	105	['399']	['739']	['6447']	420.0
020610	33.6200	117.6975	106	['403']	['747']	['6660']	434.0
020640	33.6041	117.6330	106	['408']	['756']	['6881']	427.0
020710	33.5877	117.5665	107	['412']	['763']	['7087']	404.0
020740	33.5719	117.5029	107	['415']	['769']	['7285']	396.0
020810	33.5549	117.4343	107	['418']	['774']	['7483']	411.0
020840	33.5388	117.3697	107	['418']	['774']	['7696']	396.0
020910	33.5220	117.3023	107	['421']	['779']	['7879']	325.0
020932	33.5107	117.2524	102	['426']	['789']	['7978']	332.0
020950	33.5054	117.2100	95	['425']	['787']	['8100']	435.0
021033	33.5032	117.1122	91	['423']	['784']	['8420']	395.0
021103	33.5022	117.0393	91	['427']	['790']	['8580']	320.0
021133	33.5012	116.9696	91	['431']	['798']	['8740']	328.0
021203	33.5002	116.8989	91	['433']	['801']	['8908']	328.0
021233	33.4991	116.8259	91	['436']	['808']	['9068']	328.0
021303	33.4980	116.7543	91	['439']	['813']	['9235']	312.0
021333	33.4959	116.6800	94	['443']	['821']	['9380']	251.0
021403	33.4891	116.6065	98	['450']	['834']	['9487']	206.0
021433	33.4801	116.5312	98	['456']	['845']	['9586']	251.0
021503	33.4714	116.4579	98	['455']	['843']	['9738']	373.0
021533	33.4625	116.3833	98	['450']	['834']	['9959']	328.0
021603	33.4536	116.3101	98	['454']	['840']	['10066']	244.0
021633	33.4445	116.2343	98	['454']	['840']	['10203']	312.0
021703	33.4356	116.1613	98	['450']	['834']	['10378']	320.0
021733	33.4263	116.0847	98	['449']	['832']	['10523']	267.0
021803	33.4177	116.0147	98	['447']	['827']	['10645']	145.0
021833	33.4085	115.9397	98	['454']	['840']	['10668']	23.0
021903	33.3994	115.8664	98	['453']	['838']	['10668']	0
021933	33.3898	115.7895	99	['451']	['835']	['10668']	0
022003	33.3808	115.7178	98	['451']	['835']	['10668']	0
022033	33.3712	115.6415	99	['452']	['837']	['10668']	0
022103	33.3617	115.5669	99	['454']	['840']	['10668']	0
022133	33.3526	115.4947	99	['455']	['843']	['10668']	0
022203	33.3429	115.4190	99	['454']	['840']	['10668']	0
022234	33.3330	115.3423	99	['456']	['845']	['10668']	0
022304	33.3236	115.2697	99	['456']	['845']	['10668']	0
022335	33.3131	115.1881	99	['455']	['843']	['10668']	0
022405	33.3035	115.1143	99	['456']	['845']	['10668']	0
022435	33.2940	115.0417	99	['456']	['845']	['10668']	0
022505	33.2841	114.9668	99	['457']	['847']	['10668']	0
022536	33.2740	114.8902	99	['455']	['843']	['10668']	0
022606	33.2640	114.8152	99	['454']	['840']	['10668']	0
022636	33.2542	114.7421	99	['455']	['843']	['10668']	0
022707	33.2439	114.6651	99	['455']	['843']	['10668']	0
022737	33.2339	114.5910	99	['455']	['843']	['10668']	0
022807	33.2240	114.5178	99	['457']	['847']	['10668']	0
022837	33.2140	114.4441	99	['455']	['843']	['10668']	0
022907	33.2035	114.3672	99	['456']	['845']	['10668']	0
022937	33.1932	114.2921	100	['456']	['845']	['10668']	0
023008	33.1829	114.2173	99	['456']	['845']	['10668']	0
023038	33.1728	114.1448	99	['456']	['845']	['10668']	0
023108	33.1620	114.0674	99	['457']	['847']	['10668']	0
023138	33.1519	113.9949	100	['457']	['847']	['10668']	0
023208	33.1412	113.9188	100	['458']	['848']	['10668']	0
023239	33.1303	113.8414	100	['461']	['855']	['10668']	0
023309	33.1196	113.7662	100	['462']	['856']	['10668']	0
023339	33.1088	113.6899	100	['463']	['858']	['10668']	0
023410	33.0978	113.6132	100	['463']	['858']	['10668']	0
023440	33.0869	113.5373	100	['464']	['859']	['10668']	0
023510	33.0759	113.4612	100	['465']	['861']	['10668']	0
023540	33.0648	113.3850	100	['466']	['863']	['10668']	0
023611	33.0537	113.3088	100	['466']	['863']	['10668']	0
023641	33.0429	113.2351	100	['466']	['863']	['10668']	0
023712	33.0308	113.1522	100	['466']	['863']	['10668']	0
023742	33.0199	113.0781	100	['466']	['863']	['10668']	0
023812	33.0087	113.0027	100	['467']	['864']	['10668']	0
023843	32.9977	112.9287	100	['467']	['864']	['10668']	0
023913	32.9860	112.8510	100	['467']	['864']	['10668']	0
023943	32.9744	112.7737	100	['466']	['863']	['10668']	0
024013	32.9633	112.6999	100	['466']	['863']	['10668']	0
024043	32.9517	112.6236	100	['467']	['864']	['10668']	0
