# https://zh.flightaware.com//live/flight/UAL1238/history/20221102/2334Z/KMCO/KLAX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
074000	28.4494	81.3224	357	['186']	['344']	['114']	0
074016	28.4629	81.3233	358	['191']	['354']	['297']	657.0
074032	28.4778	81.3235	0	['198']	['367']	['465']	808.0
074043	28.4875	81.3233	1	['200']	['370']	['661']	577.0
074152	28.5545	81.3203	3	['227']	['420']	['1234']	491.0
074208	28.5724	81.3221	344	['238']	['441']	['1356']	329.0
074224	28.5884	81.3332	319	['262']	['486']	['1410']	679.0
074241	28.5986	81.3493	294	['250']	['463']	['1730']	862.0
074259	28.6035	81.3737	273	['256']	['475']	['1913']	568.0
074318	28.5989	81.3988	251	['271']	['502']	['2080']	578.0
074337	28.5904	81.4270	253	['278']	['515']	['2278']	744.0
074401	28.5826	81.4591	255	['277']	['513']	['2614']	853.0
074422	28.5760	81.4899	255	['274']	['507']	['2918']	632.0
074501	28.5592	81.5455	250	['299']	['554']	['3246']	512.0
074529	28.5461	81.5882	252	['311']	['576']	['3490']	493.0
074605	28.5310	81.6435	253	['324']	['600']	['3772']	515.0
074624	28.5242	81.6776	264	['327']	['605']	['3962']	446.0
074644	28.5231	81.7107	267	['341']	['631']	['4061']	513.0
074721	28.5187	81.7769	265	['339']	['628']	['4450']	536.0
074742	28.5155	81.8149	263	['347']	['642']	['4580']	358.0
074812	28.5092	81.8705	262	['360']	['666']	['4755']	299.0
074834	28.5041	81.9129	263	['369']	['684']	['4839']	251.0
074852	28.4992	81.9476	257	['379']	['702']	['4923']	350.0
074908	28.4910	81.9768	249	['384']	['711']	['5037']	377.0
074932	28.4733	82.0198	245	['390']	['723']	['5174']	398.0
075002	28.4497	82.0750	244	['393']	['727']	['5395']	396.0
075032	28.4245	82.1349	245	['400']	['740']	['5570']	343.0
075102	28.4008	82.1911	244	['405']	['750']	['5738']	358.0
075132	28.3761	82.2493	244	['406']	['752']	['5928']	373.0
075202	28.3520	82.3060	244	['408']	['756']	['6111']	366.0
075232	28.3269	82.3650	244	['411']	['761']	['6294']	351.0
075302	28.3029	82.4215	244	['412']	['763']	['6462']	335.0
075332	28.2775	82.4812	244	['416']	['771']	['6629']	305.0
075402	28.2532	82.5382	244	['421']	['779']	['6767']	274.0
075432	28.2267	82.5998	244	['428']	['793']	['6904']	274.0
075502	28.2002	82.6613	244	['433']	['801']	['7041']	297.0
075532	28.1747	82.7210	244	['435']	['806']	['7201']	305.0
075602	28.1474	82.7850	244	['437']	['810']	['7346']	290.0
075632	28.1203	82.8478	244	['440']	['814']	['7490']	295.0
075650	28.1068	82.8832	250	['437']	['810']	['7582']	286.0
075712	28.0946	82.9300	257	['435']	['806']	['7681']	281.0
075742	28.0818	82.9985	258	['436']	['808']	['7826']	290.0
075812	28.0691	83.0655	258	['437']	['810']	['7971']	274.0
075842	28.0564	83.1311	258	['437']	['810']	['8100']	259.0
075912	28.0432	83.2000	258	['439']	['813']	['8230']	244.0
075942	28.0306	83.2661	258	['440']	['814']	['8344']	229.0
080012	28.0175	83.3351	258	['441']	['816']	['8458']	251.0
080042	28.0048	83.4013	258	['439']	['813']	['8595']	280.0
080106	27.9988	83.4541	267	['434']	['803']	['8710']	288.0
080136	27.9948	83.5242	266	['432']	['800']	['8854']	274.0
080206	27.9911	83.5913	266	['431']	['798']	['8984']	236.0
080236	27.9872	83.6563	266	['432']	['800']	['9091']	160.0
080306	27.9830	83.7269	266	['432']	['800']	['9144']	52.0
080337	27.9789	83.7954	266	['432']	['800']	['9144']	0
080409	27.9746	83.8671	266	['431']	['798']	['9144']	0
080439	27.9706	83.9352	266	['430']	['797']	['9144']	0
080510	27.9665	84.0041	266	['430']	['797']	['9144']	0
080540	27.9624	84.0717	266	['429']	['795']	['9144']	0
080613	27.9578	84.1447	266	['428']	['793']	['9144']	0
080644	27.9536	84.2120	266	['428']	['793']	['9144']	0
080717	27.9490	84.2856	266	['427']	['790']	['9144']	0
080748	27.9446	84.3554	266	['427']	['790']	['9144']	0
080819	27.9401	84.4241	266	['427']	['790']	['9144']	0
080854	27.9350	84.5024	266	['428']	['793']	['9144']	0
080928	27.9300	84.5811	266	['429']	['795']	['9144']	0
080958	27.9258	84.6438	266	['430']	['797']	['9144']	0
081029	27.9212	84.7140	266	['431']	['798']	['9144']	0
081100	27.9164	84.7878	266	['431']	['798']	['9144']	0
081130	27.9120	84.8531	266	['432']	['800']	['9144']	0
081201	27.9074	84.9209	266	['432']	['800']	['9144']	0
081232	27.9026	84.9903	266	['433']	['801']	['9144']	0
081302	27.8977	85.0606	266	['434']	['803']	['9144']	0
081335	27.8927	85.1346	266	['435']	['806']	['9144']	0
081406	27.8878	85.2053	266	['435']	['806']	['9144']	0
081425	27.8877	85.2464	274	['434']	['803']	['9144']	0
081453	27.9003	85.3116	289	['434']	['803']	['9144']	0
081523	27.9195	85.3735	289	['435']	['806']	['9144']	0
081553	27.9389	85.4379	289	['435']	['806']	['9144']	0
081626	27.9599	85.5091	289	['435']	['806']	['9144']	0
081656	27.9790	85.5725	289	['434']	['803']	['9144']	0
081728	28.0000	85.6424	289	['434']	['803']	['9144']	0
081803	28.0219	85.7148	289	['433']	['801']	['9144']	0
081833	28.0416	85.7802	289	['433']	['801']	['9144']	0
081905	28.0630	85.8512	289	['432']	['800']	['9144']	0
081937	28.0837	85.9207	289	['431']	['798']	['9144']	0
082007	28.1029	85.9856	289	['431']	['798']	['9144']	0
082037	28.1219	86.0495	289	['430']	['797']	['9144']	0
082107	28.1402	86.1114	289	['430']	['797']	['9144']	0
082137	28.1592	86.1752	288	['429']	['795']	['9144']	0
082208	28.1789	86.2423	288	['430']	['797']	['9144']	0
082238	28.1976	86.3061	288	['429']	['795']	['9144']	0
082308	28.2164	86.3701	289	['429']	['795']	['9144']	0
082338	28.2358	86.4359	288	['430']	['797']	['9144']	0
082410	28.2544	86.4994	288	['430']	['797']	['9144']	0
082443	28.2751	86.5702	288	['430']	['797']	['9144']	0
082513	28.2937	86.6337	288	['429']	['795']	['9144']	0
082543	28.3126	86.6984	288	['430']	['797']	['9144']	0
082613	28.3317	86.7637	288	['430']	['797']	['9144']	0
082643	28.3502	86.8268	288	['430']	['797']	['9144']	0
082713	28.3694	86.8924	288	['431']	['798']	['9144']	0
082743	28.3884	86.9580	288	['430']	['797']	['9144']	0
082814	28.4069	87.0216	288	['429']	['795']	['9144']	0
082844	28.4258	87.0863	288	['430']	['797']	['9144']	0
082914	28.4447	87.1512	288	['430']	['797']	['9144']	0
082944	28.4628	87.2140	288	['430']	['797']	['9144']	0
083014	28.4812	87.2776	288	['430']	['797']	['9144']	0
083046	28.5014	87.3478	288	['430']	['797']	['9144']	0
083117	28.5206	87.4144	288	['430']	['797']	['9144']	0
083147	28.5391	87.4795	288	['431']	['798']	['9144']	0
083217	28.5574	87.5432	288	['430']	['797']	['9144']	0
083247	28.5758	87.6072	288	['431']	['798']	['9144']	0
083323	28.5987	87.6876	288	['432']	['800']	['9144']	0
083356	28.6190	87.7592	288	['433']	['801']	['9144']	0
083427	28.6376	87.8245	288	['432']	['800']	['9144']	0
083457	28.6559	87.8895	288	['432']	['800']	['9144']	0
083529	28.6757	87.9595	288	['433']	['801']	['9144']	0
083559	28.6940	88.0241	288	['433']	['801']	['9144']	0
083629	28.7121	88.0880	288	['432']	['800']	['9144']	0
083659	28.7304	88.1532	288	['431']	['798']	['9144']	0
083729	28.7481	88.2166	288	['430']	['797']	['9144']	0
083800	28.7671	88.2844	288	['429']	['795']	['9144']	0
083830	28.7853	88.3500	288	['430']	['797']	['9144']	0
083900	28.8034	88.4146	288	['430']	['797']	['9144']	0
083930	28.8213	88.4791	288	['429']	['795']	['9144']	0
084000	28.8380	88.5437	285	['428']	['793']	['9144']	0
084039	28.8584	88.6289	285	['428']	['793']	['9144']	0
084114	28.8763	88.7040	285	['428']	['793']	['9144']	0
084144	28.8928	88.7721	285	['428']	['793']	['9144']	0
084214	28.9084	88.8372	285	['428']	['793']	['9144']	0
084244	28.9238	88.9015	285	['428']	['793']	['9144']	0
084314	28.9398	88.9683	285	['428']	['793']	['9144']	0
084344	28.9554	89.0338	285	['428']	['793']	['9144']	0
084414	28.9698	89.0944	285	['428']	['793']	['9144']	0
084444	28.9857	89.1619	285	['428']	['793']	['9144']	0
084514	29.0013	89.2278	285	['428']	['793']	['9144']	0
084545	29.0171	89.2947	285	['428']	['793']	['9144']	0
084615	29.0326	89.3603	285	['427']	['790']	['9144']	0
084645	29.0479	89.4257	285	['426']	['789']	['9144']	0
084715	29.0633	89.4912	285	['426']	['789']	['9144']	0
084745	29.0784	89.5559	285	['427']	['790']	['9144']	0
084816	29.0944	89.6244	285	['427']	['790']	['9144']	0
