# https://zh.flightaware.com//live/flight/UAL1807/history/20221029/1917Z/KEWR/KMSP/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
031439	40.7079	74.1581	32	['168']	['311']	['114']	0
031455	40.7172	74.1469	46	['183']	['340']	['274']	600.0
031511	40.7268	74.1333	48	['200']	['370']	['434']	714.0
031527	40.7381	74.1196	34	['202']	['373']	['655']	600.0
031543	40.7518	74.1149	2	['205']	['380']	['754']	194.0
031600	40.7672	74.1229	324	['225']	['417']	['762']	209.0
031618	40.7779	74.1428	299	['247']	['457']	['876']	629.0
031640	40.7900	74.1754	296	['272']	['504']	['1181']	967.0
031710	40.8068	74.2216	296	['284']	['526']	['1715']	1.0
031740	40.8239	74.2681	296	['281']	['520']	['2195']	579.0
031810	40.8408	74.3143	296	['281']	['520']	['2294']	162.0
031828	40.8543	74.3392	321	['276']	['512']	['2324']	309.0
031844	40.8723	74.3504	346	['281']	['520']	['2469']	716.0
031914	40.9127	74.3634	346	['290']	['538']	['2873']	474.0
031939	40.9447	74.3735	347	['288']	['533']	['2903']	100.0
032009	40.9845	74.3859	347	['328']	['607']	['2964']	373.0
032028	41.0146	74.3917	359	['340']	['629']	['3208']	856.0
032048	41.0470	74.3891	5	['346']	['641']	['3520']	978.0
032118	41.0955	74.3843	4	['350']	['649']	['4023']	930.0
032148	41.1422	74.3802	4	['358']	['663']	['4450']	838.0
032218	41.1937	74.3758	4	['368']	['681']	['4862']	899.0
032248	41.2459	74.3713	4	['368']	['681']	['5349']	937.0
032318	41.2976	74.3668	4	['370']	['686']	['5799']	884.0
032348	41.3487	74.3622	4	['371']	['687']	['6233']	818.0
032410	41.3862	74.3678	342	['375']	['695']	['6507']	766.0
032431	41.4167	74.3919	319	['383']	['710']	['6782']	747.0
032451	41.4389	74.4320	300	['391']	['724']	['7018']	649.0
032521	41.4654	74.4927	300	['397']	['735']	['7323']	572.0
032551	41.4930	74.5561	300	['406']	['752']	['7590']	312.0
032621	41.5207	74.6204	300	['409']	['758']	['7635']	300.0
032655	41.5533	74.6969	300	['411']	['761']	['7910']	550.0
032725	41.5813	74.7623	300	['412']	['763']	['8222']	594.0
032755	41.6098	74.8283	300	['415']	['769']	['8504']	539.0
032821	41.6356	74.8884	300	['418']	['774']	['8725']	481.0
032852	41.6633	74.9533	300	['421']	['779']	['8961']	449.0
032916	41.6875	75.0100	300	['424']	['785']	['9136']	457.0
032946	41.7163	75.0780	299	['425']	['787']	['9373']	488.0
033016	41.7460	75.1485	299	['424']	['785']	['9624']	472.0
033046	41.7746	75.2164	299	['426']	['789']	['9845']	419.0
033116	41.8042	75.2864	299	['427']	['790']	['10043']	411.0
033146	41.8338	75.3565	299	['427']	['790']	['10257']	320.0
033216	41.8624	75.4248	299	['428']	['793']	['10363']	107.0
033246	41.8911	75.4933	299	['429']	['795']	['10363']	0
033316	41.9210	75.5646	299	['429']	['795']	['10363']	0
033346	41.9489	75.6313	299	['429']	['795']	['10363']	0
033416	41.9773	75.6999	299	['429']	['795']	['10363']	0
033446	42.0070	75.7715	299	['429']	['795']	['10363']	0
033516	42.0360	75.8414	299	['428']	['793']	['10363']	0
033546	42.0651	75.9117	299	['428']	['793']	['10363']	0
033617	42.0943	75.9829	299	['426']	['789']	['10363']	0
033637	42.1114	76.0244	300	['426']	['789']	['10363']	0
033707	42.1414	76.0975	299	['426']	['789']	['10363']	0
033725	42.1586	76.1407	296	['428']	['793']	['10363']	0
033807	42.1917	76.2437	293	['429']	['795']	['10363']	0
033837	42.2135	76.3116	294	['430']	['797']	['10363']	0
033907	42.2385	76.3894	293	['431']	['798']	['10363']	0
033937	42.2622	76.4635	293	['432']	['800']	['10363']	0
034007	42.2869	76.5411	293	['432']	['800']	['10363']	0
034038	42.3103	76.6148	293	['432']	['800']	['10363']	0
034108	42.3336	76.6887	293	['432']	['800']	['10363']	0
034138	42.3566	76.7617	293	['432']	['800']	['10363']	0
034208	42.3803	76.8371	293	['432']	['800']	['10363']	0
034238	42.4038	76.9117	293	['431']	['798']	['10363']	0
034310	42.4289	76.9921	293	['432']	['800']	['10363']	0
034340	42.4525	77.0679	294	['430']	['797']	['10363']	0
034411	42.4756	77.1421	293	['431']	['798']	['10363']	0
034441	42.4991	77.2180	293	['430']	['797']	['10363']	0
034511	42.5220	77.2922	293	['430']	['797']	['10363']	0
034541	42.5427	77.3595	293	['430']	['797']	['10363']	0
034611	42.5669	77.4384	293	['430']	['797']	['10363']	0
034641	42.5909	77.5163	293	['429']	['795']	['10363']	0
034711	42.6135	77.5907	292	['429']	['795']	['10363']	0
034742	42.6370	77.6682	292	['429']	['795']	['10363']	0
034812	42.6590	77.7409	292	['430']	['797']	['10363']	0
034842	42.6814	77.8179	291	['430']	['797']	['10363']	0
034912	42.7015	77.8916	290	['431']	['798']	['10363']	0
034942	42.7221	77.9665	291	['431']	['798']	['10363']	0
035012	42.7437	78.0445	291	['432']	['800']	['10363']	0
035042	42.7649	78.1207	291	['432']	['800']	['10363']	0
035112	42.7862	78.1972	291	['432']	['800']	['10363']	0
035142	42.8063	78.2704	290	['432']	['800']	['10363']	0
035212	42.8278	78.3488	290	['431']	['798']	['10363']	0
035242	42.8497	78.4288	290	['431']	['798']	['10363']	0
035312	42.8697	78.5024	290	['430']	['797']	['10363']	0
035342	42.8898	78.5760	290	['430']	['797']	['10363']	0
