# https://zh.flightaware.com//live/flight/UAL1807/history/20221122/2009Z/KEWR/KSTL/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
041050	40.6851	74.1733	206	['141']	['261']	[]	0
041106	40.6738	74.1781	187	['145']	['269']	['175']	614.0
041122	40.6633	74.1789	192	['159']	['295']	['312']	457.0
041138	40.6540	74.1876	235	['172']	['319']	['419']	573.0
041151	40.6509	74.2017	270	['188']	['348']	['589']	817.0
041258	40.7000	74.2590	325	['241']	['446']	['1509']	875.0
041317	40.7134	74.2837	293	['241']	['446']	['1844']	949.0
041337	40.7211	74.3095	290	['252']	['467']	['2126']	996.0
041402	40.7318	74.3465	291	['253']	['468']	['2591']	1.0
041419	40.7369	74.3701	279	['257']	['476']	['2858']	808.0
041458	40.7430	74.4351	277	['284']	['526']	['3345']	610.0
041528	40.7479	74.4887	277	['317']	['587']	['3559']	495.0
041546	40.7510	74.5238	277	['328']	['607']	['3741']	573.0
041631	40.7592	74.6160	277	['338']	['626']	['4161']	341.0
041701	40.7644	74.6764	277	['340']	['629']	['4168']	8.0
041731	40.7699	74.7378	277	['341']	['631']	['4168']	76.0
041749	40.7732	74.7752	277	['342']	['634']	['4229']	572.0
041819	40.7788	74.8396	277	['344']	['637']	['4625']	823.0
041849	40.7840	74.9000	277	['346']	['641']	['5052']	754.0
041919	40.7897	74.9658	277	['353']	['653']	['5380']	655.0
041949	40.7951	75.0288	276	['359']	['665']	['5707']	648.0
042019	40.8006	75.0937	277	['364']	['674']	['6027']	625.0
042038	40.8008	75.1346	263	['366']	['678']	['6218']	682.0
042114	40.7894	75.2169	259	['365']	['676']	['6652']	617.0
042144	40.7802	75.2810	259	['373']	['690']	['6896']	518.0
042214	40.7704	75.3483	259	['377']	['698']	['7170']	533.0
042232	40.7618	75.3884	250	['381']	['705']	['7323']	529.0
042252	40.7472	75.4311	244	['384']	['711']	['7506']	503.0
042322	40.7237	75.4944	244	['388']	['719']	['7742']	457.0
042352	40.7001	75.5579	244	['392']	['726']	['7963']	442.0
042422	40.6760	75.6222	244	['395']	['732']	['8184']	470.0
042502	40.6440	75.7075	244	['395']	['732']	['8512']	464.0
042532	40.6195	75.7728	244	['397']	['735']	['8725']	488.0
042602	40.5945	75.8388	244	['394']	['729']	['8999']	419.0
042632	40.5697	75.9039	243	['391']	['724']	['9144']	145.0
042702	40.5460	75.9667	244	['398']	['737']	['9144']	0
042732	40.5213	76.0315	243	['400']	['740']	['9144']	0
042802	40.4962	76.0969	243	['401']	['742']	['9144']	0
042832	40.4719	76.1602	243	['401']	['742']	['9144']	0
042902	40.4467	76.2255	243	['402']	['745']	['9144']	0
042932	40.4218	76.2906	243	['403']	['747']	['9144']	0
043002	40.3960	76.3574	243	['403']	['747']	['9144']	8.0
043032	40.3708	76.4226	243	['403']	['747']	['9152']	0
043054	40.3524	76.4705	245	['401']	['742']	['9144']	-12.0
043110	40.3419	76.5062	252	['399']	['739']	['9144']	0
043128	40.3348	76.5487	262	['399']	['739']	['9144']	0
043201	40.3298	76.6288	266	['399']	['739']	['9144']	0
043231	40.3257	76.6988	266	['399']	['739']	['9144']	-7.0
043310	40.3201	76.7945	266	['400']	['740']	['9136']	0
043340	40.3160	76.8652	266	['401']	['742']	['9144']	8.0
043410	40.3116	76.9390	266	['400']	['740']	['9144']	0
043440	40.3074	77.0092	266	['400']	['740']	['9144']	0
043510	40.3030	77.0832	266	['400']	['740']	['9144']	0
043540	40.2985	77.1554	265	['399']	['739']	['9144']	0
043610	40.2939	77.2298	265	['398']	['737']	['9144']	0
043640	40.2897	77.2984	265	['398']	['737']	['9144']	0
043710	40.2852	77.3705	265	['398']	['737']	['9144']	0
043740	40.2807	77.4424	265	['398']	['737']	['9144']	0
043810	40.2762	77.5139	265	['398']	['737']	['9144']	0
043840	40.2713	77.5890	265	['398']	['737']	['9144']	0
043910	40.2666	77.6609	265	['399']	['739']	['9144']	0
043936	40.2634	77.7211	269	['398']	['737']	['9144']	0
044013	40.2621	77.8123	269	['399']	['739']	['9144']	0
044043	40.2610	77.8816	269	['398']	['737']	['9144']	0
044113	40.2598	77.9543	269	['397']	['735']	['9144']	24.0
044158	40.2578	78.0614	269	['397']	['735']	['9174']	165.0
044228	40.2567	78.1328	269	['397']	['735']	['9350']	372.0
044257	40.2554	78.2034	269	['396']	['734']	['9540']	438.0
044316	40.2546	78.2469	269	['394']	['729']	['9700']	221.0
044355	40.2527	78.3424	269	['392']	['726']	['9754']	46.0
044425	40.2514	78.4124	268	['393']	['727']	['9754']	0
044455	40.2499	78.4826	269	['391']	['724']	['9754']	0
044525	40.2484	78.5556	268	['390']	['723']	['9754']	0
044555	40.2469	78.6240	268	['389']	['721']	['9754']	-8.0
044625	40.2451	78.6967	268	['390']	['723']	['9746']	-8.0
