# https://zh.flightaware.com//live/flight/UAL1932/history/20221106/1415Z/KORD/KLGA/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
221620	41.9690	87.9298	271	['169']	['312']	['312']	0
221636	41.9745	87.9456	319	['182']	['336']	['579']	886.0
221652	41.9880	87.9522	358	['213']	['394']	['785']	657.0
221708	42.0027	87.9478	24	['242']	['447']	['930']	586.0
221724	42.0176	87.9297	54	['266']	['492']	['1097']	729.0
221740	42.0291	87.9079	55	['277']	['513']	['1318']	757.0
221756	42.0412	87.8850	55	['294']	['544']	['1501']	597.0
221801	42.0452	87.8771	55	['301']	['557']	['1527']	967.0
221915	42.0607	87.7424	102	['313']	['579']	['2774']	1.0
222000	42.0472	87.6565	102	['321']	['594']	['3513']	908.0
222030	42.0364	87.5961	104	['339']	['628']	['3909']	716.0
222100	42.0258	87.5327	102	['361']	['668']	['4229']	594.0
222130	42.0140	87.4646	103	['388']	['719']	['4503']	701.0
222200	42.0024	87.3946	103	['392']	['726']	['4930']	892.0
222230	41.9894	87.3199	103	['396']	['734']	['5395']	876.0
222300	41.9777	87.2513	103	['400']	['740']	['5806']	693.0
222330	41.9650	87.1771	103	['412']	['763']	['6088']	526.0
222400	41.9521	87.1003	101	['430']	['797']	['6332']	493.0
222421	41.9469	87.0442	93	['444']	['822']	['6507']	667.0
222437	41.9467	86.9995	88	['440']	['814']	['6744']	825.0
222507	41.9482	86.9186	89	['438']	['811']	['7140']	655.0
222537	41.9492	86.8360	89	['447']	['827']	['7399']	373.0
222607	41.9503	86.7513	90	['469']	['869']	['7513']	229.0
222637	41.9513	86.6640	89	['492']	['911']	['7628']	175.0
222707	41.9522	86.5698	89	['516']	['956']	['7689']	145.0
222737	41.9530	86.4708	89	['537']	['995']	['7772']	259.0
222807	41.9549	86.3726	88	['548']	['1015']	['7948']	389.0
222837	41.9567	86.2688	89	['554']	['1027']	['8161']	449.0
222902	41.9539	86.1817	96	['549']	['1017']	['8359']	478.0
222942	41.9409	86.0471	97	['549']	['1017']	['8679']	549.0
223012	41.9316	85.9467	97	['543']	['1006']	['8999']	564.0
223042	41.9226	85.8456	97	['544']	['1007']	['9243']	442.0
223112	41.9135	85.7459	97	['546']	['1011']	['9441']	366.0
223142	41.9047	85.6543	97	['549']	['1017']	['9609']	320.0
223212	41.8936	85.5434	98	['556']	['1030']	['9761']	297.0
223242	41.8834	85.4411	98	['562']	['1041']	['9906']	297.0
223312	41.8729	85.3375	98	['565']	['1046']	['10058']	152.0
223342	41.8626	85.2353	98	['564']	['1044']	['10058']	0
223412	41.8521	85.1299	98	['563']	['1043']	['10058']	0
223442	41.8419	85.0301	98	['561']	['1040']	['10058']	0
223512	41.8308	84.9226	98	['560']	['1036']	['10058']	0
223542	41.8201	84.8213	98	['559']	['1035']	['10058']	0
223612	41.8095	84.7195	98	['559']	['1035']	['10058']	0
223643	41.7980	84.6104	98	['558']	['1033']	['10058']	0
223714	41.7871	84.5082	98	['557']	['1032']	['10058']	0
223731	41.7807	84.4459	96	['556']	['1030']	['10058']	0
223801	41.7780	84.3464	90	['556']	['1030']	['10058']	0
223831	41.7776	84.2407	90	['555']	['1028']	['10058']	0
223851	41.7769	84.1707	92	['555']	['1028']	['10058']	0
223929	41.7689	84.0441	95	['553']	['1024']	['10058']	0
223959	41.7623	83.9438	95	['552']	['1022']	['10058']	0
224029	41.7554	83.8431	95	['551']	['1020']	['10058']	0
224100	41.7480	83.7382	95	['550']	['1019']	['10058']	0
224130	41.7406	83.6348	96	['550']	['1019']	['10058']	0
224200	41.7332	83.5324	96	['549']	['1017']	['10058']	0
224231	41.7253	83.4249	96	['548']	['1015']	['10058']	0
224301	41.7182	83.3279	96	['547']	['1012']	['10058']	0
224331	41.7108	83.2265	96	['547']	['1012']	['10058']	0
224402	41.7029	83.1212	96	['546']	['1011']	['10058']	0
