# https://zh.flightaware.com//live/flight/UAL2014/history/20221029/2049Z/KPHX/KDEN/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
045906	33.4310	111.9975	91	['184']	['341']	['358']	0
045922	33.4310	111.9825	90	['185']	['343']	['564']	686.0
045938	33.4314	111.9649	87	['197']	['365']	['724']	486.0
045954	33.4325	111.9472	86	['219']	['406']	['823']	486.0
050010	33.4340	111.9274	85	['228']	['422']	['983']	605.0
050028	33.4366	111.9035	81	['245']	['454']	['1166']	618.0
050044	33.4406	111.8798	75	['260']	['481']	['1334']	618.0
050102	33.4518	111.8586	48	['273']	['505']	['1516']	838.0
050120	33.4719	111.8466	14	['270']	['501']	['1836']	937.0
050142	33.5004	111.8437	3	['279']	['517']	['2141']	659.0
050212	33.5388	111.8426	2	['286']	['529']	['2408']	251.0
050242	33.5782	111.8409	3	['284']	['526']	['2393']	-15.0
050312	33.6177	111.8389	2	['283']	['525']	['2393']	0
050336	33.6516	111.8366	7	['280']	['518']	['2393']	10.0
050357	33.6777	111.8287	16	['277']	['513']	['2400']	103.0
050416	33.6990	111.8219	15	['283']	['525']	['2461']	560.0
050446	33.7376	111.8090	16	['288']	['533']	['2858']	575.0
050518	33.7814	111.7940	18	['327']	['605']	['3056']	314.0
050537	33.8089	111.7785	30	['353']	['653']	['3124']	263.0
050617	33.8657	111.7278	38	['397']	['735']	['3315']	529.0
050647	33.9087	111.6877	38	['398']	['737']	['3741']	754.0
050717	33.9544	111.6458	37	['410']	['760']	['4069']	666.0
050733	33.9762	111.6256	38	['416']	['771']	['4252']	643.0
050749	34.0039	111.6006	36	['419']	['776']	['4412']	624.0
050825	34.0620	111.5564	32	['427']	['790']	['4793']	382.0
050856	34.1169	111.5148	32	['431']	['798']	['4839']	52.0
050926	34.1678	111.4760	33	['429']	['795']	['4846']	0
050956	34.2156	111.4379	34	['427']	['790']	['4839']	15.0
051026	34.2636	111.3999	33	['426']	['789']	['4862']	325.0
051058	34.3171	111.3582	33	['430']	['797']	['5174']	561.0
051128	34.3682	111.3187	33	['439']	['813']	['5441']	541.0
051158	34.4199	111.2786	33	['446']	['826']	['5715']	495.0
051228	34.4722	111.2381	33	['456']	['845']	['5936']	511.0
051258	34.5259	111.1964	33	['462']	['856']	['6226']	533.0
051328	34.5812	111.1533	33	['467']	['864']	['6469']	497.0
