# https://zh.flightaware.com//live/flight/UAL2014/history/20221114/2345Z/KMSY/KIAH/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
084052	30.0012	90.2463	14	['149']	['275']	['46']	0
084108	30.0119	90.2435	10	['152']	['282']	['259']	700.0
084124	30.0235	90.2466	328	['176']	['327']	['419']	414.0
084140	30.0343	90.2576	315	['209']	['388']	['480']	272.0
084156	30.0459	90.2714	315	['236']	['438']	['564']	400.0
084212	30.0586	90.2851	318	['258']	['478']	['693']	578.0
084230	30.0775	90.3039	321	['286']	['529']	['892']	962.0
084300	30.1093	90.3316	325	['291']	['539']	['1463']	1.0
084330	30.1411	90.3559	325	['282']	['523']	['2088']	1.0
084353	30.1654	90.3788	317	['276']	['512']	['2553']	1.0
084409	30.1785	90.3952	308	['269']	['499']	['2835']	1.0
084425	30.1884	90.4140	298	['264']	['489']	['3101']	1.0
084504	30.2087	90.4642	294	['261']	['483']	['3780']	868.0
084534	30.2240	90.5027	295	['280']	['518']	['4100']	648.0
084604	30.2410	90.5446	295	['291']	['539']	['4427']	678.0
084634	30.2592	90.5868	297	['297']	['550']	['4778']	739.0
084704	30.2795	90.6316	298	['302']	['560']	['5166']	699.0
084727	30.2952	90.6603	308	['317']	['587']	['5395']	509.0
084757	30.3239	90.7017	309	['334']	['618']	['5616']	376.0
084823	30.3489	90.7391	307	['356']	['660']	['5745']	490.0
084853	30.3806	90.7874	308	['362']	['671']	['6073']	655.0
084923	30.4104	90.8315	308	['365']	['676']	['6401']	526.0
084953	30.4422	90.8790	307	['377']	['698']	['6599']	450.0
085023	30.4744	90.9278	307	['384']	['711']	['6850']	404.0
085053	30.5065	90.9774	306	['389']	['721']	['7003']	282.0
085123	30.5383	91.0276	306	['399']	['739']	['7132']	267.0
085153	30.5725	91.0806	307	['413']	['764']	['7269']	244.0
085223	30.6080	91.1357	306	['427']	['790']	['7376']	233.0
085246	30.6319	91.1800	299	['428']	['793']	['7475']	457.0
085316	30.6606	91.2395	299	['424']	['785']	['7780']	495.0
085346	30.6896	91.2998	299	['428']	['793']	['7971']	652.0
085417	30.7187	91.3602	299	['397']	['735']	['8443']	544.0
085449	30.7464	91.4178	299	['394']	['729']	['8542']	81.0
085519	30.7735	91.4750	299	['394']	['729']	['8527']	-7.0
085551	30.8019	91.5343	299	['386']	['715']	['8534']	0
085621	30.8271	91.5873	299	['390']	['723']	['8527']	8.0
085651	30.8524	91.6399	299	['365']	['676']	['8542']	8.0
085721	30.8770	91.6918	299	['351']	['650']	['8534']	-7.0
085754	30.9030	91.7469	299	['349']	['647']	['8534']	0
085824	30.9261	91.7954	299	['343']	['636']	['8534']	8.0
085854	30.9493	91.8443	299	['339']	['628']	['8542']	0
085924	30.9702	91.8888	298	['342']	['634']	['8534']	-15.0
085954	30.9943	91.9400	299	['356']	['660']	['8527']	8.0
090024	31.0184	91.9909	299	['354']	['655']	['8542']	8.0
090054	31.0418	92.0405	299	['351']	['650']	['8534']	-15.0
090124	31.0660	92.0921	299	['351']	['650']	['8527']	0
090157	31.0911	92.1455	299	['352']	['652']	['8534']	15.0
090227	31.1145	92.1957	299	['346']	['641']	['8542']	8.0
090257	31.1374	92.2446	299	['336']	['623']	['8542']	-8.0
090327	31.1595	92.2922	298	['334']	['618']	['8534']	-8.0
090358	31.1813	92.3385	299	['336']	['623']	['8534']	0
090428	31.2045	92.3883	299	['341']	['631']	['8534']	0
090458	31.2274	92.4372	299	['344']	['637']	['8534']	0
090519	31.2415	92.4727	287	['332']	['615']	['8534']	0
090536	31.2451	92.5000	271	['315']	['583']	['8534']	0
090557	31.2399	92.5359	251	['302']	['560']	['8534']	0
090628	31.2220	92.5790	243	['301']	['557']	['8534']	8.0
090658	31.2034	92.6223	243	['304']	['563']	['8542']	0
090728	31.1846	92.6651	243	['302']	['560']	['8534']	-8.0
090758	31.1641	92.7119	243	['306']	['566']	['8534']	0
090828	31.1452	92.7547	242	['306']	['566']	['8534']	0
090858	31.1251	92.8000	243	['304']	['563']	['8534']	8.0
090928	31.1072	92.8408	243	['300']	['555']	['8542']	0
090958	31.0872	92.8859	243	['301']	['557']	['8534']	-8.0
091028	31.0692	92.9262	243	['303']	['562']	['8534']	0
091058	31.0491	92.9715	243	['305']	['565']	['8534']	0
091128	31.0298	93.0149	243	['303']	['562']	['8534']	0
091158	31.0101	93.0593	243	['303']	['562']	['8534']	0
091228	30.9907	93.1026	243	['301']	['557']	['8534']	0
091259	30.9712	93.1462	243	['302']	['560']	['8534']	0
091329	30.9519	93.1894	242	['302']	['560']	['8534']	0
091359	30.9326	93.2326	243	['303']	['562']	['8534']	0
091429	30.9123	93.2780	242	['302']	['560']	['8534']	0
091500	30.8927	93.3217	242	['302']	['560']	['8534']	0
091530	30.8728	93.3660	243	['329']	['610']	['8534']	0
091600	30.8500	93.4168	243	['353']	['653']	['8534']	0
091630	30.8269	93.4681	243	['375']	['695']	['8534']	0
091700	30.8025	93.5222	242	['382']	['708']	['8534']	8.0
091730	30.7783	93.5757	242	['382']	['708']	['8542']	-23.0
091800	30.7540	93.6294	242	['380']	['703']	['8512']	-160.0
091830	30.7296	93.6837	243	['374']	['692']	['8382']	-457.0
091900	30.7046	93.7388	242	['376']	['697']	['8054']	-648.0
