# https://zh.flightaware.com//live/flight/UAL501/history/20221030/2005Z/KLAX/KDEN/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
043921	33.9361	118.4169	263	['166']	['307']	['213']	0
043937	33.9346	118.4323	263	['178']	['330']	['381']	572.0
043953	33.9329	118.4481	262	['193']	['357']	['518']	500.0
044009	33.9308	118.4663	262	['215']	['398']	['648']	557.0
044025	33.9257	118.4864	249	['234']	['433']	['815']	865.0
044046	33.9166	118.5131	247	['239']	['443']	['1181']	790.0
044109	33.9066	118.5414	247	['267']	['494']	['1394']	699.0
044137	33.8927	118.5808	248	['278']	['515']	['1775']	904.0
044153	33.8839	118.6023	237	['286']	['529']	['2057']	957.0
044209	33.8661	118.6216	210	['295']	['546']	['2286']	886.0
044225	33.8455	118.6288	185	['298']	['552']	['2530']	871.0
044241	33.8246	118.6250	162	['300']	['555']	['2751']	780.0
044259	33.8044	118.6078	130	['297']	['550']	['2972']	810.0
044316	33.7944	118.5844	107	['295']	['546']	['3223']	853.0
044336	33.7950	118.5506	74	['296']	['549']	['3498']	563.0
044355	33.8095	118.5234	42	['316']	['586']	['3589']	330.0
044412	33.8305	118.5076	30	['331']	['613']	['3696']	389.0
044442	33.8722	118.4790	30	['366']	['678']	['3894']	502.0
044503	33.9052	118.4559	32	['381']	['705']	['4122']	691.0
044523	33.9312	118.4307	45	['390']	['723']	['4366']	766.0
044540	33.9518	118.4004	55	['400']	['740']	['4595']	865.0
044619	33.9922	118.3298	56	['401']	['742']	['5174']	881.0
044649	34.0228	118.2752	56	['400']	['740']	['5608']	701.0
044719	34.0549	118.2179	56	['414']	['766']	['5875']	602.0
044749	34.0878	118.1596	56	['421']	['779']	['6210']	754.0
044819	34.1211	118.1007	56	['419']	['776']	['6629']	754.0
044849	34.1529	118.0440	56	['422']	['782']	['6965']	655.0
044919	34.1848	117.9873	56	['423']	['784']	['7285']	610.0
044949	34.2191	117.9265	56	['428']	['793']	['7574']	564.0
045019	34.2519	117.8680	56	['432']	['800']	['7849']	556.0
045049	34.2854	117.8085	56	['436']	['808']	['8131']	541.0
045119	34.3195	117.7473	56	['438']	['811']	['8390']	511.0
045149	34.3538	117.6859	56	['442']	['819']	['8641']	470.0
045232	34.4058	117.5986	54	['446']	['826']	['8961']	420.0
045302	34.4438	117.5359	54	['453']	['838']	['9152']	389.0
045332	34.4798	117.4756	54	['456']	['845']	['9350']	305.0
045402	34.5173	117.4127	54	['463']	['858']	['9456']	99.0
045432	34.5525	117.3531	54	['462']	['856']	['9449']	-8.0
045502	34.5914	117.2872	55	['462']	['856']	['9449']	0
045532	34.6290	117.2236	54	['461']	['855']	['9449']	0
045602	34.6657	117.1612	55	['460']	['851']	['9449']	0
045632	34.7019	117.0998	55	['460']	['851']	['9449']	0
045702	34.7397	117.0356	55	['459']	['850']	['9449']	0
045732	34.7776	116.9710	55	['459']	['850']	['9449']	0
045802	34.8151	116.9070	55	['458']	['848']	['9449']	0
045832	34.8515	116.8448	55	['460']	['851']	['9449']	0
045902	34.8882	116.7819	55	['458']	['848']	['9449']	0
045930	34.9233	116.7259	51	['456']	['845']	['9449']	0
045951	34.9523	116.6852	48	['457']	['847']	['9449']	0
050022	34.9972	116.6258	47	['457']	['847']	['9449']	15.0
050052	35.0395	116.5702	47	['457']	['847']	['9464']	251.0
050122	35.0831	116.5126	47	['455']	['843']	['9700']	526.0
050152	35.1255	116.4565	47	['449']	['832']	['9990']	495.0
050222	35.1666	116.4022	47	['449']	['832']	['10196']	351.0
050252	35.2097	116.3450	47	['452']	['837']	['10340']	328.0
050322	35.2520	116.2887	48	['452']	['837']	['10523']	328.0
050352	35.2937	116.2332	47	['449']	['832']	['10668']	145.0
050422	35.3366	116.1761	48	['447']	['827']	['10668']	0
050452	35.3768	116.1224	48	['447']	['827']	['10668']	0
050522	35.4210	116.0633	48	['447']	['827']	['10668']	0
050552	35.4610	116.0096	48	['447']	['827']	['10668']	0
050622	35.5035	115.9526	48	['447']	['827']	['10668']	0
050652	35.5448	115.8970	48	['446']	['826']	['10668']	0
050722	35.5855	115.8421	48	['445']	['824']	['10668']	0
050752	35.6278	115.7851	48	['445']	['824']	['10668']	0
050822	35.6715	115.7255	48	['446']	['826']	['10668']	0
050852	35.7102	115.6721	48	['446']	['826']	['10668']	0
050922	35.7523	115.6141	48	['446']	['826']	['10668']	0
050952	35.7935	115.5571	48	['444']	['822']	['10668']	0
051022	35.8339	115.5014	48	['443']	['821']	['10668']	0
051052	35.8741	115.4459	49	['442']	['819']	['10668']	0
051122	35.9143	115.3899	48	['439']	['813']	['10668']	0
051152	35.9542	115.3348	49	['439']	['813']	['10668']	0
051222	35.9960	115.2766	49	['440']	['814']	['10668']	0
051252	36.0367	115.2198	49	['441']	['816']	['10668']	0
051308	36.0583	115.1890	52	['443']	['821']	['10668']	0
051330	36.0822	115.1439	61	['450']	['834']	['10668']	0
051416	36.1198	115.0308	69	['456']	['845']	['10668']	-5.0
051452	36.1461	114.9450	69	['455']	['843']	['10660']	0
051522	36.1672	114.8761	69	['455']	['843']	['10668']	8.0
051552	36.1902	114.8005	69	['456']	['845']	['10668']	0
051623	36.2131	114.7257	69	['456']	['845']	['10668']	0
051653	36.2362	114.6506	69	['454']	['840']	['10668']	0
051723	36.2586	114.5771	69	['454']	['840']	['10668']	0
051753	36.2807	114.5043	69	['455']	['843']	['10668']	0
051824	36.3031	114.4304	70	['454']	['840']	['10668']	0
051854	36.3253	114.3570	70	['453']	['838']	['10668']	0
051924	36.3475	114.2836	70	['453']	['838']	['10668']	0
051954	36.3695	114.2106	70	['454']	['840']	['10668']	0
052025	36.3912	114.1382	70	['453']	['838']	['10668']	8.0
052055	36.4134	114.0643	70	['453']	['838']	['10676']	0
052128	36.4374	113.9838	70	['452']	['837']	['10668']	-7.0
052158	36.4587	113.9121	70	['453']	['838']	['10668']	0
052228	36.4807	113.8380	70	['453']	['838']	['10668']	0
052259	36.5036	113.7606	70	['454']	['840']	['10668']	0
052330	36.5252	113.6872	70	['455']	['843']	['10668']	0
052400	36.5476	113.6113	70	['455']	['843']	['10668']	0
052430	36.5690	113.5386	70	['454']	['840']	['10668']	0
052500	36.5905	113.4651	70	['454']	['840']	['10668']	0
052530	36.6124	113.3903	70	['455']	['843']	['10668']	0
052600	36.6335	113.3177	70	['454']	['840']	['10668']	0
052630	36.6551	113.2436	70	['454']	['840']	['10668']	0
052700	36.6761	113.1707	70	['454']	['840']	['10668']	0
052730	36.6975	113.0965	70	['454']	['840']	['10668']	0
052801	36.7188	113.0225	70	['452']	['837']	['10668']	0
052831	36.7406	112.9470	70	['451']	['835']	['10668']	0
052901	36.7614	112.8740	71	['450']	['834']	['10668']	0
052931	36.7821	112.8017	71	['450']	['834']	['10668']	0
053004	36.8060	112.7175	71	['450']	['834']	['10668']	0
053035	36.8272	112.6432	71	['449']	['832']	['10668']	0
053105	36.8479	112.5700	71	['449']	['832']	['10668']	0
053135	36.8682	112.4978	71	['449']	['832']	['10668']	0
053205	36.8887	112.4255	71	['450']	['834']	['10668']	0
053235	36.9097	112.3503	71	['451']	['835']	['10668']	0
053305	36.9304	112.2764	71	['451']	['835']	['10668']	0
053335	36.9509	112.2028	71	['452']	['837']	['10668']	0
053405	36.9721	112.1270	71	['453']	['838']	['10668']	0
053435	36.9913	112.0579	71	['454']	['840']	['10668']	0
053505	37.0121	111.9827	71	['455']	['843']	['10668']	0
053535	37.0325	111.9090	71	['455']	['843']	['10668']	0
053605	37.0535	111.8332	71	['455']	['843']	['10668']	0
053635	37.0741	111.7584	71	['456']	['845']	['10668']	0
053705	37.0945	111.6836	71	['456']	['845']	['10668']	0
053735	37.1145	111.6107	71	['456']	['845']	['10668']	0
053806	37.1365	111.5295	71	['456']	['845']	['10668']	0
053836	37.1572	111.4537	71	['456']	['845']	['10668']	0
053906	37.1775	111.3790	71	['456']	['845']	['10668']	0
053936	37.1980	111.3030	71	['456']	['845']	['10668']	0
054001	37.2146	111.2446	69	['456']	['845']	['10668']	0
054025	37.2340	111.1881	65	['455']	['843']	['10668']	0
054102	37.2703	111.0962	64	['451']	['835']	['10668']	0
054132	37.2965	111.0302	64	['451']	['835']	['10668']	0
054202	37.3247	110.9592	64	['449']	['832']	['10668']	0
054232	37.3525	110.8890	64	['450']	['834']	['10668']	0
054303	37.3807	110.8174	64	['451']	['835']	['10668']	0
054333	37.4097	110.7442	64	['451']	['835']	['10668']	0
054403	37.4371	110.6746	64	['453']	['838']	['10668']	0
054433	37.4654	110.6024	64	['454']	['840']	['10668']	0
054503	37.4928	110.5323	64	['455']	['843']	['10668']	0
054533	37.5201	110.4623	64	['456']	['845']	['10668']	0
054603	37.5478	110.3913	64	['457']	['847']	['10668']	0
054633	37.5758	110.3193	64	['456']	['845']	['10668']	0
054703	37.6037	110.2475	64	['458']	['848']	['10668']	0
054734	37.6331	110.1716	64	['458']	['848']	['10668']	0
054804	37.6592	110.1038	64	['460']	['851']	['10668']	0
054834	37.6877	110.0299	64	['463']	['858']	['10668']	0
054904	37.7160	109.9564	64	['463']	['858']	['10668']	0
054934	37.7439	109.8836	64	['465']	['861']	['10668']	0
055004	37.7716	109.8112	64	['466']	['863']	['10668']	0
055035	37.7998	109.7371	64	['467']	['864']	['10668']	0
055105	37.8296	109.6589	64	['468']	['867']	['10668']	0
055135	37.8570	109.5867	65	['469']	['869']	['10668']	0
055205	37.8850	109.5126	65	['469']	['869']	['10668']	0
055235	37.9141	109.4357	64	['469']	['869']	['10668']	0
055305	37.9411	109.3642	65	['470']	['871']	['10668']	0
055335	37.9695	109.2888	65	['469']	['869']	['10668']	0
055406	37.9980	109.2126	65	['470']	['871']	['10668']	0
055437	38.0272	109.1345	65	['471']	['872']	['10668']	0
055513	38.0600	109.0468	65	['472']	['874']	['10668']	0
055545	38.0904	108.9650	65	['475']	['880']	['10668']	0
055615	38.1190	108.8898	63	['475']	['880']	['10668']	0
055646	38.1497	108.8128	63	['477']	['884']	['10668']	0
