name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KDEN	39.8616667	-104.6731667	112°	NA	2742	0	Origin Airport
EPKEE	39.5928333	-103.7995278	110°	81.0	2662	81	Reporting Point
POIZN	39.35	-102.95	117°	78.0	2585	158	Waypoint
COTNN	39.1383333	-102.4125833	117°	52.0	2533	210	Waypoint
DUUZE	38.85	-101.7	119°	70.0	2463	280	Waypoint
PER	36.7466667	-97.1602778	116°	463.0	2001	742	VOR-TAC (NAVAID)
TUL	36.1963889	-95.7880556	116°	137.0	1864	879	VOR-TAC (NAVAID)
LITTR	34.67775	-92.18035	117°	368.0	1499	1246	WAYPOINT
ARNNY	32.3446111	-86.9912694	120°	547.0	964	1792	WAYPOINT
ACORI	31.7731667	-85.8581944	132°	124.0	844	1917	Waypoint
BULZI	30.3735833	-84.07625	150°	231.0	614	2145	Waypoint
SNAPY	29.8142222	-83.7065556	150°	72.0	544	2210	Waypoint
NICKI	29.2556111	-83.3421667	150°	71.0	474	2275	Waypoint
CLEOO	27.99925	-82.5266111	163°	161.0	319	2424	Waypoint
FEDRR	27.3775278	-82.3067778	151°	73.0	259	2485	Waypoint
FIGNA	26.9616389	-82.0433333	133°	53.0	213	2534	Waypoint
JASBO	26.7714444	-81.8186667	134°	31.0	184	2565	Waypoint
DANNA	26.6311389	-81.6555278	127°	23.0	163	2588	Waypoint
PCOCK	26.4126667	-81.3313333	130°	40.0	124	2628	Waypoint
TEEKY	26.2891111	-81.1661389	130°	21.0	104	2649	Waypoint
BACIN	26.1482222	-80.9790556	98°	24.0	83	2674	Waypoint
CANUR	26.1246944	-80.7997778	95°	18.0	65	2689	Waypoint
KFLL	26.0716667	-80.1496944	NA	65.0	0	2742	Destination Airport
