# https://zh.flightaware.com//live/flight/UAL501/history/20221119/0059Z/KDEN/KFLL/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
090243	39.8773	104.6139	90	['193']	['357']	['1692']	0
090259	39.8770	104.5936	93	['201']	['372']	['1890']	596.0
090316	39.8731	104.5711	108	['223']	['414']	['2019']	526.0
090339	39.8635	104.5444	117	['241']	['446']	['2240']	719.0
090353	39.8555	104.5234	116	['248']	['459']	['2462']	482.0
090511	39.8123	104.3991	114	['312']	['578']	['2979']	390.0
090556	39.7841	104.3170	114	['359']	['665']	['3261']	597.0
090626	39.7628	104.2549	114	['365']	['676']	['3726']	854.0
090657	39.7411	104.1930	114	['379']	['702']	['4130']	824.0
090727	39.7191	104.1306	115	['384']	['711']	['4564']	907.0
090757	39.6969	104.0670	114	['384']	['711']	['5037']	914.0
090827	39.6750	104.0057	115	['383']	['710']	['5479']	808.0
090857	39.6516	103.9415	118	['394']	['729']	['5845']	732.0
090927	39.6272	103.8812	117	['398']	['737']	['6210']	686.0
090957	39.6015	103.8175	118	['404']	['748']	['6530']	672.0
091016	39.5864	103.7747	112	['403']	['747']	['6759']	703.0
091036	39.5720	103.7286	115	['408']	['756']	['6988']	607.0
091114	39.5406	103.6469	116	['416']	['771']	['7346']	565.0
091144	39.5143	103.5789	117	['422']	['782']	['7628']	526.0
091214	39.4871	103.5091	117	['428']	['793']	['7871']	472.0
091244	39.4606	103.4413	117	['435']	['806']	['8100']	518.0
091314	39.4337	103.3727	117	['435']	['806']	['8390']	503.0
091344	39.4066	103.3039	117	['441']	['816']	['8603']	373.0
091414	39.3776	103.2301	117	['450']	['834']	['8763']	343.0
091444	39.3495	103.1585	117	['458']	['848']	['8946']	419.0
091514	39.3207	103.0852	117	['460']	['851']	['9182']	488.0
091544	39.2920	103.0131	117	['458']	['848']	['9434']	472.0
091614	39.2635	102.9418	117	['458']	['848']	['9655']	366.0
091644	39.2341	102.8677	117	['462']	['856']	['9799']	169.0
091716	39.2017	102.7861	117	['478']	['885']	['9830']	81.0
091746	39.1717	102.7102	117	['493']	['912']	['9883']	152.0
091816	39.1401	102.6307	117	['501']	['929']	['9982']	221.0
091846	39.1085	102.5517	117	['505']	['935']	['10104']	343.0
091916	39.0764	102.4719	117	['501']	['929']	['10325']	480.0
091946	39.0433	102.3899	117	['493']	['912']	['10584']	343.0
092016	39.0121	102.3128	117	['494']	['914']	['10668']	82.0
092047	38.9797	102.2337	118	['495']	['917']	['10668']	0
092125	38.9398	102.1367	118	['495']	['917']	['10668']	0
092200	38.9031	102.0474	118	['496']	['919']	['10668']	0
092231	38.8683	101.9620	118	['496']	['919']	['10668']	0
092304	38.8344	101.8791	118	['496']	['919']	['10668']	0
092334	38.8023	101.8012	118	['497']	['921']	['10668']	0
092404	38.7706	101.7234	117	['497']	['921']	['10668']	0
092434	38.7389	101.6459	118	['498']	['922']	['10668']	0
092504	38.7065	101.5669	118	['498']	['922']	['10668']	0
092536	38.6719	101.4837	118	['498']	['922']	['10668']	0
092606	38.6397	101.4063	118	['499']	['924']	['10668']	0
092638	38.6057	101.3253	118	['499']	['924']	['10668']	0
092708	38.5719	101.2446	118	['501']	['929']	['10668']	0
092739	38.5384	101.1644	118	['500']	['925']	['10668']	0
092809	38.5057	101.0869	118	['501']	['929']	['10668']	0
092839	38.4725	101.0077	118	['501']	['929']	['10668']	0
092909	38.4403	100.9307	118	['501']	['929']	['10668']	0
092939	38.4065	100.8510	119	['502']	['930']	['10668']	0
093009	38.3736	100.7739	119	['502']	['930']	['10668']	0
093039	38.3405	100.6967	119	['502']	['930']	['10668']	0
093109	38.3072	100.6189	119	['503']	['932']	['10668']	0
093139	38.2738	100.5404	118	['504']	['933']	['10668']	0
093210	38.2393	100.4599	119	['503']	['932']	['10668']	0
093240	38.2059	100.3822	119	['503']	['932']	['10668']	0
093310	38.1722	100.3042	119	['503']	['932']	['10668']	0
093340	38.1392	100.2279	119	['501']	['929']	['10668']	0
093411	38.1041	100.1470	119	['501']	['929']	['10668']	0
093441	38.0706	100.0695	119	['499']	['924']	['10668']	0
093517	38.0297	99.9755	119	['499']	['924']	['10668']	0
093547	37.9979	99.9026	119	['499']	['924']	['10668']	0
093618	37.9633	99.8234	119	['498']	['922']	['10668']	0
093648	37.9300	99.7474	119	['497']	['921']	['10668']	0
093718	37.8962	99.6713	119	['497']	['921']	['10668']	0
093749	37.8603	99.5902	119	['496']	['919']	['10668']	0
093819	37.8261	99.5131	119	['495']	['917']	['10668']	0
093850	37.7924	99.4364	119	['495']	['917']	['10668']	0
093920	37.7590	99.3612	119	['493']	['912']	['10668']	0
093951	37.7245	99.2837	119	['493']	['912']	['10668']	0
094021	37.6908	99.2083	119	['493']	['912']	['10668']	0
094051	37.6571	99.1321	119	['493']	['912']	['10668']	0
094122	37.6230	99.0561	120	['492']	['911']	['10668']	0
094152	37.5890	98.9806	119	['493']	['912']	['10668']	0
094223	37.5553	98.9062	120	['493']	['912']	['10668']	0
094253	37.5208	98.8301	120	['494']	['914']	['10668']	0
094323	37.4860	98.7529	120	['499']	['924']	['10668']	0
094354	37.4534	98.6809	120	['501']	['929']	['10668']	0
094424	37.4178	98.6022	120	['503']	['932']	['10668']	0
094455	37.3807	98.5203	120	['504']	['933']	['10668']	0
094525	37.3463	98.4445	120	['506']	['937']	['10668']	0
094557	37.3079	98.3619	120	['507']	['938']	['10668']	0
094628	37.2718	98.2843	120	['507']	['938']	['10668']	0
094700	37.2359	98.2071	120	['508']	['941']	['10668']	0
094730	37.2002	98.1296	120	['508']	['941']	['10668']	0
094801	37.1632	98.0488	120	['510']	['945']	['10668']	0
094831	37.1277	97.9715	120	['511']	['946']	['10668']	0
094901	37.0931	97.8961	120	['513']	['950']	['10668']	8.0
094931	37.0584	97.8219	120	['514']	['953']	['10676']	0
095002	37.0204	97.7414	121	['513']	['950']	['10668']	-8.0
095032	36.9841	97.6643	120	['511']	['946']	['10668']	0
095102	36.9468	97.5844	120	['512']	['948']	['10668']	0
095133	36.9112	97.5084	120	['512']	['948']	['10668']	0
095203	36.8751	97.4320	121	['514']	['953']	['10668']	0
095233	36.8383	97.3538	120	['515']	['954']	['10668']	0
095304	36.8023	97.2776	120	['517']	['958']	['10668']	0
095334	36.7650	97.1984	120	['520']	['962']	['10668']	0
095419	36.7146	97.0777	116	['526']	['974']	['10668']	0
095450	36.6820	96.9946	116	['528']	['978']	['10668']	0
095521	36.6481	96.9086	116	['530']	['982']	['10668']	0
095551	36.6157	96.8277	116	['530']	['982']	['10668']	0
095622	36.5805	96.7401	117	['531']	['983']	['10668']	0
095652	36.5477	96.6586	117	['531']	['983']	['10668']	0
095722	36.5152	96.5777	116	['531']	['983']	['10668']	0
095752	36.4828	96.4961	116	['532']	['985']	['10668']	0
095822	36.4491	96.4117	117	['532']	['985']	['10668']	0
095852	36.4171	96.3317	116	['533']	['987']	['10668']	0
095922	36.3854	96.2527	117	['533']	['987']	['10668']	0
095952	36.3531	96.1727	117	['533']	['987']	['10668']	0
100022	36.3184	96.0877	117	['534']	['990']	['10668']	30.0
100052	36.2850	96.0059	117	['541']	['1003']	['10698']	198.0
100122	36.2512	95.9219	116	['539']	['998']	['10866']	305.0
100152	36.2177	95.8391	117	['540']	['999']	['11003']	244.0
100222	36.1856	95.7603	117	['541']	['1003']	['11110']	221.0
100252	36.1510	95.6742	116	['545']	['1009']	['11224']	168.0
100322	36.1187	95.5929	116	['547']	['1012']	['11278']	53.0
100352	36.0825	95.5026	116	['546']	['1011']	['11278']	0
100422	36.0490	95.4196	117	['545']	['1009']	['11278']	0
100452	36.0161	95.3381	117	['545']	['1009']	['11278']	0
100523	35.9811	95.2518	117	['544']	['1007']	['11278']	0
100555	35.9463	95.1659	117	['543']	['1006']	['11278']	0
100625	35.9113	95.0800	117	['543']	['1006']	['11278']	0
100655	35.8770	94.9963	117	['542']	['1004']	['11278']	0
