# https://zh.flightaware.com//live/flight/UAL514/history/20221119/1331Z/KIAD/KORD/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
214945	38.9435	77.4897	289	['169']	['312']	['91']	0
215001	38.9458	77.5064	265	['164']	['304']	['343']	714.0
215017	38.9442	77.5214	261	['185']	['343']	['472']	629.0
215033	38.9416	77.5397	260	['197']	['365']	['678']	946.0
215100	38.9365	77.5721	258	['211']	['391']	['1151']	961.0
215122	38.9318	77.6014	255	['233']	['431']	['1463']	973.0
215139	38.9251	77.6240	246	['239']	['443']	['1783']	759.0
215206	38.9128	77.6566	244	['235']	['435']	['2019']	305.0
215227	38.9032	77.6825	247	['224']	['415']	['2027']	72.0
215244	38.8967	77.7053	252	['224']	['415']	['2065']	301.0
215302	38.8928	77.7267	260	['223']	['414']	['2202']	653.0
215319	38.8907	77.7489	267	['227']	['420']	['2446']	970.0
215335	38.8916	77.7707	278	['236']	['438']	['2736']	944.0
215420	38.9016	77.8359	281	['263']	['488']	['3406']	664.0
215450	38.9087	77.8847	281	['308']	['570']	['3566']	595.0
215523	38.9185	77.9464	281	['322']	['597']	['4031']	852.0
215541	38.9239	77.9807	282	['329']	['610']	['4290']	934.0
215611	38.9332	78.0391	282	['336']	['623']	['4778']	975.0
215641	38.9421	78.0968	282	['334']	['618']	['5265']	922.0
215709	38.9502	78.1512	281	['338']	['626']	['5669']	820.0
215739	38.9588	78.2130	280	['345']	['639']	['6058']	861.0
215818	38.9648	78.2916	275	['337']	['624']	['6660']	868.0
215848	38.9690	78.3509	275	['336']	['623']	['7056']	678.0
215918	38.9729	78.4102	275	['344']	['637']	['7338']	533.0
215948	38.9770	78.4709	275	['352']	['652']	['7590']	465.0
220018	38.9811	78.5348	275	['361']	['668']	['7803']	434.0
220048	38.9850	78.5994	275	['370']	['686']	['8024']	434.0
220118	38.9892	78.6669	275	['376']	['697']	['8237']	419.0
220148	38.9934	78.7342	275	['380']	['703']	['8443']	507.0
220213	38.9968	78.7893	275	['377']	['698']	['8702']	652.0
220242	39.0007	78.8525	276	['370']	['686']	['9030']	709.0
220302	39.0036	78.8978	275	['364']	['674']	['9281']	631.0
220332	39.0074	78.9607	274	['359']	['665']	['9555']	539.0
220403	39.0112	79.0272	274	['356']	['660']	['9830']	472.0
220433	39.0146	79.0889	274	['357']	['661']	['10036']	389.0
220503	39.0184	79.1544	274	['358']	['663']	['10218']	389.0
220533	39.0221	79.2169	275	['357']	['661']	['10424']	366.0
220603	39.0264	79.2802	275	['360']	['666']	['10584']	312.0
220633	39.0308	79.3443	275	['363']	['673']	['10737']	335.0
220703	39.0352	79.4084	275	['363']	['673']	['10919']	457.0
220729	39.0387	79.4604	275	['356']	['660']	['11163']	335.0
220759	39.0427	79.5273	274	['364']	['674']	['11232']	206.0
220829	39.0466	79.5925	274	['364']	['674']	['11369']	259.0
220859	39.0505	79.6582	274	['365']	['676']	['11491']	213.0
220929	39.0544	79.7207	275	['357']	['661']	['11582']	91.0
220959	39.0584	79.7849	275	['355']	['658']	['11582']	0
221029	39.0622	79.8470	275	['357']	['661']	['11582']	0
221059	39.0661	79.9117	274	['356']	['660']	['11582']	0
221129	39.0700	79.9744	275	['355']	['658']	['11582']	0
221159	39.0737	80.0361	274	['355']	['658']	['11582']	0
221229	39.0773	80.1003	274	['354']	['655']	['11582']	0
221259	39.0809	80.1631	274	['353']	['653']	['11582']	0
221329	39.0843	80.2252	274	['356']	['660']	['11582']	0
221359	39.0880	80.2907	274	['358']	['663']	['11582']	0
221429	39.0915	80.3535	274	['357']	['661']	['11582']	0
221459	39.0949	80.4166	274	['356']	['660']	['11582']	0
221529	39.0984	80.4815	274	['355']	['658']	['11582']	0
221559	39.1016	80.5421	274	['356']	['660']	['11582']	0
221626	39.1044	80.5947	274	['357']	['661']	['11582']	0
221656	39.1077	80.6577	275	['355']	['658']	['11582']	0
221716	39.1103	80.7070	274	['355']	['658']	['11582']	0
221746	39.1135	80.7703	274	['354']	['655']	['11582']	0
221816	39.1165	80.8297	274	['354']	['655']	['11582']	0
221857	39.1208	80.9152	274	['356']	['660']	['11582']	0
221927	39.1243	80.9811	274	['355']	['658']	['11582']	0
221957	39.1273	81.0440	273	['356']	['660']	['11582']	0
222013	39.1299	81.0753	281	['358']	['663']	['11582']	0
222030	39.1386	81.1128	291	['366']	['678']	['11582']	0
222114	39.1725	81.1974	298	['370']	['686']	['11582']	0
222144	39.1970	81.2572	298	['370']	['686']	['11582']	0
222214	39.2201	81.3140	298	['371']	['687']	['11582']	0
222244	39.2443	81.3732	298	['372']	['689']	['11582']	0
222314	39.2686	81.4325	298	['372']	['689']	['11582']	0
222344	39.2914	81.4886	298	['370']	['686']	['11582']	0
