# https://zh.flightaware.com//live/flight/UAL517/history/20221029/2240Z/KJFK/KLAX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
071514	40.6503	73.7635	30	['176']	['327']	['107']	0
071530	40.6623	73.7533	38	['176']	['327']	['404']	1.0
071546	40.6684	73.7387	74	['177']	['328']	['648']	786.0
071602	40.6704	73.7211	84	['193']	['357']	['823']	771.0
071618	40.6715	73.7018	87	['197']	['365']	['1059']	949.0
071642	40.6724	73.6755	87	['190']	['352']	['1455']	914.0
071712	40.6737	73.6377	87	['202']	['373']	['1882']	820.0
071735	40.6744	73.6107	89	['208']	['385']	['2179']	821.0
071751	40.6768	73.5888	71	['211']	['391']	['2416']	714.0
071807	40.6865	73.5743	34	['224']	['415']	['2560']	614.0
071823	40.7035	73.5691	0	['236']	['438']	['2743']	582.0
071840	40.7225	73.5707	355	['256']	['475']	['2880']	457.0
071902	40.7483	73.5736	355	['286']	['529']	['3040']	519.0
071932	40.7928	73.5782	356	['318']	['589']	['3330']	529.0
071953	40.8232	73.5812	356	['341']	['631']	['3490']	636.0
072023	40.8721	73.5866	353	['359']	['665']	['3871']	771.0
072044	40.9078	73.5990	340	['369']	['684']	['4145']	882.0
072106	40.9406	73.6220	327	['371']	['687']	['4503']	844.0
072136	40.9822	73.6586	326	['380']	['703']	['4877']	745.0
072216	41.0415	73.7121	326	['394']	['729']	['5372']	746.0
072241	41.0804	73.7472	324	['401']	['742']	['5685']	714.0
072257	41.1005	73.7726	308	['408']	['756']	['5860']	876.0
072317	41.1200	73.8193	291	['408']	['756']	['6210']	823.0
072337	41.1291	73.8656	283	['417']	['772']	['6408']	585.0
072407	41.1415	73.9418	282	['428']	['793']	['6698']	625.0
072437	41.1535	74.0191	282	['432']	['800']	['7033']	610.0
072507	41.1653	74.0969	280	['441']	['816']	['7308']	524.0
072525	41.1710	74.1434	278	['448']	['830']	['7452']	390.0
072555	41.1799	74.2296	277	['465']	['861']	['7620']	465.0
072625	41.1879	74.3150	277	['464']	['859']	['7917']	690.0
072650	41.1944	74.3861	276	['462']	['856']	['8252']	623.0
072712	41.1922	74.4498	259	['475']	['880']	['8405']	433.0
072728	41.1834	74.4909	249	['482']	['893']	['8527']	488.0
072811	41.1350	74.6047	239	['490']	['908']	['8885']	545.0
072841	41.1000	74.6807	239	['487']	['901']	['9190']	584.0
072858	41.0838	74.7158	240	['486']	['900']	['9342']	545.0
072928	41.0450	74.7995	239	['485']	['898']	['9616']	539.0
072948	41.0236	74.8458	239	['485']	['898']	['9792']	521.0
073018	40.9876	74.9256	242	['483']	['895']	['10051']	515.0
073035	40.9710	74.9714	246	['480']	['888']	['10196']	482.0
073113	40.9436	75.0746	254	['475']	['880']	['10493']	511.0
073143	40.9234	75.1618	253	['470']	['871']	['10775']	480.0
073213	40.9050	75.2418	253	['458']	['848']	['10973']	198.0
073243	40.8872	75.3188	253	['451']	['835']	['10973']	0
073313	40.8688	75.3976	253	['448']	['830']	['10973']	0
073344	40.8500	75.4775	253	['450']	['834']	['10973']	0
073415	40.8307	75.5588	253	['454']	['840']	['10973']	0
073445	40.8120	75.6377	253	['455']	['843']	['10973']	0
073515	40.7931	75.7165	253	['457']	['847']	['10973']	0
073545	40.7738	75.7969	253	['458']	['848']	['10973']	0
073615	40.7541	75.8788	253	['458']	['848']	['10973']	0
073645	40.7344	75.9604	252	['459']	['850']	['10973']	0
073716	40.7148	76.0414	252	['459']	['850']	['10973']	0
