# https://zh.flightaware.com//live/flight/UAL517/history/20221109/0540Z/KSAN/KEWR/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
141957	32.7404	117.2149	292	['174']	['322']	['305']	0
142013	32.7465	117.2265	304	['180']	['333']	['472']	557.0
142029	32.7550	117.2412	305	['201']	['372']	['602']	529.0
142045	32.7636	117.2560	305	['212']	['393']	['754']	873.0
142102	32.7736	117.2736	298	['204']	['378']	['1082']	980.0
142120	32.7768	117.2930	271	['206']	['381']	['1326']	780.0
142136	32.7741	117.3092	251	['212']	['393']	['1524']	829.0
142152	32.7647	117.3255	221	['216']	['401']	['1768']	970.0
142209	32.7492	117.3323	188	['222']	['410']	['2057']	993.0
142227	32.7310	117.3299	164	['231']	['428']	['2347']	939.0
142246	32.7136	117.3182	142	['245']	['454']	['2637']	866.0
142305	32.6957	117.3018	143	['246']	['455']	['2896']	859.0
142344	32.6611	117.2715	144	['242']	['447']	['3467']	820.0
142403	32.6428	117.2546	135	['255']	['472']	['3688']	653.0
142419	32.6326	117.2369	115	['278']	['515']	['3848']	471.0
142436	32.6270	117.2087	97	['311']	['576']	['3947']	404.0
142510	32.6225	117.1484	95	['338']	['626']	['4191']	364.0
142540	32.6177	117.0905	96	['369']	['684']	['4336']	351.0
142610	32.6117	117.0262	96	['392']	['726']	['4542']	465.0
142640	32.6062	116.9647	96	['405']	['750']	['4801']	507.0
142656	32.6049	116.9283	89	['420']	['777']	['4930']	565.0
142714	32.6090	116.8816	80	['433']	['801']	['5121']	621.0
142738	32.6195	116.8294	72	['441']	['816']	['5364']	557.0
142755	32.6345	116.7938	55	['446']	['826']	['5502']	549.0
142813	32.6612	116.7620	34	['438']	['811']	['5685']	588.0
142830	32.6924	116.7431	22	['429']	['795']	['5845']	545.0
142900	32.7487	116.7160	22	['436']	['808']	['6111']	541.0
142930	32.8050	116.6880	23	['441']	['816']	['6386']	556.0
143000	32.8611	116.6601	23	['443']	['821']	['6668']	488.0
143030	32.9165	116.6328	22	['452']	['837']	['6873']	396.0
143100	32.9778	116.6029	23	['460']	['851']	['7064']	381.0
143130	33.0353	116.5745	23	['465']	['861']	['7254']	419.0
143200	33.0948	116.5434	24	['466']	['863']	['7483']	457.0
143230	33.1540	116.5118	24	['470']	['871']	['7711']	434.0
143300	33.2152	116.4794	24	['478']	['885']	['7917']	404.0
143330	33.2737	116.4488	24	['485']	['898']	['8115']	404.0
143400	33.3384	116.4149	24	['493']	['912']	['8321']	405.0
143423	33.3860	116.3825	37	['510']	['945']	['8473']	345.0
143445	33.4235	116.3408	49	['520']	['962']	['8580']	272.0
143515	33.4643	116.2741	55	['526']	['974']	['8710']	320.0
143545	33.5086	116.2000	54	['528']	['978']	['8900']	381.0
143615	33.5512	116.1293	54	['532']	['985']	['9091']	320.0
143635	33.5800	116.0810	56	['536']	['993']	['9167']	198.0
143652	33.6018	116.0385	61	['540']	['999']	['9213']	96.0
143713	33.6241	115.9834	67	['546']	['1011']	['9228']	72.0
143743	33.6538	115.8984	67	['558']	['1033']	['9274']	91.0
143813	33.6845	115.8109	67	['567']	['1049']	['9319']	236.0
143843	33.7143	115.7264	67	['563']	['1043']	['9510']	389.0
143913	33.7439	115.6414	67	['560']	['1036']	['9708']	434.0
143943	33.7742	115.5537	68	['556']	['1030']	['9944']	419.0
144013	33.8042	115.4665	68	['554']	['1027']	['10127']	335.0
144043	33.8327	115.3840	68	['556']	['1030']	['10279']	251.0
144113	33.8624	115.2972	68	['559']	['1035']	['10378']	213.0
144143	33.8922	115.2097	68	['560']	['1036']	['10493']	236.0
144213	33.9213	115.1241	68	['561']	['1040']	['10615']	175.0
144243	33.9512	115.0362	68	['562']	['1041']	['10668']	60.0
144314	33.9815	114.9474	68	['561']	['1040']	['10676']	0
144344	34.0108	114.8606	68	['563']	['1043']	['10668']	-8.0
144414	34.0415	114.7698	68	['566']	['1048']	['10668']	0
144444	34.0697	114.6856	68	['566']	['1048']	['10668']	0
144514	34.0982	114.6008	68	['567']	['1049']	['10668']	0
144544	34.1289	114.5090	68	['567']	['1049']	['10668']	0
144615	34.1602	114.4157	68	['566']	['1048']	['10668']	0
144645	34.1888	114.3302	68	['560']	['1036']	['10668']	8.0
144715	34.2160	114.2486	68	['559']	['1035']	['10676']	-8.0
144746	34.2473	114.1536	68	['558']	['1033']	['10660']	-8.0
144816	34.2742	114.0682	72	['553']	['1024']	['10668']	15.0
144849	34.3007	113.9724	72	['554']	['1027']	['10676']	-7.0
144919	34.3252	113.8839	72	['560']	['1036']	['10660']	-8.0
144949	34.3495	113.7962	72	['559']	['1035']	['10668']	15.0
145019	34.3742	113.7061	72	['561']	['1040']	['10676']	0
145049	34.3984	113.6171	72	['563']	['1043']	['10668']	-8.0
145119	34.4223	113.5296	72	['563']	['1043']	['10668']	0
145149	34.4484	113.4338	72	['563']	['1043']	['10668']	0
145221	34.4741	113.3391	72	['563']	['1043']	['10668']	0
145251	34.4971	113.2538	72	['563']	['1043']	['10668']	0
145321	34.5218	113.1624	72	['559']	['1035']	['10668']	0
145351	34.5454	113.0738	72	['559']	['1035']	['10668']	0
145423	34.5715	112.9758	72	['557']	['1032']	['10668']	0
145454	34.5955	112.8860	72	['559']	['1035']	['10668']	0
145524	34.6192	112.7966	72	['559']	['1035']	['10668']	0
145554	34.6423	112.7094	72	['558']	['1033']	['10668']	0
145624	34.6658	112.6206	72	['555']	['1028']	['10668']	8.0
