name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSAN	32.7335628	-117.1896633	286°	NA	3899	0	Origin Airport
JETTI	32.76375	-117.3145556	156°	12.0	3908	12	Waypoint
ZZOOO	32.6314444	-117.2458333	96°	16.0	3909	13	Waypoint
JORRJ	32.6018333	-116.9161389	77°	31.0	3883	30	Waypoint
GRIDR	32.6302222	-116.7731944	83°	14.0	3869	41	Waypoint
BLUZE	32.70125	-116.0311944	84°	70.0	3803	109	Waypoint
IPL	32.7488611	-115.5085833	12°	49.0	3757	157	VOR-TAC (NAVAID)
IPL	32.7488667	-115.5085819	88°	0.0	3757	157	VOR-TAC (NAVAID)
HEEDS	32.7603278	-115.0077306	89°	47.0	3714	204	Reporting Point
BZA	32.7681075	-114.6029464	89°	38.0	3679	242	VOR-TAC (NAVAID)
HOGGZ	32.7748611	-114.0692	89°	50.0	3634	292	Reporting Point
MOHAK	32.7758444	-113.9720972	80°	9.0	3626	301	Reporting Point
JUDTH	32.8165028	-113.6883944	80°	27.0	3600	328	Reporting Point
GBN	32.9562583	-112.6742717	73°	96.0	3508	423	VOR-TAC (NAVAID)
ONM	34.3388889	-106.8205556	73°	564.0	2950	978	VOR-TAC (NAVAID)
KA30W	35.0	-104.0	72°	268.0	2684	1244	NRS-WAYPOINT
KA33Y	35.5	-102.0	72°	190.0	2494	1432	NRS-WAYPOINT
KK36A	36.0	-100.0	76°	189.0	2306	1618	NRS-WAYPOINT
FRAKS	36.6987333	-96.3591722	66°	336.0	1973	1952	Reporting Point
KK45G	37.5	-94.0	76°	228.0	1746	2171	NRS-WAYPOINT
KI51M	38.5	-88.0	58°	538.0	1210	2706	NRS-WAYPOINT
ROD	40.2877778	-84.0430556	59°	394.0	837	3063	VOR-TAC (NAVAID)
DORET	41.8016389	-80.5846222	98°	336.0	551	3368	Reporting Point
ZORBO	41.6572444	-79.2074917	98°	116.0	436	3480	Reporting Point
SLT	41.5127594	-77.9701097	186°	104.0	332	3582	VOR-TAC (NAVAID)
SLT	41.51275	-77.9701111	101°	0.0	332	3582	VOR-TAC (NAVAID)
FQM	41.3385556	-76.7748611	109°	102.0	230	3681	VOR-DME (NAVAID)
MEGSS	41.1870278	-76.2113889	110°	50.0	180	3728	Reporting Point
HAYED	41.1439167	-76.0534444	110°	14.0	166	3741	Reporting Point
RACKI	41.0121667	-75.5769722	110°	43.0	124	3781	Reporting Point
PENNS	40.8806389	-75.1095556	110°	42.0	82	3820	Reporting Point
SWEET	40.8282778	-74.9243333	103°	17.0	65	3835	Reporting Point
KEWR	40.6924798	-74.1686868	NA	65.0	0	3899	Destination Airport
