# https://zh.flightaware.com//live/flight/UAL552/history/20221029/1355Z/KSNA/KSFO/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
044244	33.6604	117.8786	208	['155']	['286']	['320']	0
044300	33.6504	117.8847	206	['149']	['275']	['617']	929.0
044316	33.6394	117.8897	194	['149']	['275']	['815']	657.0
044332	33.6295	117.8916	188	['152']	['282']	['968']	515.0
044348	33.6181	117.8930	185	['171']	['317']	['1090']	468.0
044416	33.5924	117.8959	187	['210']	['389']	['1311']	467.0
044433	33.5755	117.8990	195	['240']	['444']	['1440']	659.0
044450	33.5584	117.9116	221	['261']	['483']	['1684']	817.0
044506	33.5425	117.9302	226	['286']	['529']	['1890']	1.0
044536	33.5161	117.9618	224	['287']	['531']	['2484']	1.0
044606	33.4864	117.9960	226	['298']	['552']	['3033']	942.0
044626	33.4709	118.0217	241	['318']	['589']	['3269']	594.0
044646	33.4545	118.0560	241	['343']	['636']	['3429']	832.0
044716	33.4305	118.1048	239	['348']	['644']	['3962']	1.0
044732	33.4185	118.1318	248	['345']	['639']	['4229']	862.0
044751	33.4143	118.1666	273	['346']	['641']	['4465']	653.0
044807	33.4205	118.1975	290	['356']	['660']	['4610']	515.0
044823	33.4357	118.2258	313	['363']	['673']	['4740']	574.0
044858	33.4793	118.2722	317	['378']	['700']	['5098']	767.0
044928	33.5183	118.3152	317	['377']	['698']	['5570']	831.0
044958	33.5575	118.3585	317	['386']	['715']	['5928']	709.0
045028	33.5968	118.4018	317	['392']	['726']	['6279']	671.0
045058	33.6375	118.4469	317	['399']	['739']	['6599']	610.0
045128	33.6775	118.4911	317	['406']	['752']	['6888']	625.0
045158	33.7185	118.5364	317	['408']	['756']	['7224']	640.0
045228	33.7608	118.5834	317	['413']	['764']	['7529']	617.0
045258	33.8038	118.6312	317	['415']	['769']	['7841']	541.0
045328	33.8447	118.6777	316	['420']	['777']	['8070']	511.0
045358	33.8870	118.7272	316	['422']	['782']	['8352']	511.0
045428	33.9297	118.7769	316	['426']	['789']	['8580']	579.0
045458	33.9716	118.8258	316	['421']	['779']	['8931']	541.0
045528	34.0136	118.8748	316	['417']	['772']	['9121']	206.0
045558	34.0549	118.9231	316	['414']	['766']	['9136']	8.0
045629	34.0984	118.9739	316	['416']	['771']	['9129']	-8.0
045653	34.1308	119.0118	316	['417']	['772']	['9129']	0
045722	34.1696	119.0574	317	['417']	['772']	['9129']	8.0
045752	34.2129	119.1082	317	['419']	['776']	['9136']	9.0
045810	34.2378	119.1376	317	['419']	['776']	['9136']	0
045840	34.2791	119.1861	316	['419']	['776']	['9136']	0
045924	34.3392	119.2571	316	['419']	['776']	['9136']	0
045954	34.3819	119.3075	316	['419']	['776']	['9136']	-8.0
050024	34.4242	119.3575	317	['417']	['772']	['9129']	-8.0
050054	34.4647	119.4056	317	['417']	['772']	['9129']	0
050124	34.5058	119.4542	316	['418']	['774']	['9129']	0
050154	34.5475	119.5038	315	['419']	['776']	['9129']	0
